time,strength,rel.price
2017-05-23 09:45,0,0
2017-05-23 10:00,0,0
2017-05-23 10:15,0,0
2017-05-23 10:30,0,0
2017-05-23 10:55,0,106
2017-05-23 11:00,0,116
2017-05-23 11:30,0,91
2017-05-23 12:35,0,148
2017-05-23 13:00,0,152
2017-05-23 15:30,-176,83
2017-05-23 15:55,-118,115
2017-05-23 16:45,-189,137
2017-05-23 16:59,-189,139
2017-05-23 17:00,-189,139
2017-05-23 17:30,-198,93
2017-05-23 18:30,204,74
2017-05-23 20:30,357,118
2017-05-23 22:15,0,90
2017-05-23 23:30,267,114
2017-05-23 23:35,267,124
2017-05-24 00:00,267,102
2017-05-24 01:45,-69,86
2017-05-24 02:00,-119,89
2017-05-24 03:30,-119,104
2017-05-24 04:10,-335,87
2017-05-24 04:30,-469,87
2017-05-24 07:30,113,87
2017-05-24 08:00,119,87
2017-05-24 10:00,73,87
2017-05-24 10:15,-236,87
2017-05-24 10:30,-236,87
2017-05-24 11:00,-230,87
2017-05-24 11:30,-284,87
2017-05-24 12:35,-303,87
2017-05-24 12:40,-303,87
2017-05-24 13:00,-303,87
2017-05-24 15:30,-150,87
2017-05-24 15:45,-60,87
2017-05-24 15:58,-69,87
2017-05-24 16:00,-69,87
2017-05-24 16:03,-69,87
2017-05-24 16:45,-158,87
2017-05-24 16:59,-170,87
2017-05-24 17:00,-170,87
2017-05-24 17:30,-91,87
2017-05-25 01:00,-108,-72
2017-05-25 01:11,-171,-86
2017-05-25 01:30,-171,-80
2017-05-25 01:45,-306,-82
2017-05-25 02:50,-304,-101
2017-05-25 04:30,-170,-78
2017-05-25 11:00,-3,-78
2017-05-25 11:30,-3,-78
2017-05-25 12:35,-4,-78
2017-05-25 15:30,-85,-78
2017-05-25 15:45,-54,-78
2017-05-25 15:58,-54,-78
2017-05-25 16:00,-52,-78
2017-05-25 16:03,-349,-78
2017-05-25 17:30,118,-78
2017-05-25 18:00,188,-78
2017-05-26 02:30,-3,-100
2017-05-26 02:50,15,-100
2017-05-26 09:45,0,-100
2017-05-26 11:00,0,-268
2017-05-26 11:30,0,-267
2017-05-26 15:30,0,-226
2017-05-26 17:30,0,-215
2017-05-26 22:30,0,-254
2017-05-29 01:15,0,-256
2017-05-29 08:30,0,-256
2017-05-29 10:15,0,-284
2017-05-29 11:00,-41,-312
2017-05-29 12:10,0,-300
2017-05-30 01:45,0,-286
2017-05-30 02:30,0,-286
2017-05-30 02:50,0,-286
2017-05-30 04:30,-118,-286
2017-05-30 09:00,12,-286
2017-05-30 09:45,15,-286
2017-05-30 10:00,8,-286
2017-05-30 11:30,-117,-259
2017-05-30 12:00,-117,-245
2017-05-30 12:15,-1,-205
2017-05-30 12:16,-1,-205
2017-05-30 12:30,-1,-206
2017-05-30 12:47,-1,-179
2017-05-30 15:30,57,-200
2017-05-30 16:00,85,-190
2017-05-30 17:30,655,-94
2017-05-30 18:30,-38,-123
2017-05-31 01:01,-4,-117
2017-05-31 01:50,42,-117
2017-05-31 02:00,42,-117
2017-05-31 02:01,42,-117
2017-05-31 02:30,5,-117
2017-05-31 02:50,88,-117
2017-05-31 03:00,59,-117
2017-05-31 03:10,59,-117
2017-05-31 03:30,423,-117
2017-05-31 04:00,352,-117
2017-05-31 04:10,-99,-117
2017-05-31 04:30,15,-117
2017-05-31 08:00,-76,-117
2017-05-31 08:45,-79,-117
2017-05-31 09:00,-79,-117
2017-05-31 09:20,-152,-117
2017-05-31 09:45,-141,-117
2017-05-31 10:20,-115,-204
2017-05-31 10:30,-115,-206
2017-05-31 10:55,-115,-228
2017-05-31 11:00,-115,-256
2017-05-31 11:12,7,-246
2017-05-31 11:30,7,-224
2017-05-31 12:00,7,-238
2017-05-31 12:12,11,-260
2017-05-31 12:16,11,-257
2017-05-31 13:05,16,-251
2017-05-31 14:30,-38,-217
2017-05-31 14:55,-188,-208
2017-05-31 15:00,-192,-204
2017-05-31 15:30,-30,-165
2017-05-31 15:45,357,-170
2017-05-31 15:55,-260,-201
2017-05-31 16:00,-258,-189
2017-05-31 16:30,-305,-208
2017-05-31 16:45,505,-238
2017-05-31 17:00,510,-239
2017-05-31 17:30,528,-184
2017-05-31 23:30,110,-157
2017-06-01 01:45,188,-223
2017-06-01 02:01,188,-214
2017-06-01 02:30,367,-232
2017-06-01 02:50,605,-232
2017-06-01 03:10,181,-232
2017-06-01 03:30,-131,-232
2017-06-01 04:00,392,-232
2017-06-01 04:30,318,-232
2017-06-01 06:45,1065,-232
2017-06-01 08:00,1002,-232
2017-06-01 08:45,-240,-232
2017-06-01 09:00,-239,-232
2017-06-01 09:30,-243,-232
2017-06-01 09:45,-235,-232
2017-06-01 10:15,-69,-232
2017-06-01 10:30,-74,-232
2017-06-01 10:45,-44,-232
2017-06-01 10:50,-44,-232
2017-06-01 10:55,-44,-232
2017-06-01 11:00,-44,-232
2017-06-01 11:30,-32,-326
2017-06-01 11:50,24,-341
2017-06-01 11:59,24,-335
2017-06-01 12:00,24,-335
2017-06-01 12:30,253,-358
2017-06-01 12:32,253,-368
2017-06-01 12:34,253,-368
2017-06-01 12:35,229,-368
2017-06-01 12:40,229,-369
2017-06-01 13:25,171,-380
2017-06-01 14:30,202,-389
2017-06-01 15:15,90,-388
2017-06-01 15:30,503,-385
2017-06-01 16:30,151,-451
2017-06-01 16:45,1154,-450
2017-06-01 16:50,1085,-442
2017-06-01 17:30,777,-489
