time,strength,rel.price
2017-05-23 17:30,0,-33
2017-05-23 18:30,0,-40
2017-05-23 20:30,24,-49
2017-05-23 22:15,0,-37
2017-05-23 23:30,0,-9
2017-05-23 23:35,0,-14
2017-05-24 00:00,0,-11
2017-05-24 01:45,0,-23
2017-05-24 02:00,0,-17
2017-05-24 03:30,0,-25
2017-05-24 04:10,-116,-38
2017-05-24 04:30,-141,-38
2017-05-24 07:30,54,-38
2017-05-24 08:00,54,-38
2017-05-24 10:00,158,-38
2017-05-24 10:15,-139,-38
2017-05-24 10:30,67,-38
2017-05-24 11:00,271,-38
2017-05-24 11:30,-96,-38
2017-05-24 12:35,-169,-38
2017-05-24 12:40,-169,-38
2017-05-24 13:00,-168,-38
2017-05-24 15:30,-227,-38
2017-05-24 15:45,-227,-38
2017-05-24 15:58,-227,-38
2017-05-24 16:00,-149,-38
2017-05-24 16:03,-149,-38
2017-05-24 16:45,-150,-38
2017-05-24 16:59,-166,-38
2017-05-24 17:00,-166,-38
2017-05-24 17:30,-171,-38
2017-05-25 01:00,-84,0
2017-05-25 01:11,-84,-7
2017-05-25 01:30,-84,-7
2017-05-25 01:45,-84,-1
2017-05-25 02:50,-131,-12
2017-05-25 04:30,-78,-29
2017-05-25 11:00,0,-29
2017-05-25 11:30,0,-29
2017-05-25 12:35,-13,-29
2017-05-25 15:30,-104,-29
2017-05-25 15:45,-104,-29
2017-05-25 15:58,-104,-29
2017-05-25 16:00,-100,-29
2017-05-25 16:03,-100,-29
2017-05-25 17:30,-78,-29
2017-05-25 18:00,0,-29
2017-05-26 02:30,0,-203
2017-05-26 02:50,0,-203
2017-05-26 09:45,0,-203
2017-05-26 11:00,0,-274
2017-05-26 11:30,0,-278
2017-05-26 15:30,0,-235
2017-05-26 17:30,0,-153
2017-05-26 22:30,0,-193
2017-05-29 01:15,0,-173
2017-05-29 08:30,0,-173
2017-05-29 10:15,-80,-209
2017-05-29 11:00,90,-231
2017-05-29 12:10,-82,-223
2017-05-30 01:45,77,-135
