time,strength,rel.price
2017-05-19 22:30,0,0
2017-05-22 02:01,0,93
2017-05-22 02:50,-16,93
2017-05-22 08:30,99,93
2017-05-22 15:30,-5,198
2017-05-22 16:00,-8,192
2017-05-22 17:00,-80,193
2017-05-22 17:30,-80,174
2017-05-22 18:30,-70,179
2017-05-22 20:30,130,190
2017-05-22 21:00,130,190
2017-05-23 02:30,139,192
2017-05-23 02:50,309,126
2017-05-23 03:30,-169,125
2017-05-23 04:10,-24,83
2017-05-23 07:30,17,83
2017-05-23 09:45,-137,83
2017-05-23 10:00,-137,83
2017-05-23 10:15,-137,83
2017-05-23 10:30,-136,83
2017-05-23 10:55,-131,154
2017-05-23 11:00,-131,175
2017-05-23 11:30,-88,207
2017-05-23 12:35,-40,299
2017-05-23 13:00,-80,265
2017-05-23 15:30,-183,310
2017-05-23 15:55,-180,300
2017-05-23 16:00,-180,291
2017-05-23 16:45,-262,333
2017-05-23 16:59,-356,327
2017-05-23 17:00,-356,327
2017-05-23 17:30,-179,284
2017-05-23 18:30,95,241
2017-05-23 20:30,318,351
2017-05-23 22:15,-122,319
2017-05-23 23:30,-92,367
2017-05-23 23:35,-92,365
2017-05-24 00:00,-92,364
2017-05-24 01:45,48,345
2017-05-24 02:00,-211,362
2017-05-24 03:30,-14,357
2017-05-24 04:10,-171,371
2017-05-24 04:30,-335,371
2017-05-24 07:30,-130,371
2017-05-24 08:00,239,371
2017-05-24 10:00,22,371
2017-05-24 10:15,-397,371
2017-05-24 10:30,-391,371
2017-05-24 11:00,-370,371
2017-05-24 11:30,-477,371
2017-05-24 12:35,-486,371
2017-05-24 12:40,-486,371
2017-05-24 13:00,-486,371
2017-05-24 15:30,-148,371
2017-05-24 15:45,-137,371
2017-05-24 15:58,-68,371
2017-05-24 16:00,-68,371
2017-05-24 16:03,-24,371
2017-05-24 16:45,-24,371
2017-05-24 16:59,-184,371
2017-05-24 17:00,-184,371
2017-05-24 17:30,-184,371
2017-05-25 01:00,10,387
2017-05-25 01:11,51,381
2017-05-25 01:30,57,385
2017-05-25 01:45,65,383
2017-05-25 02:50,-206,391
2017-05-25 04:30,-70,382
2017-05-25 11:00,11,382
2017-05-25 11:30,-61,382
2017-05-25 12:35,6,382
2017-05-25 15:30,-80,382
2017-05-25 15:45,-30,382
2017-05-25 15:58,-80,382
2017-05-25 16:00,-80,382
2017-05-25 16:03,-80,382
2017-05-25 17:30,-40,382
2017-05-25 18:00,8,382
2017-05-26 02:30,-137,259
2017-05-26 02:50,-316,259
2017-05-26 09:45,-240,259
2017-05-26 11:00,-235,27
2017-05-26 11:30,-233,7
2017-05-26 15:30,-39,-3
2017-05-26 17:30,-185,59
2017-05-26 22:30,53,36
2017-05-29 01:15,-10,56
2017-05-29 08:30,-5,56
2017-05-29 10:15,-60,6
2017-05-29 11:00,-5,-12
2017-05-29 12:10,-46,21
2017-05-30 01:45,-10,18
2017-05-30 02:30,-124,18
2017-05-30 02:50,-331,18
2017-05-30 04:30,-705,18
2017-05-30 09:00,-127,18
2017-05-30 09:45,-73,18
2017-05-30 10:00,-72,18
2017-05-30 11:30,-49,-122
2017-05-30 12:00,-106,-46
2017-05-30 12:15,46,-13
2017-05-30 12:16,46,-30
2017-05-30 12:30,46,-24
2017-05-30 12:47,-92,-13
2017-05-30 15:30,93,-25
2017-05-30 16:00,-13,-12
2017-05-30 17:30,-215,0
2017-05-30 18:30,-159,12
2017-05-31 01:01,102,1
2017-05-31 01:50,98,1
2017-05-31 02:00,-67,1
2017-05-31 02:01,-63,1
2017-05-31 02:30,5,1
2017-05-31 02:50,-27,1
2017-05-31 03:10,261,1
2017-05-31 03:30,271,1
2017-05-31 04:10,-31,1
2017-05-31 04:30,15,1
2017-05-31 07:00,97,1
2017-05-31 08:00,158,1
2017-05-31 08:45,-50,1
2017-05-31 09:00,-42,1
2017-05-31 09:20,171,1
2017-05-31 09:45,263,1
2017-05-31 10:00,271,1
2017-05-31 10:20,297,-2
2017-05-31 10:30,283,-9
2017-05-31 10:55,383,-23
2017-05-31 11:00,378,-30
2017-05-31 11:12,356,-9
