time,strength,rel.price
2017-05-18 20:15,0,-41
2017-05-19 01:45,0,133
2017-05-19 11:30,0,133
2017-05-19 12:00,0,133
2017-05-19 15:30,0,133
2017-05-19 16:00,-419,133
2017-05-19 16:15,-36,133
2017-05-19 17:00,430,133
2017-05-19 17:30,430,133
2017-05-19 22:30,231,133
2017-05-22 02:01,0,296
2017-05-22 02:50,-16,296
2017-05-22 08:30,-33,296
2017-05-22 15:30,-140,374
2017-05-22 17:00,-81,355
2017-05-22 17:30,-34,346
2017-05-22 18:30,-39,308
2017-05-22 20:30,8,324
2017-05-22 21:00,8,324
2017-05-23 02:30,78,350
2017-05-23 02:50,254,285
2017-05-23 03:30,-156,302
2017-05-23 04:10,-174,268
2017-05-23 07:30,-194,268
2017-05-23 09:45,-227,268
2017-05-23 10:00,-227,268
2017-05-23 10:15,-227,268
2017-05-23 10:30,-227,268
2017-05-23 10:55,-227,278
2017-05-23 11:00,-217,270
2017-05-23 11:30,-88,321
2017-05-23 12:35,-80,366
2017-05-23 13:00,-78,330
2017-05-23 15:30,249,431
2017-05-23 15:55,-26,395
2017-05-23 16:00,19,388
2017-05-23 16:45,115,409
2017-05-23 16:59,27,403
2017-05-23 17:00,27,403
2017-05-23 17:30,22,398
2017-05-23 18:30,-47,370
2017-05-23 20:30,-36,442
2017-05-23 22:15,-112,434
2017-05-23 23:30,-412,461
2017-05-23 23:35,-412,451
2017-05-24 01:45,213,461
2017-05-24 02:00,3,474
2017-05-24 03:30,70,460
2017-05-24 04:10,110,486
2017-05-24 04:30,120,486
2017-05-24 07:30,-129,486
2017-05-24 08:00,-14,486
2017-05-24 10:00,14,486
2017-05-24 10:15,14,486
2017-05-24 10:30,14,486
2017-05-24 11:00,15,486
2017-05-24 11:30,-15,486
2017-05-24 12:35,12,486
2017-05-24 12:40,12,486
2017-05-24 13:00,30,486
2017-05-24 15:30,-32,486
2017-05-24 15:45,-105,486
2017-05-24 15:58,-65,486
2017-05-24 16:00,-65,486
2017-05-24 16:03,-27,486
2017-05-24 16:45,132,486
2017-05-24 16:59,-16,486
2017-05-24 17:00,-16,486
2017-05-24 17:30,-77,486
2017-05-24 22:00,26,486
2017-05-25 01:00,54,635
2017-05-25 01:11,59,638
2017-05-25 01:30,59,636
2017-05-25 01:45,186,637
2017-05-25 02:50,136,663
2017-05-25 04:30,51,633
2017-05-25 11:00,0,633
2017-05-25 11:30,0,633
2017-05-25 12:35,0,633
2017-05-25 15:30,0,633
2017-05-25 15:45,0,633
2017-05-25 15:58,0,633
2017-05-25 16:00,0,633
2017-05-25 16:03,221,633
2017-05-25 17:30,-123,633
2017-05-25 18:00,-89,633
2017-05-26 02:30,-167,526
2017-05-26 02:50,-401,526
2017-05-26 09:45,-200,526
2017-05-26 11:00,-101,440
2017-05-26 11:30,-99,418
2017-05-26 15:30,161,374
2017-05-26 17:30,-27,427
2017-05-26 22:30,143,436
2017-05-29 01:15,0,459
2017-05-29 08:30,0,459
2017-05-29 10:15,-79,438
2017-05-29 11:00,37,435
2017-05-29 12:10,-12,454
2017-05-30 01:45,0,433
2017-05-30 02:30,-104,433
2017-05-30 02:50,-54,433
2017-05-30 04:30,-382,433
2017-05-30 09:00,-77,433
2017-05-30 09:45,-66,433
2017-05-30 10:00,-49,433
2017-05-30 11:00,-16,290
2017-05-30 11:30,-15,283
2017-05-30 12:00,2,346
2017-05-30 12:15,103,347
2017-05-30 12:16,103,326
2017-05-30 12:30,103,325
2017-05-30 12:47,70,319
2017-05-30 15:00,256,343
2017-05-30 15:30,256,330
2017-05-30 16:00,2,334
2017-05-30 17:30,-644,267
2017-05-30 18:30,412,310
2017-05-30 19:00,410,356
2017-05-31 00:00,398,284
2017-05-31 01:00,410,288
2017-05-31 01:01,410,288
2017-05-31 01:50,186,288
2017-05-31 02:00,-176,288
2017-05-31 02:01,-182,288
2017-05-31 02:30,-330,288
2017-05-31 02:50,-137,288
2017-05-31 03:00,-160,288
2017-05-31 03:10,508,288
2017-05-31 03:30,223,288
2017-05-31 04:00,66,288
2017-05-31 04:10,66,288
2017-05-31 04:30,61,288
2017-05-31 07:00,34,288
2017-05-31 08:00,288,288
2017-05-31 08:45,303,288
2017-05-31 09:00,307,288
2017-05-31 09:20,686,288
2017-05-31 09:45,802,288
2017-05-31 10:00,880,288
2017-05-31 10:20,779,354
2017-05-31 10:30,733,349
2017-05-31 10:55,735,356
2017-05-31 11:00,735,369
2017-05-31 11:12,291,383
2017-05-31 11:30,285,372
2017-05-31 12:00,-315,330
2017-05-31 12:12,-77,374
2017-05-31 12:16,-77,369
2017-05-31 13:05,-220,332
2017-05-31 14:30,-281,318
2017-05-31 14:55,738,335
2017-05-31 15:00,738,325
2017-05-31 15:30,327,317
2017-05-31 15:45,-776,295
2017-05-31 15:55,-48,304
2017-05-31 16:30,266,320
2017-05-31 16:45,-621,340
2017-05-31 17:00,-626,336
2017-05-31 17:30,-502,259
2017-05-31 23:00,152,131
2017-05-31 23:30,-29,150
2017-06-01 00:00,-32,169
2017-06-01 01:45,-124,212
2017-06-01 02:01,-124,223
2017-06-01 02:30,-116,213
2017-06-01 02:50,-22,213
2017-06-01 03:10,-334,213
2017-06-01 03:30,153,213
2017-06-01 04:00,-212,213
2017-06-01 04:30,-607,213
2017-06-01 06:45,-188,213
2017-06-01 08:00,42,213
2017-06-01 08:45,234,213
2017-06-01 09:00,146,213
2017-06-01 09:30,351,213
2017-06-01 09:45,350,213
2017-06-01 10:15,319,213
2017-06-01 10:30,272,213
2017-06-01 10:45,264,213
2017-06-01 10:50,264,213
2017-06-01 10:55,264,213
2017-06-01 11:00,264,213
2017-06-01 11:30,77,278
2017-06-01 11:50,-19,298
2017-06-01 11:59,-19,311
2017-06-01 12:00,-19,311
2017-06-01 12:30,-341,348
2017-06-01 12:32,-341,343
2017-06-01 12:34,-341,343
2017-06-01 12:35,-340,343
2017-06-01 12:40,-340,340
2017-06-01 13:25,-290,334
2017-06-01 14:30,-6,304
2017-06-01 15:00,-114,309
2017-06-01 15:15,-114,317
2017-06-01 15:30,-257,314
2017-06-01 16:30,462,361
2017-06-01 16:45,-626,358
2017-06-01 16:50,-519,348
2017-06-01 17:00,-409,364
2017-06-01 17:30,-215,382
2017-06-01 18:00,-98,393
2017-06-01 22:30,296,376
2017-06-01 23:00,307,376
2017-06-02 02:50,-41,376
2017-06-02 08:45,243,376
2017-06-02 09:00,246,376
2017-06-02 10:15,-51,376
2017-06-02 10:30,-12,376
2017-06-02 10:45,-13,376
2017-06-02 11:30,-28,376
2017-06-02 12:00,-22,376
2017-06-02 15:15,65,376
2017-06-02 15:30,610,376
2017-06-02 17:30,-339,376
2017-06-01 19:48,0,376

