time,strength,rel.price
2017-06-27 11:00,53,0
2017-06-27 11:30,-277,0
2017-06-27 12:30,-385,0
2017-06-27 12:35,-431,0
2017-06-27 13:00,-361,0
2017-06-27 15:30,55,0
2017-06-27 15:55,43,0
2017-06-27 16:00,43,0
2017-06-27 17:30,120,0
2017-06-27 18:15,99,0
2017-06-27 18:30,105,0
2017-06-27 21:45,-122,0
2017-06-27 23:35,-102,806
2017-06-28 00:30,-118,806
2017-06-28 09:00,45,806
2017-06-28 11:00,-400,700
2017-06-28 11:30,219,700
2017-06-28 12:00,310,700
2017-06-28 12:20,-438,700
2017-06-28 13:00,277,700
2017-06-28 15:30,15,700
2017-06-28 16:30,-93,700
2017-06-28 17:30,-402,700
2017-06-28 18:15,-416,700
2017-06-28 21:20,-89,700
2017-06-29 00:05,91,700
2017-06-29 02:50,174,700
2017-06-29 10:00,61,604
2017-06-29 11:30,-285,604
2017-06-29 12:00,-250,604
2017-06-29 15:30,113,604
2017-06-29 16:30,-37,604
2017-06-29 17:30,-58,604
2017-06-29 21:20,51,604
2017-06-30 01:45,60,604
2017-06-30 02:01,60,604
2017-06-30 02:30,60,604
2017-06-30 02:50,43,604
2017-06-30 04:30,25,604
2017-06-30 09:00,-355,604
2017-06-30 09:45,529,604
2017-06-30 10:00,-227,604
2017-06-30 10:55,142,536
2017-06-30 11:30,-24,536
2017-06-30 12:19,5,536
2017-06-30 15:30,221,383
2017-06-30 16:45,-525,383
2017-06-30 17:00,-520,383
2017-07-02 23:30,289,436
2017-07-02 23:50,217,436
2017-07-03 00:00,445,436
2017-07-03 00:30,213,436
2017-07-03 01:03,96,436
2017-07-03 01:30,617,436
2017-07-03 01:45,769,436
2017-07-03 05:30,208,436
2017-07-03 06:30,162,436
2017-07-03 07:15,338,436
2017-07-03 07:30,-23,436
2017-07-03 07:45,818,436
2017-07-03 07:50,427,436
2017-07-03 07:55,483,436
2017-07-03 08:00,482,436
2017-07-03 08:30,-333,436
2017-07-03 09:00,196,436
2017-07-03 11:30,-976,436
2017-07-03 12:00,82,436
2017-07-03 13:00,5,436
2017-07-03 13:45,609,436
2017-07-03 14:30,669,436
2017-07-03 15:30,424,436
2017-07-03 17:00,79,436
2017-07-03 17:30,91,436
2017-07-03 19:30,-297,436
2017-07-03 23:00,268,436
2017-07-03 23:50,110,436
2017-07-04 01:30,70,372
2017-07-04 03:45,-503,372
2017-07-04 04:30,-520,372
2017-07-04 05:00,-232,372
2017-07-04 08:30,-269,346
2017-07-04 09:00,-91,346
2017-07-04 12:30,-217,654
2017-07-04 13:30,-544,654
2017-07-04 14:00,-525,654
2017-07-04 14:51,-77,654
2017-07-04 16:30,198,719
2017-07-04 23:01,157,719
2017-07-04 23:30,365,719
2017-07-05 00:30,293,719
2017-07-05 01:00,284,719
2017-07-05 07:15,-366,719
2017-07-05 07:45,-758,719
2017-07-05 07:50,-116,719
2017-07-05 07:55,96,719
2017-07-05 08:00,254,719
2017-07-05 08:30,-15,719
2017-07-05 09:00,-964,719
2017-07-05 09:35,-321,719
2017-07-05 10:00,-381,719
2017-07-05 12:55,176,624
2017-07-05 13:45,448,624
2017-07-05 14:00,444,624
2017-07-06 01:30,-334,759
2017-07-06 03:45,-330,759
2017-07-06 07:15,-240,759
2017-07-06 08:10,-480,759
2017-07-06 08:30,-557,759
2017-07-06 09:40,-723,759
2017-07-06 11:30,-603,721
2017-07-06 12:15,-524,721
2017-07-06 12:30,-524,721
2017-07-06 13:45,-407,721
2017-07-06 14:00,-272,721
2017-07-06 23:30,-76,721
2017-07-06 23:50,-323,721
2017-07-07 00:00,-407,721
2017-07-07 05:45,-45,721
2017-07-07 06:00,-60,721
2017-07-07 06:45,-481,721
2017-07-07 07:00,-452,721
2017-07-07 07:30,-246,721
2017-07-07 08:00,114,721
2017-07-07 08:30,-343,721
2017-07-07 09:00,-409,721
2017-07-07 12:03,58,721
2017-07-07 12:30,236,721
2017-07-07 14:30,-68,1172
2017-07-07 19:30,-554,962
2017-07-08 09:45,-6,1008
2017-07-09 23:50,83,1008
2017-07-10 00:30,83,1008
2017-07-10 05:00,81,1008
2017-07-10 05:30,431,1008
2017-07-10 08:30,-35,1008
2017-07-10 14:00,247,1058
2017-07-10 15:30,218,1051
2017-07-10 22:45,-208,1011
2017-07-10 23:01,-153,1011
2017-07-10 23:50,-38,1011
2017-07-11 01:30,-193,1011
2017-07-11 03:05,180,1011
2017-07-11 06:00,125,1011
2017-07-11 08:00,204,1011
2017-07-11 09:00,-239,1011
2017-07-11 10:00,103,1011
2017-07-11 11:00,61,848
2017-07-11 12:00,-185,782
2017-07-11 12:15,-188,782
2017-07-11 12:55,-188,782
2017-07-11 16:30,-35,782
2017-07-11 17:00,-35,782
2017-07-11 17:20,-45,782
2017-07-12 04:30,60,782
2017-07-12 06:00,-388,782
2017-07-12 15:15,307,782
2017-07-12 15:30,305,782
2017-07-12 22:45,-47,782
2017-07-12 23:50,170,782
2017-07-11 12:47,0,782

