time,strength,rel.price
2017-05-24 11:30,0,0
2017-05-24 12:35,112,0
2017-05-24 12:40,150,0
2017-05-24 13:00,-120,0
2017-05-24 15:30,101,0
2017-05-24 15:45,143,0
2017-05-24 15:58,131,0
2017-05-24 16:00,131,0
2017-05-24 16:03,170,0
2017-05-24 16:45,13,0
2017-05-24 16:59,-110,0
2017-05-24 17:00,-125,0
2017-05-24 17:30,-220,0
2017-05-25 01:00,0,-289
2017-05-25 01:11,0,-302
2017-05-25 01:30,0,-291
2017-05-25 01:45,-31,-308
2017-05-25 02:50,-61,-282
2017-05-25 04:30,-111,-200
2017-05-25 11:00,-522,-200
2017-05-25 11:30,224,-200
2017-05-25 12:35,-319,-200
2017-05-25 15:30,-284,-200
2017-05-25 15:45,-310,-200
2017-05-25 15:58,-310,-200
2017-05-25 16:00,-310,-200
2017-05-25 16:03,-632,-200
2017-05-25 17:30,229,-200
2017-05-25 18:00,337,-200
2017-05-26 02:30,158,25
2017-05-26 02:50,158,25
2017-05-26 09:45,26,25
2017-05-26 11:00,-13,-102
2017-05-26 11:30,69,-67
2017-05-26 15:30,-157,-190
2017-05-26 17:30,97,-322
2017-05-26 22:30,57,-310
2017-05-29 01:15,-204,-348
2017-05-29 08:30,-204,-348
2017-05-29 10:15,98,-330
2017-05-29 11:00,-466,-315
2017-05-29 12:10,48,-296
2017-05-30 01:45,-182,-376
2017-05-30 02:30,-227,-376
2017-05-30 02:50,-227,-376
2017-05-30 04:30,-198,-376
2017-05-30 09:00,-296,-376
2017-05-30 09:45,-177,-376
2017-05-30 10:00,-203,-376
2017-05-30 11:30,209,-458
2017-05-30 12:00,-476,-469
2017-05-30 12:15,-290,-426
2017-05-30 12:16,-225,-426
2017-05-30 12:30,98,-420
2017-05-30 12:47,-455,-402
2017-05-30 15:30,150,-385
2017-05-30 16:00,-2,-291
2017-05-30 17:30,860,-138
2017-05-30 18:30,-449,-148
2017-05-31 01:01,59,-198
2017-05-31 01:50,39,-198
2017-05-31 02:00,38,-198
2017-05-31 02:01,38,-198
2017-05-31 02:30,154,-198
2017-05-31 02:50,255,-198
2017-05-31 03:00,239,-198
2017-05-31 03:10,187,-198
2017-05-31 03:30,124,-198
2017-05-31 04:10,39,-198
2017-05-31 04:30,167,-198
2017-05-31 08:00,-408,-198
2017-05-31 08:45,-574,-198
2017-05-31 09:00,-298,-198
2017-05-31 09:20,-1076,-198
2017-05-31 09:45,-966,-198
