time,strength,rel.price
2017-06-13 23:35,0,0
2017-06-14 01:45,0,3
2017-06-14 03:30,0,3
2017-06-14 07:30,0,3
2017-06-14 08:30,495,3
2017-06-14 09:00,-237,3
2017-06-14 11:30,-167,0
2017-06-14 12:00,-167,-6
2017-06-14 12:35,-19,-6
2017-06-14 12:57,7,1
2017-06-14 15:30,-117,1
2017-06-14 16:30,-110,1
2017-06-14 17:30,-26,1
2017-06-14 20:01,119,1
2017-06-14 21:30,124,1
2017-06-15 01:45,38,167
2017-06-15 02:50,-189,167
2017-06-15 04:30,-186,167
2017-06-15 07:30,-143,167
2017-06-15 09:45,115,167
2017-06-15 10:15,95,167
2017-06-15 10:30,-150,167
2017-06-15 10:40,-778,167
2017-06-15 11:00,-208,125
2017-06-15 11:30,-37,125
2017-06-15 11:49,-114,125
2017-06-15 11:50,-266,125
2017-06-15 12:00,-191,125
2017-06-15 12:35,936,125
2017-06-15 15:30,367,125
2017-06-15 16:00,-70,86
2017-06-15 16:15,-263,86
2017-06-15 16:45,-253,86
2017-06-15 17:00,-248,86
2017-06-15 17:30,-284,86
2017-06-16 01:30,78,86
2017-06-16 01:45,78,86
2017-06-16 02:50,92,86
2017-06-16 04:15,-190,86
2017-06-16 04:30,-105,86
2017-06-16 04:45,35,86
2017-06-16 05:10,-262,86
2017-06-16 05:30,60,86
2017-06-16 05:54,341,86
2017-06-16 06:00,-290,86
2017-06-16 06:20,-467,86
2017-06-16 06:30,-171,86
2017-06-16 06:45,112,86
2017-06-16 07:15,-159,39
2017-06-16 07:40,-113,39
2017-06-16 08:00,56,39
2017-06-16 08:30,-354,39
2017-06-16 08:50,-412,39
2017-06-16 09:00,-170,39
2017-06-16 09:45,-429,39
2017-06-16 10:15,386,39
2017-06-16 10:30,230,39
2017-06-16 10:40,-123,39
2017-06-16 10:45,-123,39
2017-06-16 11:15,221,39
2017-06-16 11:30,-366,39
2017-06-16 11:49,-406,39
2017-06-16 11:50,-521,39
2017-06-16 12:00,-309,39
2017-06-16 12:30,406,39
2017-06-16 13:15,417,39
2017-06-16 13:45,409,39
2017-06-16 14:30,-60,39
2017-06-16 15:30,-226,39
2017-06-16 16:00,-97,39
2017-06-16 16:15,-97,39
2017-06-16 16:45,-19,39
2017-06-16 17:00,-10,39
2017-06-16 17:30,-252,39
2017-06-16 19:45,-281,39
2017-06-16 20:00,-284,39
2017-06-16 22:30,-175,39
2017-06-16 23:00,-178,39
2017-06-17 01:45,-110,39
2017-06-17 02:50,-149,39
2017-06-17 04:30,-90,39
2017-06-17 09:45,-96,39
2017-06-17 10:15,-8,39
2017-06-17 10:40,-414,39
2017-06-17 11:00,41,39
2017-06-17 11:30,-157,39
2017-06-17 11:50,-323,39
2017-06-17 12:00,15,39
2017-06-17 15:30,40,39
2017-06-17 16:00,396,39
2017-06-17 16:15,394,39
2017-06-17 16:45,392,39
2017-06-17 17:00,395,39
2017-06-17 17:30,324,39
2017-06-17 19:45,45,39
2017-06-19 02:01,-11,39
2017-06-19 02:30,-21,39
2017-06-19 02:50,10,39
2017-06-19 04:30,10,39
2017-06-19 18:30,204,175
2017-06-20 01:15,36,175
2017-06-20 02:00,36,175
2017-06-20 04:30,33,175
