time,strength,rel.price
2017-05-17 18:30,0,0
2017-05-18 02:50,-84,-248
2017-05-18 04:30,14,-248
2017-05-18 08:30,126,-248
2017-05-18 10:50,35,-138
2017-05-18 11:30,35,-156
2017-05-18 11:50,-137,-225
2017-05-18 12:00,-105,-225
2017-05-18 12:30,367,-225
2017-05-18 13:32,-758,-581
2017-05-18 13:33,-634,-581
2017-05-18 15:30,-647,-446
2017-05-18 15:45,-972,-395
2017-05-18 16:45,133,-483
2017-05-18 17:30,266,-471
2017-05-18 20:15,161,-357
2017-05-19 01:45,-82,-185
2017-05-19 11:30,408,-185
2017-05-19 13:00,32,-185
2017-05-19 15:30,321,-185
2017-05-19 16:00,305,-185
2017-05-19 16:15,305,-185
2017-05-19 17:00,449,-185
2017-05-19 17:30,357,-185
2017-05-19 22:30,-118,-185
2017-05-22 02:01,55,166
2017-05-22 02:50,55,166
2017-05-22 08:30,192,166
2017-05-22 15:30,22,387
2017-05-22 16:00,18,349
2017-05-22 17:00,-43,353
2017-05-22 17:30,-265,383
2017-05-22 18:30,91,325
2017-05-22 20:30,-22,342
2017-05-22 21:00,-73,342
2017-05-23 02:30,180,323
2017-05-23 02:50,233,240
2017-05-23 03:30,-294,234
2017-05-23 04:10,-287,175
2017-05-23 07:30,-250,175
2017-05-23 09:45,-372,175
2017-05-23 10:00,-243,175
2017-05-23 10:15,-708,175
2017-05-23 10:30,-425,175
2017-05-23 10:55,-611,124
2017-05-23 11:00,-631,139
2017-05-23 11:30,19,301
2017-05-23 12:35,-287,391
2017-05-23 13:00,-337,338
2017-05-23 15:30,-410,290
2017-05-23 15:55,287,237
2017-05-23 16:00,283,231
2017-05-23 16:45,1246,237
2017-05-23 16:59,1107,252
2017-05-23 17:00,1121,252
2017-05-23 17:30,1073,234
2017-05-23 18:30,1389,173
2017-05-23 20:00,679,344
2017-05-23 20:30,351,312
2017-05-23 22:15,-816,256
2017-05-23 23:30,-939,291
2017-05-23 23:35,-939,302
2017-05-24 01:45,-173,286
2017-05-24 02:00,-95,321
2017-05-24 03:30,-69,316
2017-05-24 04:10,0,353
2017-05-24 04:30,12,353
2017-05-24 07:30,-306,353
2017-05-24 08:00,125,353
2017-05-24 10:00,-30,353
2017-05-24 10:15,-339,353
2017-05-24 10:30,-261,353
2017-05-24 11:00,-350,353
2017-05-24 11:30,-560,353
2017-05-24 12:35,-532,353
2017-05-24 12:40,-416,353
2017-05-24 13:00,-604,353
2017-05-24 15:30,139,353
2017-05-24 15:45,-75,353
2017-05-24 15:58,-12,353
2017-05-24 16:00,-16,353
2017-05-24 16:03,121,353
2017-05-24 16:45,-449,353
2017-05-24 16:59,-668,353
2017-05-24 17:00,-659,353
2017-05-24 17:30,-630,353
2017-05-24 22:00,110,353
2017-05-25 01:00,-147,333
2017-05-25 01:11,14,340
2017-05-25 01:30,14,339
2017-05-25 01:45,25,336
2017-05-25 02:50,-333,376
2017-05-25 04:30,-437,408
2017-05-25 11:00,-333,408
2017-05-25 11:30,385,408
2017-05-25 12:35,-246,408
2017-05-25 15:30,-601,408
2017-05-25 15:45,-623,408
2017-05-25 15:58,-623,408
2017-05-25 16:00,-623,408
2017-05-25 16:03,-555,408
2017-05-25 17:30,207,408
2017-05-26 02:30,244,437
2017-05-26 02:50,117,437
2017-05-26 09:45,-370,437
2017-05-26 11:00,-200,195
2017-05-26 11:30,-236,211
2017-05-26 15:30,35,25
2017-05-26 17:30,138,-4
2017-05-26 22:30,124,17
2017-05-29 01:15,-259,19
2017-05-29 08:30,-226,19
2017-05-29 10:15,-60,6
2017-05-29 12:10,-233,56
2017-05-30 01:45,-488,-27
2017-05-30 02:30,-518,-27
2017-05-30 02:50,-709,-27
2017-05-30 04:30,-944,-27
2017-05-30 08:00,-489,-27
2017-05-30 09:00,-1094,-27
2017-05-30 09:45,-718,-27
2017-05-30 10:00,-856,-27
2017-05-30 11:00,-997,-356
2017-05-30 11:30,-189,-334
2017-05-30 12:00,-803,-246
2017-05-30 12:15,-1000,-212
2017-05-30 12:16,-994,-236
2017-05-30 12:30,-586,-238
2017-05-30 12:47,-922,-233
2017-05-30 15:00,-731,-175
2017-05-30 15:30,108,-204
2017-05-30 16:00,-1,-118
2017-05-30 17:30,262,-93
2017-05-30 18:30,222,-37
2017-05-30 19:00,98,-56
2017-05-31 00:00,239,-137
2017-05-31 01:00,461,-109
2017-05-31 01:01,461,-109
2017-05-31 01:50,19,-109
2017-05-31 02:00,-496,-109
2017-05-31 02:01,-486,-109
2017-05-31 02:30,-295,-109
2017-05-31 02:50,-112,-109
2017-05-31 03:00,150,-109
2017-05-31 03:10,777,-109
2017-05-31 03:30,306,-109
2017-05-31 04:00,-72,-109
2017-05-31 04:10,-69,-109
2017-05-31 04:30,-201,-109
2017-05-31 07:00,-411,-109
2017-05-31 08:00,-280,-109
2017-05-31 08:45,-317,-109
2017-05-31 09:00,60,-109
2017-05-31 09:20,-8,-109
2017-05-31 09:45,205,-109
2017-05-31 10:00,567,-109
2017-05-31 10:20,-140,-97
2017-05-31 10:30,526,-110
2017-05-31 10:55,288,-87
2017-05-31 11:00,284,-47
2017-05-31 11:12,1023,-50
