time,strength,rel.price
2017-06-05 13:30,0,0
2017-06-05 14:45,0,-7
2017-06-05 15:30,0,-41
2017-06-05 16:45,0,-40
2017-06-05 18:30,0,-32
2017-06-06 02:01,0,-28
2017-06-06 02:30,0,-28
2017-06-06 03:00,0,-28
2017-06-06 04:30,161,-28
2017-06-06 06:45,-186,-28
2017-06-06 07:30,-180,-28
2017-06-06 10:15,-92,-173
2017-06-06 10:45,-11,-204
2017-06-06 10:50,-79,-225
2017-06-06 10:55,402,-225
2017-06-06 11:00,-98,-211
2017-06-06 11:10,-95,-243
2017-06-06 11:30,-553,-334
2017-06-06 12:00,96,-353
2017-06-06 12:35,-866,-386
2017-06-06 15:30,128,-443
2017-06-06 15:55,-35,-366
2017-06-06 16:00,36,-352
2017-06-06 16:45,-266,-348
2017-06-06 16:59,-263,-437
2017-06-06 17:00,-263,-437
2017-06-06 17:37,-163,-378
2017-06-06 17:38,-160,-378
2017-06-06 17:40,-161,-378
2017-06-06 18:30,-170,-364
2017-06-06 23:30,-358,-331
2017-06-06 23:35,-405,-340
2017-06-07 01:45,-420,-316
2017-06-07 02:30,-165,-316
2017-06-07 02:50,-191,-316
2017-06-07 03:00,-185,-316
2017-06-07 04:30,23,-316
2017-06-07 08:00,-241,-316
2017-06-07 09:00,-238,-316
2017-06-07 10:00,-621,-331
2017-06-07 10:30,-226,-326
2017-06-07 11:00,-240,-407
2017-06-07 11:30,-687,-549
2017-06-07 12:00,259,-466
2017-06-07 15:30,282,-794
2017-06-07 16:59,-438,-681
2017-06-07 17:00,-435,-681
2017-06-07 17:30,-436,-650
2017-06-07 17:37,-573,-648
2017-06-08 02:01,-128,-530
2017-06-08 02:30,-120,-530
2017-06-08 02:50,-177,-530
2017-06-08 03:30,-449,-530
2017-06-08 04:30,5,-530
2017-06-08 05:00,98,-530
2017-06-08 05:30,546,-530
2017-06-08 06:30,439,-530
2017-06-08 07:05,58,-530
2017-06-08 08:30,344,-530
2017-06-08 08:45,342,-530
2017-06-08 09:45,745,-579
2017-06-08 10:00,1,-597
2017-06-08 10:15,-26,-595
2017-06-08 10:30,-45,-571
2017-06-08 11:00,486,-615
2017-06-08 11:16,309,-637
2017-06-08 12:00,-131,-614
2017-06-08 12:30,-482,-656
2017-06-08 14:45,608,-764
2017-06-08 15:13,472,-764
2017-06-08 15:15,462,-764
2017-06-08 15:16,493,-764
2017-06-08 15:30,907,-764
2017-06-08 16:30,-257,-817
2017-06-08 17:00,-57,-942
2017-06-08 17:30,-84,-948
2017-06-08 18:15,241,-896
2017-06-08 20:31,-91,-926
2017-06-08 21:20,-133,-946
2017-06-08 22:00,-144,-957
2017-06-09 01:30,-122,-789
2017-06-09 02:50,-257,-838
2017-06-09 03:00,-291,-838
2017-06-09 03:45,173,-838
2017-06-09 04:30,-415,-838
2017-06-09 05:30,-531,-838
2017-06-09 07:30,-528,-838
2017-06-09 08:00,-532,-838
2017-06-09 09:30,-79,-955
2017-06-09 09:45,397,-944
2017-06-09 10:15,183,-972
2017-06-09 11:30,-228,-1062
2017-06-09 12:01,-214,-1064
2017-06-09 12:02,-194,-1064
2017-06-09 12:03,-202,-1064
2017-06-09 13:04,-16,-1073
2017-06-09 14:48,182,-1058
2017-06-09 15:00,165,-1059
2017-06-09 15:13,347,-1048
2017-06-09 15:15,344,-1048
2017-06-09 15:30,437,-1060
2017-06-09 17:30,533,-978
2017-06-09 18:15,203,-935
2017-06-09 22:30,-74,-1032
2017-06-10 04:30,-257,-970
2017-06-10 07:30,30,-970
2017-06-10 09:45,317,-970
2017-06-10 11:30,287,-970
2017-06-10 15:30,75,-970
2017-06-12 00:45,-87,-1038
2017-06-12 01:45,-296,-1038
2017-06-12 01:50,-64,-1038
2017-06-12 02:50,-138,-1038
2017-06-12 07:30,-364,-1038
2017-06-12 08:00,-250,-1038
2017-06-12 08:30,-323,-1038
2017-06-12 08:59,-212,-1038
2017-06-12 09:00,-212,-1038
2017-06-12 10:30,-106,-1038
2017-06-12 11:00,-200,-1038
2017-06-12 11:10,-23,-1038
2017-06-12 11:30,-180,-670
2017-06-12 11:35,75,-661
2017-06-12 12:10,439,-619
2017-06-12 12:35,597,-684
2017-06-12 13:01,420,-657
2017-06-12 18:30,47,-848
2017-06-12 20:01,-446,-912
2017-06-12 20:35,-179,-875
2017-06-12 21:00,-62,-888
2017-06-13 01:30,124,-889
2017-06-13 02:00,119,-889
2017-06-13 02:50,849,-889
2017-06-13 03:00,812,-889
2017-06-13 03:10,338,-889
2017-06-13 04:30,888,-889
2017-06-13 04:50,918,-889
2017-06-13 05:00,614,-889
2017-06-13 05:30,1047,-889
2017-06-13 08:30,73,-889
2017-06-13 08:55,177,-889
2017-06-13 09:00,160,-889
2017-06-13 10:10,216,-889
2017-06-13 11:30,1050,-889
2017-06-13 11:50,494,-889
2017-06-13 12:00,19,-889
2017-06-13 12:30,6,-940
2017-06-13 12:38,-129,-965
2017-06-13 12:57,-20,-975
2017-06-13 13:00,-20,-975
