time,strength,rel.price
2017-05-19 13:00,0,0
2017-05-19 15:30,0,0
2017-05-19 16:00,0,0
2017-05-19 16:15,0,0
2017-05-19 17:00,0,0
2017-05-19 17:30,184,0
2017-05-19 22:30,98,0
2017-05-22 02:01,-150,437
2017-05-22 02:50,-150,437
2017-05-22 08:30,-138,437
2017-05-22 15:30,99,583
2017-05-22 16:00,-317,556
2017-05-22 17:00,-433,605
2017-05-22 17:30,-463,594
2017-05-22 18:30,63,630
2017-05-22 20:30,-104,617
2017-05-22 21:00,-168,617
2017-05-23 02:30,103,542
2017-05-23 02:50,103,568
2017-05-23 03:30,35,564
2017-05-23 04:10,-107,558
2017-05-23 07:30,181,558
2017-05-23 09:45,-76,558
2017-05-23 10:00,60,558
2017-05-23 10:15,-96,558
2017-05-23 10:30,25,558
2017-05-23 10:55,-223,530
2017-05-23 11:00,-239,526
2017-05-23 11:30,266,596
2017-05-23 12:35,90,629
2017-05-23 13:00,77,618
2017-05-23 15:30,-413,547
2017-05-23 15:55,472,518
2017-05-23 16:00,345,524
2017-05-23 16:45,304,527
2017-05-23 16:59,1145,545
2017-05-23 17:00,519,545
2017-05-23 17:30,392,552
2017-05-23 18:30,1024,488
2017-05-23 20:30,-129,389
2017-05-23 22:15,-300,390
2017-05-23 23:30,36,315
2017-05-23 23:35,337,320
2017-05-24 01:45,269,333
2017-05-24 03:00,277,360
2017-05-24 03:30,326,350
2017-05-24 04:10,91,325
2017-05-24 04:30,90,325
2017-05-24 07:30,302,325
2017-05-24 08:00,283,325
2017-05-24 10:00,183,325
2017-05-24 10:15,-113,325
2017-05-24 10:30,-108,325
2017-05-24 11:00,-338,325
2017-05-24 11:30,-548,325
2017-05-24 12:35,-273,325
2017-05-24 12:40,-257,325
2017-05-24 13:00,-486,325
2017-05-24 15:30,425,325
2017-05-24 15:45,335,325
2017-05-24 15:58,602,325
2017-05-24 16:00,178,325
2017-05-24 16:03,-318,325
2017-05-24 16:45,-501,325
2017-05-24 16:59,-472,325
2017-05-24 17:00,-452,325
2017-05-24 17:30,-215,325
2017-05-24 22:00,212,325
2017-05-25 01:00,-22,486
2017-05-25 01:11,29,484
2017-05-25 01:30,29,487
2017-05-25 01:45,242,475
2017-05-25 02:50,245,495
2017-05-25 04:30,204,532
2017-05-25 11:00,4,532
2017-05-25 11:30,360,532
2017-05-25 12:35,-431,532
2017-05-25 15:30,-340,532
2017-05-25 15:45,-705,532
2017-05-25 15:58,-105,532
2017-05-25 16:00,-111,532
2017-05-25 16:03,121,532
2017-05-25 17:30,79,532
2017-05-25 18:00,29,532
2017-05-26 02:30,780,453
2017-05-26 02:50,770,453
2017-05-26 09:45,34,453
2017-05-26 11:00,-122,442
2017-05-26 11:30,187,458
2017-05-26 15:30,56,428
2017-05-26 17:30,654,296
2017-05-26 22:30,-532,309
2017-05-29 01:15,-304,315
2017-05-29 08:30,-284,315
2017-05-29 10:15,-369,288
2017-05-29 11:00,-803,304
2017-05-29 12:10,-365,329
2017-05-30 01:45,-27,260
2017-05-30 02:30,-159,260
2017-05-30 02:50,-159,260
2017-05-30 04:30,-185,260
2017-05-30 09:00,-273,260
2017-05-30 09:45,-184,260
2017-05-30 10:00,-352,260
2017-05-30 11:30,165,146
2017-05-30 12:00,-681,154
2017-05-30 12:15,-494,184
2017-05-30 12:16,-397,184
2017-05-30 12:30,-18,180
2017-05-30 12:47,-689,182
2017-05-30 15:30,79,216
2017-05-30 16:00,-107,293
2017-05-30 17:30,324,313
2017-05-30 18:30,258,375
2017-05-30 19:00,-16,331
2017-05-31 00:00,158,360
2017-05-31 01:00,478,373
2017-05-31 01:01,478,373
2017-05-31 01:50,61,373
2017-05-31 02:00,49,373
2017-05-31 02:01,49,373
2017-05-31 02:30,410,373
2017-05-31 02:50,559,373
2017-05-31 03:00,543,373
2017-05-31 03:10,509,373
2017-05-31 03:30,368,373
2017-05-31 04:00,131,373
2017-05-31 04:10,142,373
2017-05-31 04:30,304,373
2017-05-31 07:00,-18,373
2017-05-31 08:00,-426,373
2017-05-31 08:45,-603,373
2017-05-31 09:00,-551,373
2017-05-31 09:20,-1059,373
2017-05-31 09:45,-682,373
2017-05-31 10:00,-584,373
2017-05-31 10:20,-1120,315
2017-05-31 10:30,-423,306
2017-05-31 10:55,-757,327
2017-05-31 11:00,-751,359
2017-05-31 11:12,29,367
2017-05-31 11:30,-399,369
2017-05-31 12:00,-368,346
2017-05-31 12:12,-207,333
2017-05-31 12:16,117,333
2017-05-31 13:05,478,309
2017-05-31 14:30,159,410
2017-05-31 14:55,-275,448
2017-05-31 15:00,-209,467
2017-05-31 15:30,-557,485
2017-05-31 15:45,101,487
2017-05-31 15:55,69,507
2017-05-31 16:30,239,483
2017-05-31 16:45,1311,465
2017-05-31 17:00,1379,497
2017-05-31 17:30,1202,484
2017-05-31 23:00,332,591
2017-05-31 23:30,116,548
2017-06-01 01:45,-319,587
2017-06-01 02:01,-412,584
