time,strength,rel.price
2017-05-16 15:55,0,0
2017-05-16 16:15,0,-63
2017-05-16 16:30,0,-68
2017-05-16 17:45,0,-128
2017-05-16 17:52,0,-171
2017-05-16 18:30,0,-113
2017-05-16 23:30,0,-47
2017-05-16 23:35,0,-85
2017-05-17 01:45,0,-17
2017-05-17 02:50,0,-17
2017-05-17 03:30,-40,-17
2017-05-17 04:30,-33,-17
2017-05-17 07:30,-6,-17
2017-05-17 11:30,226,161
2017-05-17 12:30,221,278
2017-05-17 12:35,277,277
2017-05-17 13:14,264,403
2017-05-17 15:30,37,445
2017-05-17 16:00,33,435
2017-05-17 17:30,230,544
2017-05-17 18:30,112,380
2017-05-18 02:50,146,233
2017-05-18 04:30,142,233
2017-05-18 08:30,-88,233
2017-05-18 10:50,427,-79
2017-05-18 11:30,669,62
2017-05-18 11:50,629,25
2017-05-18 12:00,822,25
2017-05-18 12:30,-424,25
2017-05-18 13:32,-301,539
2017-05-18 13:33,-301,539
2017-05-18 15:30,-642,461
2017-05-18 15:45,-642,470
2017-05-18 16:45,-639,434
2017-05-18 17:30,219,506
2017-05-18 20:15,437,452
2017-05-19 01:45,-9,206
2017-05-19 06:00,119,206
2017-05-19 11:30,83,206
2017-05-19 12:00,110,206
2017-05-19 13:00,83,206
2017-05-19 15:30,83,206
2017-05-19 16:00,132,206
2017-05-19 16:15,132,206
2017-05-19 17:00,132,206
2017-05-19 17:30,132,206
2017-05-19 22:30,132,206
2017-05-22 02:01,-213,342
2017-05-22 02:50,-63,342
2017-05-22 08:30,-72,342
2017-05-22 15:30,-46,49
2017-05-22 17:00,20,38
2017-05-22 17:30,20,87
2017-05-22 18:30,29,56
2017-05-22 20:30,-45,64
2017-05-22 21:00,-45,64
2017-05-23 02:30,0,-19
2017-05-23 02:50,0,-1
2017-05-23 03:30,0,-3
2017-05-23 04:10,0,11
2017-05-23 07:30,0,11
2017-05-23 09:45,0,11
2017-05-23 10:00,0,11
2017-05-23 10:15,0,11
2017-05-23 10:30,0,11
2017-05-23 10:55,0,-305
2017-05-23 11:00,0,-323
2017-05-23 11:30,0,-203
2017-05-23 12:35,31,-322
2017-05-23 13:00,106,-299
2017-05-23 15:30,45,-425
2017-05-23 15:55,45,-422
2017-05-23 16:45,66,-532
2017-05-23 16:59,68,-482
2017-05-23 17:00,68,-482
2017-05-23 17:30,-55,-362
2017-05-23 18:00,-481,-287
2017-05-23 18:30,-55,-346
2017-05-23 20:30,-49,-217
2017-05-23 22:15,-112,-193
2017-05-23 23:30,-94,-219
2017-05-23 23:35,-94,-201
2017-05-24 00:00,-88,-213
2017-05-24 01:45,10,-247
2017-05-24 02:00,11,-230
2017-05-24 03:30,10,-257
2017-05-24 04:10,274,-209
2017-05-24 04:30,342,-209
2017-05-24 07:30,-50,-209
2017-05-24 08:00,-50,-209
2017-05-24 10:00,-254,-209
2017-05-24 10:15,214,-209
2017-05-24 10:30,214,-209
2017-05-24 11:00,208,-209
2017-05-24 11:30,202,-209
2017-05-24 12:35,173,-209
2017-05-24 12:40,173,-209
2017-05-24 13:00,280,-209
2017-05-24 15:30,55,-209
2017-05-24 15:45,55,-209
2017-05-24 15:58,55,-209
2017-05-24 16:00,55,-209
2017-05-24 16:03,55,-209
2017-05-24 16:45,164,-209
2017-05-24 16:59,168,-209
2017-05-24 17:00,168,-209
2017-05-24 17:30,140,-209
2017-05-25 01:00,218,-423
2017-05-25 01:11,218,-434
2017-05-25 01:30,218,-431
2017-05-25 01:45,218,-438
2017-05-25 02:50,32,-407
2017-05-25 04:30,74,-363
2017-05-25 11:00,0,-363
2017-05-25 11:30,0,-363
2017-05-25 12:35,10,-363
2017-05-25 15:30,-33,-363
2017-05-25 15:45,-54,-363
2017-05-25 15:58,-54,-363
2017-05-25 16:00,-54,-363
2017-05-25 16:03,-54,-363
2017-05-25 17:30,-56,-363
2017-05-25 20:00,-272,-363
2017-05-26 02:30,176,-156
2017-05-26 02:50,44,-156
2017-05-26 09:45,-65,-156
2017-05-26 10:00,-65,-277
2017-05-26 11:00,-115,-386
2017-05-26 11:30,-67,-282
2017-05-26 15:30,-12,-600
2017-05-26 17:30,-12,-724
2017-05-26 20:00,-13,-803
2017-05-26 22:30,-25,-793
2017-05-29 01:15,103,-764
2017-05-29 08:30,216,-764
2017-05-29 10:00,125,-531
2017-05-29 10:15,125,-547
2017-05-29 11:00,147,-530
2017-05-29 12:10,125,-527
2017-05-29 16:00,0,-499
2017-05-29 18:00,0,-569
2017-05-30 01:45,0,-583
2017-05-30 02:30,0,-583
2017-05-30 02:50,0,-583
2017-05-30 04:30,-9,-583
2017-05-30 09:00,-64,-583
2017-05-30 09:45,-67,-583
2017-05-30 10:00,-67,-583
2017-05-30 11:00,5,-643
2017-05-30 11:30,5,-543
2017-05-30 12:00,5,-499
2017-05-30 12:15,-48,-481
2017-05-30 12:16,-48,-488
2017-05-30 12:30,26,-510
2017-05-30 12:47,-15,-579
2017-05-30 15:00,-35,-467
2017-05-30 15:30,-35,-465
2017-05-30 17:30,-35,-591
2017-05-30 20:00,-56,-591
2017-05-31 02:01,51,-591
2017-05-31 02:30,-516,-591
2017-05-31 02:50,200,-591
2017-05-31 04:10,-21,-591
2017-05-31 04:30,314,-591
2017-05-31 09:45,-57,-591
2017-05-31 10:00,-51,-591
2017-05-31 10:20,-9,-591
2017-05-31 10:55,-11,-591
2017-05-31 11:00,-5,-591
2017-05-31 11:30,-296,-591
2017-05-31 12:00,-489,-591
2017-05-31 15:00,94,-591
2017-05-31 15:30,136,-591
2017-05-30 17:33,0,-591

