time,strength,rel.price
2017-05-19 01:45,0,0
2017-05-19 11:30,0,0
2017-05-19 12:00,0,0
2017-05-19 15:30,0,0
2017-05-19 16:00,469,0
2017-05-19 16:15,86,0
2017-05-19 17:00,-480,0
2017-05-19 17:30,-480,0
2017-05-19 22:30,-281,0
2017-05-22 02:01,0,-30
2017-05-22 02:50,168,-30
2017-05-22 08:30,0,-30
2017-05-22 15:30,53,-250
2017-05-22 16:00,53,-244
2017-05-22 17:00,-10,-232
2017-05-22 17:30,-10,-205
2017-05-22 18:30,-10,-146
2017-05-22 20:30,25,-148
2017-05-22 21:00,25,-148
2017-05-23 02:30,0,-285
2017-05-23 02:50,0,-269
2017-05-23 03:30,0,-309
2017-05-23 04:10,0,-310
2017-05-23 07:30,0,-310
2017-05-23 09:45,0,-310
2017-05-23 10:00,0,-310
2017-05-23 10:15,0,-310
2017-05-23 10:30,0,-310
2017-05-23 10:55,0,-477
2017-05-23 11:00,0,-456
2017-05-23 11:30,0,-381
2017-05-23 12:35,323,-401
2017-05-23 13:00,386,-370
2017-05-23 15:30,-556,-619
2017-05-23 15:55,-507,-560
2017-05-23 16:00,-508,-562
2017-05-23 16:45,-506,-631
2017-05-23 16:59,-509,-576
2017-05-23 17:00,-507,-576
2017-05-23 17:30,-427,-535
2017-05-23 18:30,97,-549
2017-05-23 20:30,207,-343
2017-05-23 22:15,-203,-372
2017-05-23 23:30,213,-357
2017-05-23 23:35,202,-321
2017-05-24 00:00,208,-370
2017-05-24 01:45,-234,-428
2017-05-24 02:00,-194,-404
2017-05-24 03:30,-285,-408
2017-05-24 04:10,-285,-390
2017-05-24 04:30,-285,-390
2017-05-24 07:30,8,-390
2017-05-24 08:00,8,-390
2017-05-24 10:00,-259,-390
2017-05-24 10:15,-209,-390
2017-05-24 10:30,-259,-390
2017-05-24 11:00,-209,-390
2017-05-24 11:30,-209,-390
2017-05-24 12:35,-55,-390
2017-05-24 12:40,-55,-390
2017-05-24 13:00,-13,-390
2017-05-24 15:30,-58,-390
2017-05-24 15:45,-25,-390
2017-05-24 15:58,-25,-390
2017-05-24 16:00,-25,-390
2017-05-24 16:03,-25,-390
2017-05-24 16:45,-29,-390
2017-05-24 16:59,-29,-390
2017-05-24 17:00,-29,-390
2017-05-24 17:30,26,-390
2017-05-24 21:00,-59,-390
2017-05-25 01:00,22,-880
2017-05-25 01:11,93,-906
2017-05-25 01:30,113,-895
2017-05-25 01:45,-42,-911
2017-05-25 02:50,-126,-908
2017-05-25 04:30,-290,-848
2017-05-25 11:00,-20,-848
2017-05-25 11:30,-3,-848
2017-05-25 12:35,-112,-848
2017-05-25 15:30,-117,-848
2017-05-25 15:45,-115,-848
2017-05-25 15:58,-115,-848
2017-05-25 16:00,-115,-848
2017-05-25 16:03,-415,-848
2017-05-25 17:30,138,-848
2017-05-25 18:00,147,-848
2017-05-26 02:30,82,-662
2017-05-26 02:50,82,-662
2017-05-26 09:45,-43,-662
2017-05-26 11:00,-43,-1194
2017-05-26 11:30,-199,-1084
2017-05-26 15:30,-4,-1332
2017-05-26 17:30,-71,-1437
2017-05-26 22:30,-238,-1572
2017-05-29 01:15,14,-1547
2017-05-29 08:30,14,-1547
2017-05-29 10:15,91,-1390
2017-05-29 11:00,-68,-1409
2017-05-29 12:10,55,-1385
2017-05-30 01:45,0,-1410
2017-05-30 02:30,0,-1410
2017-05-30 02:50,0,-1410
2017-05-30 04:30,0,-1410
2017-05-30 09:00,0,-1410
2017-05-30 09:45,0,-1410
2017-05-30 10:00,0,-1410
2017-05-30 11:30,0,-1333
2017-05-30 12:15,0,-1173
2017-05-30 12:16,0,-1173
2017-05-30 12:30,0,-1182
2017-05-30 12:47,0,-1230
2017-05-30 15:00,0,-1196
2017-05-30 15:30,0,-1147
2017-05-30 16:00,-88,-1187
2017-05-30 17:30,423,-1102
2017-05-30 18:30,-344,-1061
2017-05-30 19:00,-344,-1199
2017-05-31 00:00,-95,-1250
2017-05-31 01:00,-95,-1212
2017-05-31 01:01,-280,-1212
2017-05-31 01:50,-175,-1212
2017-05-31 02:00,-125,-1212
2017-05-31 02:01,-125,-1212
2017-05-31 02:30,285,-1212
2017-05-31 02:50,-280,-1212
2017-05-31 03:00,-277,-1212
2017-05-31 03:10,92,-1212
2017-05-31 03:30,92,-1212
2017-05-31 04:00,93,-1212
2017-05-31 04:10,-313,-1212
2017-05-31 04:30,-309,-1212
2017-05-31 07:00,-215,-1212
2017-05-31 08:00,92,-1212
2017-05-31 08:45,201,-1212
2017-05-31 09:00,198,-1212
2017-05-31 09:20,-114,-1212
2017-05-31 09:45,-13,-1212
2017-05-31 10:00,-13,-1212
2017-05-31 10:20,-13,-1509
2017-05-31 10:30,-80,-1559
2017-05-31 10:55,-449,-1564
2017-05-31 11:00,-449,-1535
2017-05-31 11:12,-265,-1552
2017-05-31 11:30,-220,-1546
2017-05-31 12:00,-284,-1548
2017-05-31 12:12,-702,-1610
2017-05-31 12:16,-597,-1632
2017-05-31 13:00,-151,-1660
2017-05-31 13:05,-148,-1706
2017-05-31 14:00,146,-1521
2017-05-31 14:30,741,-1468
2017-05-31 14:55,-17,-1364
2017-05-31 15:00,-17,-1368
2017-05-31 15:30,288,-1359
2017-05-31 15:45,969,-1313
2017-05-31 15:55,131,-1333
2017-05-31 16:00,137,-1347
2017-05-31 16:30,-230,-1309
2017-05-31 16:45,730,-1363
2017-05-31 17:00,737,-1358
2017-05-31 17:30,27,-1180
2017-05-31 23:00,-262,-826
2017-05-31 23:30,-195,-843
2017-06-01 01:45,98,-978
2017-06-01 02:01,85,-978
2017-06-01 02:30,343,-977
2017-06-01 02:50,131,-977
2017-06-01 03:10,137,-977
