time,strength,rel.price
2017-05-23 18:30,0,0
2017-05-23 20:30,0,78
2017-05-23 22:15,0,111
2017-05-23 23:30,0,139
2017-05-23 23:35,0,148
2017-05-24 00:00,0,139
2017-05-24 01:45,0,111
2017-05-24 02:00,0,134
2017-05-24 03:00,0,103
2017-05-24 03:30,0,91
2017-05-24 04:10,0,110
2017-05-24 04:30,0,110
2017-05-24 07:30,0,110
2017-05-24 08:00,0,110
2017-05-24 10:00,-5,110
2017-05-24 10:15,-44,110
2017-05-24 10:30,126,110
2017-05-24 11:00,252,110
2017-05-24 11:30,-15,110
2017-05-24 12:35,-53,110
2017-05-24 12:40,-53,110
2017-05-24 13:00,3,110
2017-05-24 15:30,-108,110
2017-05-24 15:45,-108,110
2017-05-24 15:58,-108,110
2017-05-24 16:00,-6,110
2017-05-24 16:03,-6,110
2017-05-24 16:45,-2,110
2017-05-24 16:59,-2,110
2017-05-24 17:00,-2,110
2017-05-24 17:30,-3,110
2017-05-25 01:00,0,21
2017-05-25 01:11,0,-7
2017-05-25 01:30,0,0
2017-05-25 01:45,0,0
2017-05-25 02:50,0,3
2017-05-25 04:30,0,-4
2017-05-25 11:00,0,-4
2017-05-25 11:30,0,-4
2017-05-25 12:35,-108,-4
2017-05-25 15:30,-93,-4
2017-05-25 15:45,-93,-4
2017-05-25 15:58,-143,-4
2017-05-25 16:00,-143,-4
2017-05-25 16:03,-143,-4
2017-05-25 17:30,-55,-4
2017-05-25 18:00,-55,-4
2017-05-26 02:30,9,-147
2017-05-26 02:50,10,-147
2017-05-26 09:45,-15,-147
2017-05-26 11:00,-15,-446
2017-05-26 11:30,-79,-401
2017-05-26 15:30,-12,-532
2017-05-26 17:30,-16,-480
2017-05-26 22:30,-123,-596
2017-05-29 01:15,69,-541
2017-05-29 08:30,103,-541
2017-05-29 10:15,267,-448
2017-05-29 11:00,441,-472
2017-05-29 12:10,127,-452
2017-05-30 01:45,33,-291
2017-05-30 02:30,33,-291
2017-05-30 02:50,55,-291
2017-05-30 04:30,-22,-291
2017-05-30 09:00,-33,-291
2017-05-30 09:45,-33,-291
2017-05-30 10:00,-33,-291
2017-05-30 11:30,-481,-233
2017-05-30 12:00,-482,-192
2017-05-30 12:15,145,-240
2017-05-30 12:16,145,-240
2017-05-30 12:30,142,-246
2017-05-30 12:47,143,-268
2017-05-30 15:30,255,-201
2017-05-30 16:00,-162,-283
2017-05-30 17:30,-190,-336
2017-05-30 18:30,39,-296
2017-05-31 01:01,113,-360
2017-05-31 01:50,24,-360
2017-05-31 02:01,58,-360
2017-05-31 02:30,357,-360
2017-05-31 02:50,-146,-360
2017-05-31 03:10,189,-360
2017-05-31 03:30,189,-360
2017-05-31 04:10,-37,-360
2017-05-31 04:30,-37,-360
2017-05-31 08:00,243,-360
2017-05-31 08:45,102,-360
2017-05-31 09:00,101,-360
2017-05-31 09:20,-77,-360
2017-05-31 09:45,24,-360
2017-05-31 10:20,-16,-508
2017-05-31 10:30,-167,-554
2017-05-31 10:55,-184,-535
2017-05-31 11:00,-184,-518
2017-05-31 11:12,74,-499
2017-05-31 11:30,98,-511
2017-05-31 12:00,100,-555
2017-05-31 12:12,-500,-576
2017-05-31 12:16,-345,-587
2017-05-31 13:05,-553,-671
2017-05-31 14:30,-19,-599
2017-05-31 14:55,20,-572
2017-05-31 15:00,20,-605
2017-05-31 15:30,140,-615
2017-05-31 15:45,97,-640
2017-05-31 15:55,91,-638
2017-05-31 16:00,96,-629
2017-05-31 16:30,165,-560
2017-05-31 16:45,271,-567
