time,strength,rel.price
2017-06-15 09:45,0,0
2017-06-15 10:15,0,0
2017-06-15 10:30,0,0
2017-06-15 10:40,0,0
2017-06-15 11:00,0,0
2017-06-15 11:30,86,0
2017-06-15 11:49,-94,0
2017-06-15 11:50,-94,0
2017-06-15 12:35,451,0
2017-06-15 15:30,223,0
2017-06-15 16:00,228,283
2017-06-15 16:15,260,283
2017-06-15 16:45,263,283
2017-06-15 17:00,257,283
2017-06-15 17:30,-375,283
2017-06-15 23:00,-279,283
2017-06-16 01:00,-286,283
2017-06-16 01:30,-72,283
2017-06-16 01:45,-67,283
2017-06-16 02:50,-49,283
2017-06-16 04:00,-78,283
2017-06-16 04:15,-78,283
2017-06-16 04:30,-81,283
2017-06-16 04:45,-81,283
2017-06-16 05:10,-21,283
2017-06-16 05:30,-38,283
2017-06-16 05:54,-37,283
2017-06-16 06:00,275,283
2017-06-16 06:20,-79,283
2017-06-16 06:30,81,283
2017-06-16 06:45,476,283
2017-06-16 07:15,317,882
2017-06-16 07:40,293,882
2017-06-16 08:00,287,882
2017-06-16 08:30,175,882
2017-06-16 08:50,55,882
2017-06-16 09:00,216,882
2017-06-16 09:45,441,882
2017-06-16 10:00,441,882
2017-06-16 10:15,437,882
2017-06-16 10:30,412,882
2017-06-16 10:40,-98,882
2017-06-16 10:45,-98,882
2017-06-16 11:00,-96,882
2017-06-16 11:15,-111,882
2017-06-16 11:30,-126,882
2017-06-16 11:49,37,882
2017-06-16 11:50,45,882
2017-06-16 12:00,358,882
2017-06-16 12:30,581,882
2017-06-16 13:00,194,882
2017-06-16 13:15,194,882
2017-06-16 13:45,-104,882
2017-06-16 14:00,-104,882
2017-06-16 14:30,-164,882
2017-06-16 15:30,-76,882
2017-06-16 16:00,-73,882
2017-06-16 16:15,104,882
2017-06-16 16:45,-76,882
2017-06-16 17:00,-126,882
2017-06-16 17:30,-231,882
2017-06-16 19:45,-74,882
2017-06-16 20:00,-124,882
2017-06-16 22:30,-13,882
2017-06-16 23:00,-61,882
2017-06-17 01:45,168,882
2017-06-17 02:50,127,882
2017-06-17 04:30,142,882
2017-06-17 09:45,-22,882
2017-06-17 10:15,-24,882
2017-06-17 10:40,-46,882
2017-06-17 11:00,-40,882
2017-06-17 11:30,449,882
2017-06-17 11:50,107,882
2017-06-17 12:00,259,882
2017-06-17 15:30,137,882
2017-06-17 16:00,103,882
2017-06-17 16:15,22,882
2017-06-17 16:45,22,882
2017-06-17 17:00,22,882
2017-06-17 17:30,-132,882
2017-06-17 19:45,-223,882
2017-06-19 02:01,-34,882
2017-06-19 02:30,-34,882
2017-06-19 02:50,107,882
2017-06-19 04:30,-184,882
2017-06-19 18:30,66,802
2017-06-20 01:15,11,802
2017-06-20 02:00,11,802
2017-06-20 04:30,244,802
2017-06-20 09:30,143,802
2017-06-20 10:15,242,802
2017-06-20 10:30,242,802
2017-06-20 11:00,242,802
2017-06-20 11:30,242,802
2017-06-20 11:45,242,802
2017-06-20 11:50,242,802
2017-06-20 12:00,242,802
2017-06-20 14:45,110,802
2017-06-20 15:00,110,802
2017-06-20 15:15,110,802
2017-06-20 15:30,242,802
2017-06-20 15:55,242,802
2017-06-20 18:03,242,802
2017-06-20 18:05,242,802
2017-06-20 18:30,242,802
2017-06-20 23:35,-11,802
2017-06-21 03:30,11,802
2017-06-21 04:30,11,802
2017-06-21 07:30,29,802
2017-06-21 09:35,309,802
2017-06-21 10:15,297,802
2017-06-21 10:30,297,802
