time,strength,rel.price
2017-05-30 16:00,0,0
2017-05-30 17:00,0,31
2017-05-30 17:30,0,-117
2017-05-30 18:30,0,-14
2017-05-31 01:01,-63,-283
2017-05-31 01:50,-70,-283
2017-05-31 02:00,-70,-283
2017-05-31 02:01,-70,-283
2017-05-31 02:30,181,-283
2017-05-31 02:50,-194,-283
2017-05-31 03:00,10,-283
2017-05-31 03:10,37,-283
2017-05-31 03:30,30,-283
2017-05-31 04:10,-90,-283
2017-05-31 04:30,-171,-283
2017-05-31 08:00,53,-283
2017-05-31 08:45,109,-283
2017-05-31 09:00,106,-283
2017-05-31 09:20,110,-283
2017-05-31 09:45,164,-283
2017-05-31 10:20,164,-447
2017-05-31 10:30,190,-511
2017-05-31 10:55,-10,-533
2017-05-31 11:00,-12,-472
2017-05-31 11:12,-242,-563
2017-05-31 11:30,-212,-581
2017-05-31 12:00,-652,-543
2017-05-31 12:12,-942,-553
2017-05-31 12:16,-693,-597
2017-05-31 13:05,-392,-716
2017-05-31 14:30,-86,-626
2017-05-31 14:55,-130,-495
2017-05-31 15:00,-130,-511
2017-05-31 15:30,251,-511
2017-05-31 15:45,272,-476
2017-05-31 15:55,272,-429
2017-05-31 16:00,277,-454
2017-05-31 16:30,297,-409
2017-05-31 16:45,297,-445
2017-05-31 17:00,298,-457
2017-05-31 17:30,-182,-396
2017-05-31 23:30,27,-55
2017-06-01 00:00,34,-29
2017-06-01 01:45,365,-62
2017-06-01 02:01,168,-51
2017-06-01 02:30,332,-9
2017-06-01 02:50,332,-9
2017-06-01 03:10,314,-9
2017-06-01 03:30,298,-9
2017-06-01 04:00,-374,-9
2017-06-01 04:30,-562,-9
2017-06-01 06:45,21,-9
2017-06-01 08:45,790,-9
2017-06-01 09:00,747,-9
2017-06-01 09:30,-115,-9
2017-06-01 09:45,-56,-9
2017-06-01 10:15,-253,-9
2017-06-01 10:30,-349,-9
2017-06-01 10:45,-357,-9
2017-06-01 10:50,-357,-9
2017-06-01 10:55,-357,-9
2017-06-01 11:00,-357,-9
2017-06-01 11:30,-217,-59
2017-06-01 11:50,-434,-45
2017-06-01 11:59,-29,12
2017-06-01 12:00,-29,12
2017-06-01 12:30,-321,57
2017-06-01 12:32,-321,60
2017-06-01 12:34,-258,60
2017-06-01 12:35,-496,60
2017-06-01 12:40,-581,68
2017-06-01 13:25,-630,-83
2017-06-01 14:30,-369,-162
2017-06-01 15:00,-212,-87
2017-06-01 15:15,-81,-77
2017-06-01 15:30,-27,-65
2017-06-01 16:30,-166,64
2017-06-01 16:45,-283,59
2017-06-01 16:50,-283,64
2017-06-01 17:30,-286,191
2017-06-01 18:00,-286,254
2017-06-01 22:30,232,208
2017-06-01 23:00,178,167
2017-06-02 02:50,-96,221
2017-06-02 08:45,-76,221
2017-06-02 09:00,-76,221
2017-06-02 10:15,-93,221
2017-06-02 10:30,-93,221
2017-06-02 10:45,-93,221
2017-06-02 11:30,-140,-82
2017-06-02 11:59,-175,-111
2017-06-02 12:00,-181,-111
2017-06-02 12:34,-294,-91
2017-06-02 15:15,123,-170
2017-06-02 15:30,123,-177
2017-06-02 16:45,91,-312
2017-06-02 17:00,89,-357
2017-06-02 17:30,-38,-492
2017-06-02 18:00,-68,-583
2017-06-02 19:45,165,-507
2017-06-02 20:00,165,-541
2017-06-02 22:30,84,-631
2017-06-03 11:30,238,-577
2017-06-03 14:30,180,-577
2017-06-03 15:30,185,-577
2017-06-05 02:30,0,-577
2017-06-05 03:30,0,-577
2017-06-05 04:30,0,-577
2017-06-05 06:30,50,-577
2017-06-05 09:30,84,-431
2017-06-05 10:15,66,-432
2017-06-05 10:45,-6,-423
2017-06-05 10:50,-6,-442
2017-06-05 10:55,-6,-521
2017-06-05 11:00,-6,-541
2017-06-05 11:30,246,-484
2017-06-05 13:30,111,-447
2017-06-05 14:45,7,-337
2017-06-05 15:00,12,-347
2017-06-05 15:30,-71,-365
2017-06-05 16:45,-112,-375
2017-06-05 17:00,-62,-413
2017-06-05 18:30,21,-261
2017-06-06 02:01,-54,-438
2017-06-06 02:30,-11,-438
2017-06-06 03:00,-38,-438
2017-06-06 04:30,-208,-438
2017-06-06 06:45,-66,-438
2017-06-06 07:30,-55,-438
2017-06-06 10:15,67,-537
2017-06-06 10:45,62,-595
2017-06-06 10:50,62,-633
2017-06-06 10:55,62,-640
2017-06-06 11:00,132,-619
2017-06-06 11:10,132,-662
2017-06-06 11:30,132,-689
2017-06-06 12:35,-214,-718
2017-06-06 15:30,-123,-872
2017-06-06 15:55,-72,-829
2017-06-06 16:45,-82,-908
2017-06-06 16:59,-73,-1051
2017-06-06 17:00,-73,-1051
2017-06-06 17:37,-89,-980
2017-06-06 17:38,-74,-980
2017-06-06 17:40,-85,-980
2017-06-06 18:30,-195,-991
2017-06-06 23:30,-165,-938
2017-06-06 23:35,-157,-954
2017-06-07 01:45,-416,-871
2017-06-07 02:30,259,-871
2017-06-07 02:50,132,-871
2017-06-07 03:00,132,-871
2017-06-07 04:30,193,-871
2017-06-07 09:00,17,-871
2017-06-07 10:30,152,-818
2017-06-07 11:00,-1,-968
2017-06-07 11:30,80,-1038
2017-06-07 12:00,-452,-973
2017-06-07 15:30,-27,-1002
2017-06-07 16:59,-128,-964
2017-06-07 17:00,-124,-964
2017-06-07 17:30,-122,-839
2017-06-07 17:37,-165,-830
2017-06-07 22:00,-173,-734
2017-06-08 02:01,180,-714
2017-06-08 02:30,436,-714
2017-06-08 02:50,-103,-714
2017-06-08 03:30,121,-714
2017-06-08 04:30,299,-714
2017-06-08 05:00,524,-714
2017-06-08 05:30,332,-714
2017-06-08 06:30,-37,-714
2017-06-08 07:05,213,-714
2017-06-08 08:00,131,-714
2017-06-08 08:30,141,-714
2017-06-08 08:45,32,-714
2017-06-08 09:00,32,-714
2017-06-08 09:45,279,-806
2017-06-08 10:00,289,-798
2017-06-08 10:15,289,-811
2017-06-08 10:30,291,-769
2017-06-08 11:00,217,-756
2017-06-08 11:16,87,-757
2017-06-08 12:00,91,-755
2017-06-08 12:30,-43,-780
2017-06-08 14:45,20,-944
2017-06-08 15:13,-123,-944
2017-06-08 15:15,-123,-944
2017-06-08 15:16,-123,-944
2017-06-08 15:30,-271,-944
2017-06-08 16:30,-272,-976
2017-06-08 17:30,-266,-1173
2017-06-08 18:15,-349,-1083
2017-06-08 20:31,203,-1061
2017-06-08 21:20,174,-1017
2017-06-08 23:00,96,-1025
2017-06-09 00:00,49,-988
2017-06-09 01:30,-121,-2019
2017-06-09 02:50,-154,-1915
2017-06-09 03:00,-88,-1915
2017-06-09 03:45,-88,-1915
2017-06-09 04:30,0,-1915
2017-06-09 05:00,-5,-1915
2017-06-09 05:30,159,-1915
2017-06-09 07:30,-272,-1915
2017-06-09 08:00,-143,-1915
2017-06-09 09:00,-75,-1941
2017-06-09 09:30,-196,-2185
2017-06-09 09:45,-158,-2204
2017-06-09 10:15,-237,-2193
2017-06-09 11:00,-224,-2580
2017-06-09 11:30,-131,-2315
2017-06-09 12:00,-312,-2266
2017-06-09 12:01,-312,-2291
2017-06-09 12:02,-312,-2291
2017-06-09 12:03,-312,-2291
2017-06-09 13:04,-135,-2147
2017-06-09 14:48,-184,-1947
2017-06-09 15:00,-180,-1938
2017-06-09 15:13,-112,-1934
2017-06-09 15:15,-186,-1934
2017-06-09 15:30,-146,-1890
2017-06-09 17:30,-114,-1971
2017-06-09 18:15,-119,-1913
2017-06-09 22:30,-165,-2268
2017-06-10 04:30,101,-2114
2017-06-10 07:30,-76,-2114
2017-06-10 09:45,211,-2114
2017-06-10 11:30,123,-2114
2017-06-10 15:30,21,-2114
2017-06-12 00:45,446,-2100
2017-06-12 01:45,76,-2100
2017-06-12 01:50,366,-2100
2017-06-12 02:50,263,-2100
2017-06-12 07:30,-98,-2100
2017-06-12 08:30,-205,-2100
2017-06-12 08:59,119,-2100
2017-06-12 09:00,119,-2100
2017-06-12 10:30,-171,-2100
2017-06-12 11:00,-198,-2100
2017-06-12 11:10,-119,-2100
2017-06-12 11:30,-131,-1760
2017-06-12 11:35,-133,-1748
2017-06-12 12:10,363,-1861
2017-06-12 12:35,373,-1918
2017-06-12 13:00,363,-1915
2017-06-12 13:01,363,-1925
2017-06-12 16:00,36,-2244
2017-06-12 18:30,130,-2394
2017-06-12 20:01,-93,-2501
2017-06-12 20:35,1,-2492
2017-06-13 01:30,-43,-2443
2017-06-13 02:00,25,-2443
2017-06-13 02:50,25,-2443
2017-06-13 03:00,25,-2443
2017-06-13 03:10,25,-2443
2017-06-13 04:30,25,-2443
2017-06-13 04:50,741,-2443
2017-06-13 05:00,937,-2443
2017-06-13 05:30,606,-2443
2017-06-13 08:30,176,-2443
2017-06-13 08:55,184,-2443
2017-06-13 09:00,182,-2443
2017-06-13 10:00,177,-2443
2017-06-13 10:10,174,-2443
2017-06-13 11:30,25,-2443
2017-06-13 11:50,190,-2443
2017-06-13 12:00,259,-2443
2017-06-13 12:30,-262,-2338
2017-06-13 12:38,-421,-2330
2017-06-13 12:57,-338,-2375
2017-06-13 13:00,-343,-2375
2017-06-13 15:30,6,-2244
2017-06-13 15:55,-46,-2225
2017-06-13 18:30,346,-2257
2017-06-13 18:45,337,-2257
2017-06-14 01:45,449,-2257
2017-06-14 07:30,61,-2257
2017-06-14 11:30,-306,-2257
2017-06-14 12:00,-200,-2257
2017-06-14 12:35,-127,-2257
2017-06-14 15:30,-31,-2257
2017-06-14 17:00,-31,-2257
2017-06-14 17:30,-60,-2257
2017-06-14 21:30,190,-2257
2017-06-15 01:45,-59,-2257
2017-06-15 04:30,52,-2257
2017-06-15 10:15,-209,-2257
2017-06-15 10:30,-243,-2257
2017-06-15 10:40,-243,-2257
2017-06-15 11:30,-371,-2257
2017-06-15 12:00,-91,-2257
2017-06-15 15:30,480,-2257
2017-06-13 17:53,0,-2257

