time,strength,rel.price
2017-05-17 18:30,-56,0
2017-05-18 02:50,84,-14
2017-05-18 04:30,84,-14
2017-05-18 08:30,0,-14
2017-05-18 10:50,0,-100
2017-05-18 11:30,92,-44
2017-05-18 11:50,81,-43
2017-05-18 12:00,267,-43
2017-05-18 12:30,-412,-43
2017-05-18 13:32,-281,234
2017-05-18 13:33,-281,234
2017-05-18 15:30,-202,207
2017-05-18 15:45,22,183
2017-05-18 16:45,-16,152
2017-05-18 17:30,987,206
2017-05-18 20:15,363,131
2017-05-19 01:45,26,-165
2017-05-19 11:30,41,-165
2017-05-19 12:00,86,-165
2017-05-19 15:30,97,-165
2017-05-19 16:00,119,-165
2017-05-19 16:15,119,-165
2017-05-19 17:00,119,-165
2017-05-19 17:30,119,-165
2017-05-19 22:30,-496,-165
2017-05-22 02:01,-342,233
2017-05-22 02:50,-160,233
2017-05-22 08:30,-191,233
2017-05-22 15:30,-111,105
2017-05-22 16:00,207,140
2017-05-22 17:00,-64,152
2017-05-22 17:30,34,113
2017-05-22 18:30,-87,201
2017-05-22 20:30,119,192
2017-05-22 21:00,72,192
2017-05-23 02:30,27,66
2017-05-23 02:50,27,94
2017-05-23 03:30,47,88
2017-05-23 04:10,8,89
2017-05-23 07:30,166,89
2017-05-23 09:45,13,89
2017-05-23 10:00,13,89
2017-05-23 10:15,13,89
2017-05-23 10:30,10,89
2017-05-23 10:55,5,-16
2017-05-23 11:00,5,-14
2017-05-23 11:30,5,33
2017-05-23 12:35,150,34
2017-05-23 13:00,249,41
2017-05-23 15:30,-207,-18
2017-05-23 15:55,-59,-6
2017-05-23 16:45,-699,-27
2017-05-23 16:59,-42,6
2017-05-23 17:00,-678,6
2017-05-23 17:30,-877,57
2017-05-23 18:30,28,-7
2017-05-23 20:30,152,0
2017-05-23 21:00,132,-2
2017-05-23 22:15,-514,24
2017-05-23 23:30,-40,-43
2017-05-23 23:35,239,-38
2017-05-24 00:00,148,-38
2017-05-24 01:45,108,-68
2017-05-24 02:00,125,-52
2017-05-24 03:30,-56,-67
2017-05-24 04:10,-26,-82
2017-05-24 04:30,-19,-82
2017-05-24 07:30,53,-82
2017-05-24 08:00,60,-82
2017-05-24 10:00,-90,-82
2017-05-24 10:15,-88,-82
2017-05-24 10:30,-70,-82
2017-05-24 11:00,-288,-82
2017-05-24 11:30,-232,-82
2017-05-24 12:35,66,-82
2017-05-24 12:40,66,-82
2017-05-24 13:00,234,-82
2017-05-24 15:30,175,-82
2017-05-24 15:45,175,-82
2017-05-24 15:58,190,-82
2017-05-24 16:00,-81,-82
2017-05-24 16:03,-464,-82
2017-05-24 16:45,47,-82
2017-05-24 16:59,62,-82
2017-05-24 17:00,23,-82
2017-05-24 17:30,-102,-82
2017-05-25 01:00,172,-6
2017-05-25 01:11,91,-22
2017-05-25 01:30,132,-19
2017-05-25 01:45,187,-30
2017-05-25 02:50,46,-15
2017-05-25 04:30,24,-1
2017-05-25 11:00,89,-1
2017-05-25 11:30,143,-1
2017-05-25 12:35,-9,-1
2017-05-25 15:30,-96,-1
2017-05-25 15:45,-299,-1
2017-05-25 15:58,294,-1
2017-05-25 16:00,282,-1
2017-05-25 16:03,282,-1
2017-05-25 17:30,148,-1
2017-05-25 18:00,-90,-1
2017-05-26 02:30,463,-152
2017-05-26 02:50,464,-152
2017-05-26 09:45,14,-152
2017-05-26 11:00,5,-452
2017-05-26 11:30,38,-393
2017-05-26 15:30,42,-495
2017-05-26 17:30,731,-614
2017-05-26 22:30,-435,-705
2017-05-29 01:15,-95,-655
2017-05-29 08:30,-9,-655
2017-05-29 10:00,-178,-590
2017-05-29 10:15,-178,-581
2017-05-29 11:00,-170,-591
2017-05-29 12:10,-45,-557
2017-05-29 16:00,-285,-526
2017-05-29 18:00,-116,-583
2017-05-30 01:45,-161,-556
2017-05-30 02:30,-129,-556
2017-05-30 02:50,-26,-556
2017-05-30 04:30,-22,-556
2017-05-30 08:00,-57,-556
2017-05-30 09:00,-114,-556
2017-05-30 09:45,-119,-556
2017-05-30 10:00,-119,-556
2017-05-30 11:00,-49,-639
2017-05-30 11:30,-49,-592
2017-05-30 12:00,-49,-519
2017-05-30 12:15,-49,-458
2017-05-30 12:16,-49,-470
2017-05-30 12:30,-49,-477
2017-05-30 12:47,-49,-491
2017-05-30 15:00,-49,-449
2017-05-30 15:30,-151,-438
2017-05-30 16:00,-450,-457
2017-05-30 17:00,-294,-463
2017-05-30 17:30,318,-502
2017-05-30 18:30,-137,-392
2017-05-30 19:00,-294,-451
2017-05-31 00:00,-247,-485
