time,strength,rel.price
2017-06-15 09:45,0,0
2017-06-15 10:15,0,0
2017-06-15 10:30,0,0
2017-06-15 10:40,0,0
2017-06-15 11:00,0,-181
2017-06-15 11:30,0,-181
2017-06-15 11:49,0,-181
2017-06-15 11:50,0,-181
2017-06-15 12:35,0,-181
2017-06-15 15:30,0,-181
2017-06-15 16:15,318,-173
2017-06-15 16:45,335,-173
2017-06-15 17:00,335,-173
2017-06-15 17:30,131,-173
2017-06-16 01:30,-49,-173
2017-06-16 01:45,591,-173
2017-06-16 02:50,-248,-173
2017-06-16 04:15,297,-173
2017-06-16 04:30,287,-173
2017-06-16 04:45,278,-173
2017-06-16 05:10,86,-173
2017-06-16 05:30,-473,-173
2017-06-16 05:54,-471,-173
2017-06-16 06:20,-448,-173
2017-06-16 06:30,-445,-173
2017-06-16 06:45,-445,-173
2017-06-16 07:15,-399,-199
2017-06-16 07:40,-90,-199
2017-06-16 08:30,-111,-199
2017-06-16 08:50,-105,-199
2017-06-16 09:45,206,-199
2017-06-16 10:00,185,-199
2017-06-16 10:15,185,-199
2017-06-16 10:30,-366,-199
2017-06-16 10:40,271,-199
2017-06-16 10:45,470,-199
2017-06-16 11:00,354,-199
2017-06-16 11:15,330,-199
2017-06-16 11:30,330,-199
2017-06-16 11:49,323,-199
2017-06-16 11:50,116,-199
2017-06-16 12:00,116,-199
2017-06-16 12:30,116,-199
2017-06-16 13:00,-298,-199
2017-06-16 13:15,354,-199
2017-06-16 13:45,262,-199
2017-06-16 14:00,262,-199
2017-06-16 14:30,106,-199
2017-06-16 15:30,106,-199
2017-06-16 16:00,67,-199
2017-06-16 16:15,157,-199
2017-06-16 16:45,104,-199
2017-06-16 17:00,109,-199
2017-06-16 17:30,-4,-199
2017-06-16 19:45,-11,-199
2017-06-16 20:00,45,-199
2017-06-16 22:30,-28,-199
2017-06-16 23:00,-28,-199
2017-06-17 01:45,397,-199
2017-06-17 02:50,-439,-199
2017-06-17 04:30,93,-199
2017-06-17 09:45,105,-199
2017-06-17 10:15,87,-199
2017-06-17 10:40,121,-199
2017-06-17 11:00,121,-199
2017-06-17 11:30,121,-199
2017-06-17 11:50,-19,-199
2017-06-17 12:00,-19,-199
2017-06-17 15:30,109,-199
2017-06-17 16:00,-571,-199
2017-06-17 16:15,165,-199
2017-06-17 16:45,110,-199
2017-06-17 17:00,110,-199
2017-06-17 17:30,47,-199
2017-06-17 19:45,-4,-199
2017-06-19 02:01,45,-199
2017-06-19 02:30,25,-199
2017-06-19 02:50,16,-199
2017-06-19 04:30,0,-199
2017-06-19 18:30,0,-7
2017-06-20 01:15,0,-7
2017-06-20 02:00,0,-7
2017-06-20 04:30,0,-7
2017-06-20 09:30,0,-7
2017-06-20 10:15,0,-7
2017-06-20 10:30,0,-7
2017-06-20 11:00,0,-7
2017-06-20 11:30,0,-7
2017-06-20 11:45,0,-7
2017-06-20 11:50,0,-7
2017-06-20 12:00,0,-7
2017-06-20 14:45,0,-7
2017-06-20 15:00,0,-7
2017-06-20 15:15,0,-7
2017-06-20 15:30,0,-7
2017-06-20 15:55,-64,-7
2017-06-20 18:03,15,-7
2017-06-20 18:05,97,-7
2017-06-20 18:30,-73,-7
2017-06-20 23:35,-240,-7
2017-06-21 03:30,25,-7
2017-06-21 04:30,58,-7
2017-06-21 07:30,-158,-7
2017-06-21 09:35,22,-7
2017-06-21 10:15,22,-7
2017-06-21 10:30,22,-7
2017-06-21 11:30,22,-7
