time,strength,rel.price
2017-05-30 01:45,0,-47
2017-05-30 02:30,166,-47
2017-05-30 02:50,-133,-47
2017-05-30 04:30,0,-47
2017-05-30 09:00,-30,-47
2017-05-30 09:45,0,-47
2017-05-30 10:00,0,-47
2017-05-30 11:30,0,-14
2017-05-30 12:00,-30,-35
2017-05-30 12:15,-30,-4
2017-05-30 12:16,-30,-4
2017-05-30 12:30,-30,-28
2017-05-30 12:47,-30,-36
2017-05-30 15:30,-66,16
2017-05-30 16:00,-514,28
2017-05-30 17:30,-58,50
2017-05-30 18:30,-349,70
2017-05-31 01:01,-83,125
2017-05-31 01:50,274,125
2017-05-31 02:00,288,125
2017-05-31 02:01,288,125
2017-05-31 02:30,232,125
2017-05-31 02:50,232,125
2017-05-31 03:00,3,125
2017-05-31 03:10,349,125
2017-05-31 03:30,355,125
2017-05-31 04:10,295,125
2017-05-31 04:30,438,125
2017-05-31 08:00,104,125
2017-05-31 08:45,142,125
2017-05-31 09:00,143,125
2017-05-31 09:20,145,125
2017-05-31 09:45,15,125
2017-05-31 10:20,15,72
2017-05-31 10:30,15,91
2017-05-31 10:55,16,105
2017-05-31 11:00,16,101
2017-05-31 11:12,-86,150
2017-05-31 11:30,-88,171
2017-05-31 12:00,64,112
2017-05-31 12:12,0,115
2017-05-31 12:16,0,111
2017-05-31 13:05,274,122
2017-05-31 14:30,-43,203
2017-05-31 14:55,135,186
2017-05-31 15:00,137,187
2017-05-31 15:30,-30,179
2017-05-31 15:45,12,167
2017-05-31 15:55,-221,147
2017-05-31 16:00,210,152
2017-05-31 16:30,23,151
2017-05-31 16:45,83,164
2017-05-31 17:00,485,175
2017-05-31 17:30,352,158
2017-05-31 23:30,-86,96
2017-06-01 00:00,-117,84
2017-06-01 01:45,-328,77
2017-06-01 02:01,166,66
2017-06-01 02:30,-309,68
2017-06-01 02:50,-90,68
2017-06-01 03:10,-788,68
2017-06-01 03:30,-756,68
2017-06-01 04:00,-410,68
2017-06-01 04:30,-215,68
2017-06-01 06:45,148,68
2017-06-01 08:45,-257,68
2017-06-01 09:00,-311,68
2017-06-01 09:30,401,68
2017-06-01 09:45,368,68
2017-06-01 10:15,403,68
2017-06-01 10:30,271,68
2017-06-01 10:45,510,68
2017-06-01 10:50,510,68
2017-06-01 10:55,510,68
2017-06-01 11:00,510,68
2017-06-01 11:30,501,52
2017-06-01 11:50,444,60
