time,strength,rel.price
2017-05-26 17:30,-118,-23
2017-05-26 22:30,48,-30
2017-05-29 01:15,60,-64
2017-05-29 08:30,55,-64
2017-05-29 10:15,304,-19
2017-05-29 11:00,54,-26
2017-05-29 12:10,96,-39
2017-05-30 01:45,0,-63
2017-05-30 02:30,0,-63
2017-05-30 02:50,0,-63
2017-05-30 04:30,0,-63
2017-05-30 09:00,0,-63
2017-05-30 09:45,0,-63
2017-05-30 10:00,0,-63
2017-05-30 11:30,0,35
2017-05-30 12:00,0,16
2017-05-30 12:15,0,19
2017-05-30 12:16,0,19
2017-05-30 12:30,0,38
2017-05-30 12:47,0,32
2017-05-30 15:30,0,17
2017-05-30 16:00,146,6
2017-05-30 17:30,509,121
2017-05-30 18:30,-444,36
2017-05-31 01:01,-254,-5
2017-05-31 01:50,-196,-5
2017-05-31 02:00,-196,-5
2017-05-31 02:01,-196,-5
2017-05-31 02:30,-174,-5
2017-05-31 02:50,-174,-5
2017-05-31 03:00,-174,-5
2017-05-31 03:10,-245,-5
2017-05-31 03:30,-251,-5
2017-05-31 04:00,-205,-5
2017-05-31 04:10,-255,-5
2017-05-31 04:30,-255,-5
2017-05-31 08:00,-123,-5
2017-05-31 08:45,-183,-5
2017-05-31 09:00,-183,-5
2017-05-31 09:20,-134,-5
2017-05-31 09:45,-162,-5
2017-05-31 10:20,-160,-28
2017-05-31 10:30,-160,-23
2017-05-31 10:55,-143,-36
2017-05-31 11:00,-143,-51
2017-05-31 11:12,-58,-87
2017-05-31 11:30,-60,-110
2017-05-31 12:00,106,-27
2017-05-31 12:12,0,-56
2017-05-31 12:16,0,-52
2017-05-31 13:05,-60,-57
2017-05-31 14:30,186,-76
2017-05-31 14:55,-400,-61
2017-05-31 15:00,-410,-56
2017-05-31 15:30,-65,-24
2017-05-31 15:45,546,0
2017-05-31 15:55,-186,-17
2017-05-31 16:00,-490,-12
2017-05-31 16:30,-448,-19
2017-05-31 16:45,351,-63
2017-05-31 17:00,-53,-68
2017-05-31 17:30,-187,60
2017-05-31 23:30,316,180
2017-06-01 01:45,173,117
2017-06-01 02:01,304,123
2017-06-01 02:30,246,119
2017-06-01 02:50,187,119
2017-06-01 03:10,696,119
2017-06-01 03:30,681,119
2017-06-01 04:00,601,119
2017-06-01 04:30,615,119
2017-06-01 06:45,290,119
2017-06-01 08:45,13,119
2017-06-01 09:00,7,119
2017-06-01 09:30,-51,119
2017-06-01 09:45,-22,119
2017-06-01 10:15,-27,119
2017-06-01 10:30,1,119
2017-06-01 10:45,-361,119
2017-06-01 10:50,-361,119
2017-06-01 10:55,-362,119
2017-06-01 11:00,-362,119
2017-06-01 11:30,-343,93
2017-06-01 11:50,-346,74
2017-06-01 11:59,-346,77
2017-06-01 12:00,-346,77
2017-06-01 12:30,-312,72
2017-06-01 12:32,-312,72
2017-06-01 12:34,-312,72
2017-06-01 12:35,-314,72
2017-06-01 12:40,-314,68
2017-06-01 13:25,-224,61
2017-06-01 14:30,-254,126
2017-06-01 15:00,-560,127
2017-06-01 15:15,-689,136
2017-06-01 15:30,-760,140
2017-06-01 16:30,-638,162
2017-06-01 16:45,83,144
2017-06-01 16:50,-369,148
2017-06-01 17:30,-146,142
2017-06-01 18:00,-619,102
2017-06-01 22:30,-221,175
2017-06-01 23:00,81,220
2017-06-02 02:50,-585,235
2017-06-02 08:45,43,235
2017-06-02 09:00,-53,235
2017-06-02 10:15,137,235
2017-06-02 10:30,133,235
2017-06-02 10:45,34,235
2017-06-02 11:30,32,282
2017-06-02 11:59,-179,268
2017-06-02 12:00,-179,268
2017-06-02 12:34,-126,295
2017-06-02 15:15,-219,270
2017-06-02 15:30,-86,256
2017-06-02 16:45,825,170
2017-06-02 17:00,715,218
2017-06-02 17:30,667,184
2017-06-02 18:00,-829,236
2017-06-02 19:45,608,144
2017-06-02 20:00,857,140
2017-06-02 22:30,574,129
2017-06-03 11:30,143,125
2017-06-03 12:00,80,125
2017-06-03 14:30,35,125
2017-06-03 15:30,35,125
2017-06-05 02:30,-152,125
2017-06-05 03:30,-148,125
2017-06-05 04:30,-148,125
2017-06-05 06:30,-152,125
2017-06-05 09:30,-152,64
2017-06-05 10:15,-160,37
2017-06-05 10:45,-160,80
2017-06-05 10:50,-139,83
2017-06-05 10:55,-153,83
2017-06-05 11:00,-153,57
2017-06-05 11:30,-103,29
2017-06-05 13:30,-83,-1
2017-06-05 14:45,-165,40
2017-06-05 15:00,-119,49
2017-06-05 15:30,19,66
2017-06-05 16:45,-218,83
2017-06-05 17:00,-108,107
2017-06-05 18:30,-169,110
2017-06-06 02:01,22,32
2017-06-06 02:30,213,32
2017-06-06 04:00,247,32
2017-06-06 04:30,225,32
2017-06-06 06:45,88,32
2017-06-06 07:30,80,32
2017-06-06 10:15,12,-53
2017-06-06 10:45,-7,-53
2017-06-06 10:50,9,-65
2017-06-06 10:55,9,-65
2017-06-06 11:00,9,-38
2017-06-06 11:10,9,-42
2017-06-06 11:30,1,-51
2017-06-06 12:00,-21,-36
2017-06-06 12:35,120,-38
2017-06-06 15:30,398,1
2017-06-06 15:55,78,23
2017-06-06 16:45,531,81
2017-06-06 16:59,-766,63
2017-06-06 17:00,-510,63
2017-06-06 17:37,590,20
2017-06-06 17:38,590,20
2017-06-06 17:40,590,20
2017-06-06 18:30,701,51
2017-06-06 23:30,446,-54
2017-06-06 23:35,234,-50
2017-06-07 01:45,-278,-24
2017-06-07 02:30,-236,-24
2017-06-07 02:50,-265,-24
2017-06-07 03:00,-265,-24
2017-06-07 04:30,64,-24
2017-06-07 08:00,-538,-24
2017-06-07 09:00,-535,-24
2017-06-07 10:00,-569,-31
2017-06-07 10:30,-556,-34
2017-06-07 11:00,-95,-92
2017-06-07 11:30,-106,-90
2017-06-07 12:00,-85,-89
2017-06-07 15:30,-120,-22
2017-06-07 16:59,-659,-56
2017-06-07 17:00,-689,-56
2017-06-07 17:30,-438,-76
2017-06-07 17:37,-463,-90
2017-06-08 02:01,395,169
2017-06-08 02:30,391,169
2017-06-08 02:50,385,169
2017-06-08 03:30,658,169
2017-06-08 04:30,109,169
2017-06-08 05:00,78,169
2017-06-08 05:30,62,169
2017-06-08 06:30,-46,169
2017-06-08 07:05,40,169
2017-06-08 08:00,44,169
2017-06-08 08:30,-497,169
2017-06-08 08:45,-316,169
2017-06-08 09:00,-283,169
2017-06-08 09:45,-207,179
2017-06-08 10:00,-340,177
2017-06-08 10:15,-110,175
2017-06-08 10:30,-345,171
2017-06-08 11:00,-127,163
2017-06-08 11:16,-73,156
2017-06-08 12:00,-87,207
2017-06-08 12:30,-48,188
2017-06-08 14:45,-87,149
2017-06-08 15:13,-287,149
2017-06-08 15:15,-304,149
2017-06-08 15:16,-84,149
2017-06-08 15:30,503,149
2017-06-08 16:30,534,167
2017-06-08 17:30,-724,106
2017-06-08 18:15,-1202,131
2017-06-08 20:31,-151,144
2017-06-08 21:20,-96,169
2017-06-08 23:00,-505,160
2017-06-09 00:00,-215,184
2017-06-09 01:30,-8,218
2017-06-09 02:50,-660,207
2017-06-09 03:00,-656,207
2017-06-09 03:45,-573,207
2017-06-09 04:30,-560,207
2017-06-09 05:00,66,207
2017-06-09 05:30,68,207
2017-06-09 07:30,303,207
2017-06-09 08:00,289,207
2017-06-09 09:00,-33,167
2017-06-09 09:30,-57,178
2017-06-09 09:45,-374,187
2017-06-09 10:15,173,202
2017-06-09 11:00,-274,238
2017-06-09 11:30,-385,195
2017-06-09 12:00,220,216
2017-06-09 12:01,220,214
2017-06-09 12:02,220,214
2017-06-09 12:03,220,214
2017-06-09 13:04,227,170
2017-06-09 14:48,-324,169
2017-06-09 15:00,-318,169
2017-06-09 15:13,-375,185
2017-06-09 15:15,-284,185
2017-06-09 15:30,442,197
2017-06-09 17:00,994,-6
2017-06-09 17:30,201,-10
2017-06-09 18:15,601,-18
2017-06-10 04:30,691,-18
2017-06-10 07:30,445,-18
2017-06-10 09:00,414,-18
2017-06-10 09:45,657,-18
2017-06-10 11:00,568,-18
2017-06-10 11:30,480,-18
2017-06-10 15:30,688,-18
2017-06-09 17:53,0,-18

