time,strength,rel.price
2017-06-22 16:45,-127,0
2017-06-22 17:30,-145,8
2017-06-22 20:00,56,8
2017-06-23 01:45,-29,8
2017-06-23 03:30,-147,8
2017-06-23 10:30,11,8
2017-06-23 11:00,6,8
2017-06-23 12:36,66,-113
2017-06-23 15:30,66,-113
2017-06-23 16:00,-9,-113
2017-06-23 16:45,82,-113
2017-06-23 17:00,-85,-113
2017-06-23 17:30,170,-113
2017-06-23 18:15,356,-113
2017-06-23 19:40,57,-113
2017-06-23 20:00,477,-113
2017-06-23 21:15,147,-113
2017-06-23 22:30,-91,-113
2017-06-24 10:30,630,-113
2017-06-24 11:00,586,-113
2017-06-24 15:30,375,-113
2017-06-24 16:45,329,-113
2017-06-24 17:00,344,-113
2017-06-24 21:15,378,-113
2017-06-26 02:50,5,-113
2017-06-26 08:20,6,-113
2017-06-26 08:30,118,-113
2017-06-26 11:00,346,-136
2017-06-26 11:30,342,-136
2017-06-26 15:30,-40,-154
2017-06-26 17:30,40,-154
2017-06-26 18:30,73,-154
2017-06-26 20:30,118,-154
2017-06-26 21:45,28,-154
2017-06-27 01:45,-118,-32
2017-06-27 02:50,64,-32
2017-06-27 11:30,30,-32
2017-06-27 12:30,30,-32
2017-06-27 12:35,30,-32
2017-06-27 13:00,30,-32
2017-06-27 15:30,193,-32
2017-06-27 15:55,-103,-32
2017-06-27 16:00,95,-32
2017-06-27 17:30,-64,-32
2017-06-27 18:15,-66,-32
2017-06-27 18:30,18,-32
2017-06-27 21:45,0,-32
2017-06-27 23:35,3,-551
2017-06-28 00:30,-46,-551
2017-06-28 10:00,-6,-519
2017-06-28 11:30,131,-519
2017-06-28 12:00,125,-519
2017-06-28 12:20,116,-519
2017-06-28 13:00,104,-519
2017-06-28 15:30,19,-519
2017-06-28 16:30,-7,-519
2017-06-28 17:30,281,-519
2017-06-28 18:15,4,-519
2017-06-28 20:00,129,-519
2017-06-28 21:20,-36,-519
2017-06-29 00:00,25,-519
2017-06-29 00:05,37,-519
2017-06-29 02:50,284,-519
2017-06-29 04:00,127,-519
2017-06-29 09:00,95,-519
2017-06-29 10:00,14,-586
2017-06-29 11:00,-13,-586
2017-06-29 11:30,12,-586
2017-06-29 12:00,-23,-586
2017-06-29 15:00,-27,-586
2017-06-29 15:30,-27,-586
2017-06-29 16:30,-58,-586
2017-06-29 17:30,20,-586
2017-06-29 21:20,159,-586
2017-06-30 01:45,193,-586
2017-06-30 02:01,193,-586
2017-06-30 02:30,193,-586
2017-06-30 02:50,193,-586
2017-06-30 04:30,141,-586
2017-06-30 08:00,-116,-586
2017-06-30 09:45,57,-586
2017-06-30 10:00,-62,-586
2017-06-30 10:55,174,-637
2017-06-30 11:00,167,-637
2017-06-30 11:30,226,-637
2017-06-30 12:00,131,-637
2017-06-30 12:19,-267,-637
2017-06-30 15:30,-68,-568
2017-06-30 16:45,-370,-568
2017-07-01 13:00,18,-568
2017-07-02 23:30,77,-620
2017-07-02 23:50,77,-620
2017-07-03 00:30,-120,-620
2017-07-03 01:00,228,-620
2017-07-03 01:03,228,-620
2017-07-03 01:30,-157,-620
2017-07-03 01:45,-140,-620
2017-07-03 05:30,23,-620
2017-07-03 06:30,-104,-620
2017-07-03 07:15,84,-620
2017-07-03 07:30,586,-620
2017-07-03 07:45,318,-620
2017-07-03 07:50,406,-620
2017-07-03 07:55,295,-620
2017-07-03 08:00,-158,-620
2017-07-03 08:30,454,-620
2017-07-03 09:00,-3,-620
2017-07-03 11:30,-405,-620
2017-07-03 12:00,-405,-620
2017-07-03 13:00,-357,-620
2017-07-03 13:45,-192,-620
2017-07-03 14:00,-393,-620
2017-07-03 14:30,-463,-620
2017-07-03 15:30,699,-620
2017-07-03 17:30,1003,-620
2017-07-03 19:30,-254,-620
2017-07-03 20:00,-79,-620
2017-07-03 23:50,503,-620
2017-07-04 01:30,-118,-383
2017-07-04 03:45,-134,-383
2017-07-04 04:30,-118,-383
2017-07-04 05:00,49,-383
2017-07-04 08:30,-155,-394
2017-07-04 12:30,-101,-365
2017-07-04 13:30,-73,-365
2017-07-04 14:51,-8,-365
2017-07-04 16:30,-19,-324
2017-07-04 23:01,-32,-324
2017-07-04 23:30,-32,-324
2017-07-05 00:30,-32,-324
2017-07-05 01:00,-32,-324
2017-07-05 07:15,-33,-324
2017-07-05 07:45,-32,-324
2017-07-05 07:50,-32,-324
2017-07-05 07:55,-32,-324
2017-07-05 08:00,-33,-324
2017-07-05 08:30,-13,-324
2017-07-05 09:35,10,-324
2017-07-05 10:00,29,-324
2017-07-05 12:55,95,-335
2017-07-05 13:45,-52,-335
2017-07-05 14:00,-54,-335
2017-07-06 01:30,70,-311
2017-07-06 03:45,-1,-311
2017-07-06 06:00,-39,-311
2017-07-06 07:15,11,-311
2017-07-06 08:30,-100,-311
2017-07-06 09:40,141,-311
2017-07-06 11:30,104,-311
2017-07-06 12:15,240,-311
2017-07-06 12:30,424,-311
2017-07-06 14:00,16,-311
2017-07-06 15:00,143,-311
2017-07-06 23:30,90,-311
2017-07-07 00:00,90,-311
2017-07-07 05:00,284,-311
2017-07-07 06:45,292,-311
2017-07-07 07:30,263,-311
2017-07-07 08:00,263,-311
2017-07-07 08:30,263,-311
2017-07-07 12:30,194,-311
2017-07-07 14:30,1176,-311
2017-07-08 09:45,29,-311
2017-07-06 17:49,0,-311

