time,strength,rel.price
2017-05-26 11:30,0,0
2017-05-26 15:30,0,-129
2017-05-26 17:30,-288,-25
2017-05-26 22:30,212,-17
2017-05-29 01:15,71,-14
2017-05-29 08:30,59,-14
2017-05-29 10:15,52,-7
2017-05-29 11:00,218,-16
2017-05-29 12:10,16,-2
2017-05-30 01:45,-22,-14
2017-05-30 02:30,54,-14
2017-05-30 02:50,61,-14
2017-05-30 04:30,-202,-14
2017-05-30 09:00,38,-14
2017-05-30 09:45,41,-14
2017-05-30 10:00,41,-14
2017-05-30 11:30,-23,-171
2017-05-30 12:00,5,-100
2017-05-30 12:15,137,-98
2017-05-30 12:16,137,-114
2017-05-30 12:30,137,-118
2017-05-30 12:47,210,-124
2017-05-30 15:30,358,-124
2017-05-30 16:00,163,-123
2017-05-30 17:30,-223,-120
2017-05-30 18:30,124,-132
2017-05-31 01:01,263,-194
2017-05-31 01:50,-79,-194
2017-05-31 02:00,-377,-194
2017-05-31 02:01,-333,-194
2017-05-31 02:30,-777,-194
2017-05-31 02:50,-976,-194
2017-05-31 03:00,-684,-194
2017-05-31 03:10,-88,-194
2017-05-31 03:30,-165,-194
2017-05-31 04:00,-134,-194
2017-05-31 04:10,-84,-194
2017-05-31 04:30,-114,-194
2017-05-31 08:00,359,-194
2017-05-31 08:45,318,-194
2017-05-31 09:00,326,-194
2017-05-31 09:20,764,-194
2017-05-31 09:45,506,-194
2017-05-31 10:20,363,-127
2017-05-31 10:30,210,-129
2017-05-31 10:55,230,-130
2017-05-31 11:00,230,-125
2017-05-31 11:12,285,-137
2017-05-31 11:30,259,-171
2017-05-31 12:00,-325,-159
2017-05-31 12:12,-140,-124
2017-05-31 12:16,-116,-127
2017-05-31 13:05,-350,-180
2017-05-31 14:30,406,-215
2017-05-31 14:55,-49,-180
2017-05-31 15:00,-109,-189
2017-05-31 15:30,-64,-174
2017-05-31 15:45,-129,-182
2017-05-31 15:55,12,-153
2017-05-31 16:00,-150,-156
2017-05-31 16:30,-150,-166
2017-05-31 16:45,-272,-170
2017-05-31 17:00,-472,-184
2017-05-31 17:30,-414,-181
2017-05-31 23:30,192,-233
2017-06-01 01:45,-144,-202
2017-06-01 02:01,-8,-175
2017-06-01 02:30,-65,-187
2017-06-01 02:50,-65,-187
2017-06-01 03:10,328,-187
2017-06-01 03:30,864,-187
2017-06-01 04:00,178,-187
2017-06-01 04:30,-110,-187
2017-06-01 06:45,223,-187
2017-06-01 08:45,186,-187
2017-06-01 09:00,159,-187
2017-06-01 09:30,113,-187
2017-06-01 09:45,101,-187
2017-06-01 10:15,-41,-187
2017-06-01 10:30,215,-187
2017-06-01 10:45,65,-187
2017-06-01 10:50,65,-187
2017-06-01 10:55,65,-187
2017-06-01 11:00,65,-187
2017-06-01 11:30,-100,-122
