time,strength,rel.price
2017-05-16 04:30,-20,-42
2017-05-16 07:30,0,-42
2017-05-16 09:45,-125,-42
2017-05-16 11:00,-125,-35
2017-05-16 11:30,-65,-21
2017-05-16 11:50,-125,-40
2017-05-16 12:00,-65,-16
2017-05-16 12:29,-65,-50
2017-05-16 12:30,-65,-50
2017-05-16 12:50,0,-74
2017-05-16 15:30,0,-88
2017-05-16 15:55,0,-137
2017-05-16 16:15,-8,-109
2017-05-16 16:30,-5,-112
2017-05-16 17:00,-5,-80
2017-05-16 17:45,-5,-8
2017-05-16 17:52,-5,0
2017-05-16 18:30,-5,-30
2017-05-16 23:30,0,-94
2017-05-16 23:35,0,-79
2017-05-17 01:45,0,-77
2017-05-17 02:50,0,-77
2017-05-17 03:30,0,-77
2017-05-17 04:30,8,-77
2017-05-17 07:30,-15,-77
2017-05-17 11:00,-20,-73
2017-05-17 11:30,40,-136
2017-05-17 12:00,40,-166
2017-05-17 12:30,40,-160
2017-05-17 12:35,0,-168
2017-05-17 13:14,0,-174
2017-05-17 15:30,0,-149
2017-05-17 16:00,58,-144
2017-05-17 17:30,-159,-165
2017-05-17 18:30,34,-89
2017-05-18 02:50,-115,-60
2017-05-18 04:30,-53,-60
2017-05-18 08:30,166,-60
2017-05-18 11:30,90,123
2017-05-18 11:50,90,145
2017-05-18 12:00,90,145
2017-05-18 12:30,90,145
2017-05-18 13:32,45,94
2017-05-18 13:33,45,94
2017-05-18 15:30,133,115
2017-05-18 16:45,39,109
2017-05-18 17:30,-198,7
2017-05-19 01:45,65,-83
2017-05-19 11:30,-130,-83
2017-05-19 15:30,-130,-83
2017-05-19 16:00,-11,-83
2017-05-19 17:30,-200,-83
2017-05-19 22:30,-218,-83
2017-05-22 02:01,-15,-186
2017-05-22 02:50,-15,-186
2017-05-22 08:30,10,-186
2017-05-22 15:30,10,-134
2017-05-22 17:00,41,-116
2017-05-22 17:30,72,-131
2017-05-22 18:30,-24,-77
2017-05-22 20:30,-33,-83
2017-05-23 02:50,25,-116
2017-05-23 03:30,25,-136
2017-05-23 07:30,-35,-152
2017-05-23 09:45,0,-152
2017-05-23 10:00,0,-152
2017-05-23 10:15,0,-152
2017-05-23 10:30,0,-152
2017-05-23 10:55,0,-46
2017-05-23 11:00,0,-35
2017-05-23 11:30,0,-61
2017-05-23 12:35,0,-3
2017-05-23 13:00,0,0
2017-05-23 15:30,0,-69
2017-05-23 15:55,106,-36
2017-05-23 16:45,80,-14
2017-05-23 16:59,80,-13
2017-05-23 17:00,80,-13
2017-05-23 17:30,177,-58
2017-05-23 18:30,-231,-78
2017-05-23 23:30,22,-37
2017-05-23 23:35,-149,-27
2017-05-24 01:45,-158,-66
2017-05-24 02:00,-98,-62
2017-05-24 03:30,0,-48
2017-05-24 04:30,-3,-64
2017-05-24 07:30,-57,-64
2017-05-24 08:00,-28,-64
2017-05-24 10:00,-37,-64
2017-05-24 10:15,-37,-64
2017-05-24 10:30,-37,-64
2017-05-24 11:00,-33,-64
2017-05-24 11:30,-27,-64
2017-05-24 12:35,-28,-64
2017-05-24 12:40,-28,-64
2017-05-24 13:00,-28,-64
2017-05-24 15:30,-18,-64
2017-05-24 15:58,-84,-64
2017-05-24 16:00,-84,-64
2017-05-24 16:03,-84,-64
2017-05-24 16:45,0,-64
2017-05-24 16:59,0,-64
2017-05-24 17:00,0,-64
2017-05-24 17:30,25,-64
2017-05-25 01:45,0,-235
2017-05-25 02:50,0,-253
2017-05-25 04:30,0,-231
2017-05-25 11:00,0,-231
2017-05-25 11:30,0,-231
2017-05-25 12:35,0,-231
2017-05-25 15:30,0,-231
2017-05-25 15:58,-333,-231
2017-05-25 16:00,99,-231
2017-05-25 16:03,-11,-231
2017-05-25 17:00,161,-231
2017-05-25 17:30,-175,-231
2017-05-25 18:00,-213,-231
2017-05-26 02:30,0,-252
2017-05-26 02:50,0,-252
2017-05-26 11:30,0,-420
2017-05-26 15:30,0,-379
2017-05-26 17:30,0,-367
2017-05-26 22:30,0,-406
2017-05-27 02:30,-62,-409
2017-05-27 02:50,-24,-409
2017-05-27 15:30,0,-409
2017-05-29 08:30,0,-409
2017-05-29 10:15,0,-436
2017-05-29 11:00,3,-465
2017-05-29 12:10,0,-452
2017-05-30 00:00,0,-429
2017-05-30 01:45,0,-429
2017-05-30 02:30,0,-429
2017-05-30 02:50,0,-429
2017-05-30 04:30,37,-429
2017-05-30 09:00,-16,-429
2017-05-30 09:45,76,-429
2017-05-30 10:00,76,-429
2017-05-30 15:30,56,-429
2017-05-30 16:00,640,-429
2017-05-30 17:30,-308,-429
2017-05-29 23:48,0,-429

