time,strength,rel.price
2017-05-17 11:30,0,0
2017-05-17 12:00,0,14
2017-05-17 12:30,0,30
2017-05-17 12:35,0,36
2017-05-17 13:14,0,-7
2017-05-17 15:30,0,19
2017-05-17 16:00,0,-1
2017-05-17 17:30,0,-108
2017-05-17 18:30,0,-112
2017-05-18 02:50,0,-39
2017-05-18 04:00,-247,-39
2017-05-18 04:30,0,-39
2017-05-18 08:30,113,-39
2017-05-18 11:30,54,33
2017-05-18 11:50,54,52
2017-05-18 12:00,54,52
2017-05-18 12:30,54,52
2017-05-18 13:32,-8,-1
2017-05-18 13:33,-8,-1
2017-05-18 15:30,-8,-31
2017-05-18 16:45,20,-22
2017-05-18 17:30,20,-17
2017-05-19 01:45,18,-44
2017-05-19 06:00,-71,-44
2017-05-19 09:00,-71,-44
2017-05-19 11:00,-70,-44
2017-05-19 11:30,-70,-44
2017-05-19 15:30,-71,-44
2017-05-19 16:00,-71,-44
2017-05-19 17:00,-71,-44
2017-05-19 17:30,-71,-44
2017-05-19 22:30,-172,-44
2017-05-22 02:01,-115,-121
2017-05-22 02:50,-105,-121
2017-05-22 08:30,0,-121
2017-05-22 15:30,0,-145
2017-05-22 16:00,0,-125
2017-05-22 17:00,0,-118
2017-05-22 17:30,16,-151
2017-05-22 18:30,0,-72
2017-05-22 20:30,0,-68
2017-05-23 02:50,0,-36
2017-05-23 03:30,0,-34
2017-05-23 07:30,0,-43
2017-05-23 09:45,-68,-43
2017-05-23 10:00,-69,-43
2017-05-23 10:15,-114,-43
2017-05-23 10:30,-21,-43
2017-05-23 10:55,-169,66
2017-05-23 11:00,-169,62
2017-05-23 11:30,-59,-4
2017-05-23 12:35,-220,13
2017-05-23 13:00,-222,8
2017-05-23 15:30,-58,38
2017-05-23 15:55,-60,57
2017-05-23 16:45,-57,84
2017-05-23 16:59,-57,80
2017-05-23 17:00,34,80
2017-05-23 17:30,283,47
2017-05-23 18:30,34,40
2017-05-23 23:30,-77,70
2017-05-23 23:35,-77,66
2017-05-24 01:45,82,57
2017-05-24 02:00,82,62
2017-05-24 03:30,82,54
2017-05-24 04:30,175,41
2017-05-24 07:30,104,41
2017-05-24 08:00,-4,41
2017-05-24 10:00,-43,41
2017-05-24 10:15,-46,41
2017-05-24 10:30,47,41
2017-05-24 11:00,-32,41
2017-05-24 11:30,-50,41
2017-05-24 12:35,-72,41
2017-05-24 12:40,-72,41
2017-05-24 13:00,-72,41
2017-05-24 15:30,-80,41
2017-05-24 15:58,-147,41
2017-05-24 16:00,-147,41
2017-05-24 16:03,-147,41
2017-05-24 16:45,0,41
2017-05-24 16:59,0,41
2017-05-24 17:00,0,41
2017-05-24 17:30,0,41
2017-05-25 01:45,0,78
2017-05-25 02:50,0,68
2017-05-25 04:30,0,50
2017-05-25 11:00,0,50
2017-05-25 11:30,0,50
2017-05-25 12:35,0,50
2017-05-25 15:30,0,50
2017-05-25 15:58,0,50
2017-05-25 16:00,0,50
2017-05-25 16:03,0,50
2017-05-25 17:30,0,50
2017-05-26 02:30,0,-123
2017-05-26 02:50,0,-123
2017-05-26 11:30,0,-197
2017-05-26 15:30,0,-155
2017-05-26 17:30,0,-72
2017-05-26 22:30,0,-113
2017-05-27 02:30,-236,-93
2017-05-27 02:50,0,-93
2017-05-27 15:30,0,-93
2017-05-29 08:30,0,-93
2017-05-29 10:00,35,-135
2017-05-29 10:15,56,-129
2017-05-29 11:00,-141,-151
2017-05-29 12:10,98,-143
2017-05-30 00:00,43,-64
2017-05-30 01:45,0,-55
2017-05-30 02:30,0,-55
2017-05-30 02:50,0,-55
2017-05-30 04:30,-92,-55
2017-05-30 08:00,-40,-55
2017-05-30 09:00,32,-55
2017-05-30 09:45,91,-55
2017-05-30 10:00,91,-55
2017-05-30 11:00,-103,12
2017-05-30 11:30,237,-5
2017-05-30 12:00,335,-3
2017-05-30 12:16,-72,-37
2017-05-30 12:30,-79,-30
2017-05-30 12:47,9,-24
2017-05-30 15:00,257,-37
2017-05-30 15:30,171,-22
2017-05-30 16:00,183,-45
2017-05-30 17:00,37,-29
2017-05-30 17:30,66,-46
2017-05-30 18:30,108,-50
2017-05-31 00:00,34,-28
2017-05-31 02:01,35,-31
2017-05-31 02:30,-107,-31
2017-05-31 02:50,-107,-31
2017-05-31 04:00,-107,-31
2017-05-31 04:30,-102,-31
2017-05-31 07:00,6,-31
2017-05-31 08:00,58,-31
2017-05-31 09:00,-30,-31
2017-05-31 09:45,-97,-31
2017-05-31 10:00,-97,-31
2017-05-31 10:55,-55,-65
2017-05-31 11:00,-55,-84
2017-05-31 11:30,19,-49
2017-05-31 12:00,-63,-85
2017-05-31 12:12,7,-98
2017-05-31 12:16,7,-83
2017-05-31 15:30,136,-101
2017-05-31 16:00,142,-101
2017-05-31 16:45,-98,-101
2017-05-31 17:00,-73,-101
2017-06-01 02:50,-133,-101
2017-06-01 04:30,-242,-101
2017-06-01 08:45,-79,-101
2017-06-01 10:15,-90,-101
2017-06-01 10:30,75,-101
2017-06-01 10:45,-20,-101
2017-05-31 13:27,0,-101

