time,strength,rel.price
2017-05-17 15:30,0,20
2017-05-17 16:00,0,-8
2017-05-17 17:30,0,-279
2017-05-17 18:30,0,-201
2017-05-18 02:50,15,-374
2017-05-18 04:00,-444,-374
2017-05-18 04:30,-95,-374
2017-05-18 08:30,319,-374
2017-05-18 11:30,9,-184
2017-05-18 11:50,12,-205
2017-05-18 12:00,12,-205
2017-05-18 12:30,5,-205
2017-05-18 13:32,-40,-464
2017-05-18 13:33,-40,-464
2017-05-18 15:30,150,-389
2017-05-18 16:45,190,-367
2017-05-18 17:30,190,-363
2017-05-19 01:45,42,-218
2017-05-19 06:00,-64,-218
2017-05-19 09:00,-54,-218
2017-05-19 11:00,-54,-218
2017-05-19 11:30,-54,-218
2017-05-19 15:30,-56,-218
2017-05-19 16:00,-56,-218
2017-05-19 17:00,-56,-218
2017-05-19 17:30,-56,-218
2017-05-19 22:30,-42,-218
2017-05-22 02:01,-94,-124
2017-05-22 02:50,-81,-124
2017-05-22 08:30,101,-124
2017-05-22 15:30,-113,-19
2017-05-22 16:00,-119,-25
2017-05-22 17:00,-83,-24
2017-05-22 17:30,-14,-43
2017-05-22 18:30,-116,-39
2017-05-22 20:30,101,-27
2017-05-23 02:50,90,-91
2017-05-23 03:30,-137,-93
2017-05-23 07:30,27,-134
2017-05-23 09:45,-75,-134
2017-05-23 10:00,-79,-134
2017-05-23 10:15,-79,-134
2017-05-23 10:30,-79,-134
2017-05-23 10:55,-97,-63
2017-05-23 11:00,-97,-43
2017-05-23 11:30,-97,-11
2017-05-23 12:35,-73,80
2017-05-23 13:00,-137,47
2017-05-23 15:30,-84,92
2017-05-23 15:55,-189,82
2017-05-23 16:45,-189,114
2017-05-23 16:59,-189,109
2017-05-23 17:00,-105,109
2017-05-23 17:30,-40,66
2017-05-23 18:30,-168,22
2017-05-23 23:30,-40,148
2017-05-23 23:35,-17,146
2017-05-24 01:45,-79,127
2017-05-24 03:30,-34,139
2017-05-24 04:30,27,152
2017-05-24 07:30,-81,152
2017-05-24 08:00,-112,152
2017-05-24 10:00,-121,152
2017-05-24 10:15,-52,152
2017-05-24 10:30,-52,152
2017-05-24 11:00,-52,152
2017-05-24 11:30,-37,152
2017-05-24 12:35,-29,152
2017-05-24 12:40,-29,152
2017-05-24 13:00,-29,152
2017-05-24 15:30,-108,152
2017-05-24 15:58,-108,152
2017-05-24 16:00,-108,152
2017-05-24 16:03,-108,152
2017-05-24 16:45,0,152
2017-05-24 16:59,0,152
2017-05-24 17:00,0,152
2017-05-24 17:30,0,152
2017-05-25 01:45,0,164
2017-05-25 02:50,-176,173
2017-05-25 04:30,0,164
2017-05-25 11:00,0,164
2017-05-25 11:30,0,164
2017-05-25 12:35,0,164
2017-05-25 15:30,0,164
2017-05-25 15:58,0,164
2017-05-25 16:00,0,164
2017-05-25 16:03,0,164
2017-05-25 17:30,0,164
2017-05-25 18:00,0,164
2017-05-26 02:30,-153,40
2017-05-26 02:50,-132,40
2017-05-26 11:30,217,-211
2017-05-26 15:30,50,-221
2017-05-26 17:30,50,-158
2017-05-26 22:30,-77,-182
2017-05-27 02:30,-409,-161
2017-05-27 02:50,-225,-161
2017-05-27 15:30,0,-161
2017-05-29 08:30,0,-161
2017-05-29 10:15,-38,-211
2017-05-29 11:00,-96,-230
2017-05-29 12:10,0,-196
2017-05-30 01:45,0,-200
2017-05-30 02:30,58,-200
2017-05-30 02:50,506,-200
2017-05-30 04:30,400,-200
2017-05-30 08:00,8,-200
2017-05-30 09:00,12,-200
2017-05-30 09:45,53,-200
2017-05-30 10:00,53,-200
2017-05-30 11:00,29,-319
2017-05-30 11:30,-16,-341
2017-05-30 12:00,4,-264
2017-05-30 12:16,46,-249
2017-05-30 12:30,47,-242
2017-05-30 12:47,135,-232
2017-05-30 15:00,164,-251
2017-05-30 15:30,154,-243
2017-05-30 16:00,196,-230
2017-05-30 17:00,-18,-200
2017-05-30 17:30,0,-219
2017-05-30 18:30,0,-205
2017-05-31 00:00,0,-233
2017-05-31 02:01,0,-217
2017-05-31 02:30,-197,-217
2017-05-31 02:50,-67,-217
2017-05-31 04:00,-165,-217
2017-05-31 04:30,172,-217
2017-05-31 07:00,-16,-217
2017-05-31 08:00,-123,-217
2017-05-31 09:00,195,-217
2017-05-31 09:45,-153,-217
2017-05-31 10:00,-151,-217
2017-05-31 10:55,148,-241
2017-05-31 11:00,145,-248
2017-05-31 11:30,-34,-221
2017-05-31 12:00,-35,-275
2017-05-31 12:12,11,-251
2017-05-31 12:16,2,-252
2017-05-31 13:05,41,-284
2017-05-31 15:30,278,-223
2017-05-31 16:45,32,-250
2017-05-31 17:00,46,-250
2017-06-01 02:50,0,-250
2017-06-01 04:30,-68,-250
2017-06-01 08:45,0,-250
2017-06-01 09:00,0,-250
2017-06-01 10:15,0,-250
2017-06-01 10:30,0,-250
2017-06-01 10:45,0,-250
2017-06-01 11:30,0,-250
2017-05-31 16:34,0,-250

