time,strength,rel.price
2017-05-26 11:00,0,-230
2017-05-26 11:30,0,-240
2017-05-26 15:30,0,-271
2017-05-26 17:30,0,-261
2017-05-26 22:30,-177,-330
2017-05-27 02:30,-76,-355
2017-05-27 02:50,24,-355
2017-05-27 15:30,0,-355
2017-05-29 08:30,-155,-355
2017-05-29 10:00,0,-391
2017-05-29 10:15,0,-391
2017-05-29 11:00,18,-399
2017-05-29 12:10,-65,-378
2017-05-29 16:00,0,-491
2017-05-30 00:00,0,-319
2017-05-30 01:45,0,-340
2017-05-30 02:30,35,-340
2017-05-30 02:50,50,-340
2017-05-30 04:30,14,-340
2017-05-30 09:00,122,-340
2017-05-30 09:45,149,-340
2017-05-30 10:00,135,-340
2017-05-30 11:30,135,-375
2017-05-30 12:00,135,-315
2017-05-30 12:16,140,-322
2017-05-30 12:30,140,-288
2017-05-30 12:47,118,-255
2017-05-30 15:30,39,-345
2017-05-30 16:00,89,-346
2017-05-30 17:00,0,-340
2017-05-30 17:30,0,-365
2017-05-30 18:30,0,-365
2017-05-31 01:01,0,-409
2017-05-31 01:50,0,-409
2017-05-31 02:01,0,-409
2017-05-31 02:30,0,-409
2017-05-31 02:50,0,-409
2017-05-31 03:00,-24,-409
2017-05-31 03:30,-64,-409
2017-05-31 04:00,43,-409
2017-05-31 04:30,-244,-409
2017-05-31 08:00,-82,-409
2017-05-31 08:45,-91,-409
2017-05-31 09:00,-91,-409
2017-05-31 09:45,-46,-409
2017-05-31 10:00,-46,-409
2017-05-31 10:30,-46,-429
2017-05-31 10:55,-46,-466
2017-05-31 11:00,-46,-473
2017-05-31 11:12,9,-509
2017-05-31 11:30,9,-502
2017-05-31 12:00,100,-487
2017-05-31 12:12,0,-488
2017-05-31 12:16,0,-491
2017-05-31 13:05,0,-507
2017-05-31 14:00,0,-537
2017-05-31 14:30,0,-569
2017-05-31 14:55,0,-544
2017-05-31 15:30,0,-509
2017-05-31 15:45,0,-526
2017-05-31 15:55,0,-514
2017-05-31 16:00,0,-510
2017-05-31 16:30,0,-525
2017-05-31 16:45,0,-548
2017-05-31 17:00,0,-556
2017-05-31 17:30,0,-574
2017-05-31 23:30,0,-560
2017-06-01 01:45,-134,-536
2017-06-01 02:01,-59,-541
2017-06-01 02:30,670,-536
2017-06-01 02:50,-194,-536
2017-06-01 03:30,-30,-536
2017-06-01 04:00,-78,-536
2017-06-01 04:30,172,-536
2017-06-01 06:45,134,-536
2017-06-01 08:45,297,-536
2017-06-01 09:00,297,-536
2017-06-01 09:30,282,-536
2017-06-01 09:45,149,-536
2017-06-01 10:15,-47,-536
2017-06-01 10:30,-47,-536
2017-06-01 10:45,40,-536
2017-06-01 10:50,48,-536
2017-06-01 10:55,48,-536
2017-06-01 11:00,48,-536
2017-06-01 11:30,-18,-595
2017-06-01 11:50,50,-580
2017-06-01 11:59,50,-567
2017-06-01 12:00,50,-567
2017-06-01 12:30,58,-576
2017-06-01 12:32,58,-589
