time,strength,rel.price
2017-05-30 11:30,0,0
2017-05-30 12:00,0,22
2017-05-30 12:16,0,50
2017-05-30 12:30,0,40
2017-05-30 12:47,0,70
2017-05-30 15:00,0,49
2017-05-30 15:30,0,55
2017-05-30 16:00,345,67
2017-05-30 17:00,157,50
2017-05-30 17:30,14,76
2017-05-30 18:30,109,102
2017-05-31 00:00,-29,120
2017-05-31 01:01,-43,128
2017-05-31 01:50,-72,128
2017-05-31 02:01,-72,128
2017-05-31 02:30,-70,128
2017-05-31 02:50,-8,128
2017-05-31 03:00,-8,128
2017-05-31 03:30,-56,128
2017-05-31 04:00,-244,128
2017-05-31 04:30,-45,128
2017-05-31 07:00,18,128
2017-05-31 08:00,-5,128
2017-05-31 08:45,-34,128
2017-05-31 09:00,-34,128
2017-05-31 09:45,-24,128
2017-05-31 10:00,-24,128
2017-05-31 10:30,-17,73
2017-05-31 10:55,-76,62
2017-05-31 11:00,-85,52
2017-05-31 11:12,63,64
2017-05-31 11:30,63,108
2017-05-31 12:00,67,52
2017-05-31 12:12,0,49
2017-05-31 12:16,0,50
2017-05-31 13:05,54,57
2017-05-31 14:30,90,94
2017-05-31 14:55,55,93
2017-05-31 15:30,77,104
2017-05-31 15:45,33,88
2017-05-31 15:55,-30,95
2017-05-31 16:00,195,80
2017-05-31 16:30,183,70
2017-05-31 16:45,85,67
2017-05-31 17:00,257,68
2017-05-31 17:30,141,42
2017-05-31 23:30,58,-10
2017-06-01 01:45,-25,-13
2017-06-01 02:01,-25,-25
2017-06-01 02:30,-54,-36
2017-06-01 02:50,164,-36
2017-06-01 03:30,335,-36
2017-06-01 04:30,165,-36
2017-06-01 06:45,169,-36
2017-06-01 08:45,61,-36
2017-06-01 09:30,-90,-36
2017-06-01 09:45,-121,-36
2017-06-01 10:15,-35,-36
2017-06-01 10:30,-35,-36
2017-06-01 10:45,13,-36
2017-06-01 10:50,13,-36
2017-06-01 10:55,1,-36
2017-06-01 11:00,7,-36
2017-06-01 11:30,-37,-84
2017-06-01 11:50,-13,-81
2017-06-01 11:59,-13,-78
2017-06-01 12:00,-13,-78
2017-06-01 12:30,-13,-90
2017-06-01 12:32,-13,-90
2017-06-01 12:34,-13,-90
2017-06-01 12:35,-21,-90
2017-06-01 12:40,-21,-98
2017-06-01 13:25,-24,-104
2017-06-01 14:30,133,-144
2017-06-01 15:15,-419,-148
2017-06-01 15:30,-19,-145
2017-06-01 16:30,129,-209
2017-06-01 16:45,340,-200
2017-06-01 17:00,87,-185
2017-06-01 17:30,102,-226
2017-06-01 18:00,-312,-231
2017-06-01 22:30,-5,-220
2017-06-01 23:00,-43,-219
2017-06-02 01:02,-32,-233
2017-06-02 02:30,14,-233
2017-06-02 02:50,347,-233
2017-06-02 04:30,25,-233
2017-06-02 08:45,-70,-233
2017-06-02 10:00,97,-233
2017-06-02 10:15,80,-233
2017-06-02 10:30,80,-233
2017-06-02 10:45,11,-233
2017-06-02 11:30,11,-193
2017-06-02 11:59,-63,-193
2017-06-02 12:00,-63,-193
2017-06-02 12:34,-81,-223
2017-06-02 15:15,47,-169
2017-06-02 15:30,43,-160
2017-06-02 16:45,577,-92
2017-06-02 17:00,507,-93
2017-06-02 17:30,230,-73
2017-06-02 18:00,29,-77
2017-06-02 20:00,622,17
2017-06-02 22:30,-414,18
2017-06-03 10:00,78,24
2017-06-03 11:30,-1,24
2017-06-03 12:00,-1,24
2017-06-03 15:30,-53,24
2017-06-05 02:30,-172,24
2017-06-05 03:30,-84,24
2017-06-05 04:00,-143,24
2017-06-05 04:30,-168,24
2017-06-05 06:30,13,24
2017-06-05 08:30,-223,24
2017-06-05 09:30,2,90
2017-06-05 10:15,-49,105
2017-06-05 10:45,-5,102
2017-06-05 10:50,-2,94
2017-06-05 10:55,-2,126
2017-06-05 11:00,-2,132
2017-06-05 11:30,5,132
2017-06-05 13:30,-114,190
2017-06-05 14:45,-58,148
2017-06-05 15:00,-70,160
2017-06-05 15:30,-25,157
2017-06-05 16:45,34,172
2017-06-05 17:00,60,156
2017-06-05 18:30,204,148
2017-06-06 02:01,80,206
2017-06-06 02:30,-36,206
2017-06-06 03:00,-21,206
2017-06-06 04:00,-1,206
2017-06-06 04:30,-220,206
2017-06-06 06:45,-77,206
2017-06-06 07:30,-50,206
2017-06-06 10:15,-26,226
2017-06-06 10:45,165,164
2017-06-06 10:50,165,178
2017-06-06 10:55,170,160
2017-06-06 11:00,170,150
2017-06-06 11:10,170,179
2017-06-06 11:30,170,202
2017-06-06 12:00,248,194
2017-06-06 12:35,76,186
2017-06-06 15:30,-256,229
2017-06-06 15:55,-729,194
2017-06-06 16:00,-314,198
2017-06-06 16:45,-145,214
2017-06-06 16:59,607,222
2017-06-06 17:00,-147,222
2017-06-06 17:37,-89,308
2017-06-06 17:38,-89,308
2017-06-06 17:40,-89,308
2017-06-06 18:30,90,297
2017-06-06 23:30,178,297
2017-06-06 23:35,275,304
2017-06-07 01:45,-288,285
2017-06-07 02:30,-468,285
2017-06-07 02:50,-65,285
2017-06-07 03:00,-148,285
2017-06-07 04:30,-57,285
2017-06-07 08:00,88,285
2017-06-07 09:00,-9,285
2017-06-07 10:00,76,430
2017-06-07 10:30,71,407
2017-06-07 11:00,126,460
2017-06-07 11:30,138,471
2017-06-07 12:00,135,467
2017-06-07 15:30,-8,475
2017-06-07 16:59,77,488
2017-06-07 17:00,86,488
2017-06-07 17:30,259,473
2017-06-07 17:37,259,490
2017-06-08 02:01,6,452
2017-06-08 02:30,-16,452
2017-06-08 02:50,103,452
2017-06-08 03:30,98,452
2017-06-08 04:30,88,452
2017-06-08 05:00,128,452
2017-06-08 05:30,248,452
2017-06-08 06:30,122,452
2017-06-08 07:05,-43,452
2017-06-08 08:00,144,452
2017-06-08 08:30,183,452
2017-06-08 08:45,-201,452
2017-06-08 09:00,-118,452
2017-06-08 09:45,171,470
2017-06-08 10:00,171,453
2017-06-08 10:15,154,472
2017-06-08 10:30,154,461
2017-06-08 11:00,152,462
2017-06-08 11:16,152,465
2017-06-08 12:00,240,446
2017-06-08 12:30,250,475
2017-06-08 14:45,99,451
2017-06-08 15:13,99,451
2017-06-08 15:15,99,451
2017-06-08 15:16,99,451
2017-06-08 15:30,99,451
2017-06-08 16:30,221,426
2017-06-08 17:00,251,448
2017-06-08 17:30,289,441
2017-06-08 20:31,207,426
2017-06-08 21:20,100,428
2017-06-08 23:00,41,451
2017-06-09 01:30,-11,382
2017-06-09 02:50,-103,396
2017-06-09 03:00,-103,396
2017-06-09 03:45,-48,396
2017-06-09 04:30,-48,396
2017-06-09 05:00,14,396
2017-06-09 05:30,-81,396
2017-06-09 07:30,-82,396
2017-06-09 08:00,-160,396
2017-06-09 09:00,-137,404
2017-06-09 09:30,-137,420
2017-06-09 09:45,36,408
2017-06-09 10:15,36,401
2017-06-09 11:00,36,417
2017-06-09 11:30,36,420
2017-06-09 12:01,36,412
2017-06-09 12:02,36,412
2017-06-09 12:03,36,412
2017-06-09 13:04,41,400
2017-06-09 14:48,41,407
2017-06-09 15:00,41,405
2017-06-09 15:13,41,398
2017-06-09 15:15,41,398
2017-06-09 15:30,52,402
2017-06-09 17:00,49,380
2017-06-09 17:30,-66,346
2017-06-09 22:30,-101,399
2017-06-10 04:30,134,390
2017-06-10 07:30,-222,390
2017-06-10 09:00,-221,390
2017-06-10 09:45,-247,390
2017-06-10 11:00,-306,390
2017-06-10 11:30,-306,390
2017-06-10 15:30,-33,390
2017-06-12 00:45,-23,374
2017-06-12 01:45,-23,374
2017-06-12 01:50,-11,374
2017-06-12 02:50,-10,374
2017-06-12 07:30,-10,374
2017-06-12 08:30,-121,374
2017-06-12 08:59,-161,374
2017-06-12 09:00,-81,374
2017-06-12 10:00,-143,374
2017-06-12 11:00,-1,374
2017-06-12 11:10,-1,374
2017-06-12 11:35,-30,400
2017-06-12 12:10,-20,395
2017-06-12 12:35,-30,398
2017-06-12 13:00,-15,405
2017-06-12 13:01,-15,410
2017-06-12 16:00,-26,441
2017-06-12 18:30,119,418
2017-06-12 20:01,88,416
2017-06-13 02:50,-18,428
2017-06-13 04:30,-245,428
2017-06-13 08:30,138,428
2017-06-13 09:00,139,428
2017-06-13 11:30,114,428
2017-06-13 11:50,126,428
2017-06-13 12:30,126,456
2017-06-13 15:00,52,438
2017-06-13 15:30,-33,438
2017-06-13 15:55,373,438
2017-06-13 18:30,-106,438
2017-06-14 00:00,59,438
2017-06-14 01:45,51,438
2017-06-14 07:30,90,438
2017-06-14 11:30,79,438
2017-06-14 12:00,79,438
2017-06-14 12:35,79,438
2017-06-14 15:30,69,438
2017-06-14 17:30,-89,438
2017-06-14 21:30,23,438
2017-06-15 01:45,-147,438
2017-06-15 04:30,-56,438
2017-06-15 10:15,-114,438
2017-06-13 13:30,0,438

