time,strength,rel.price
2017-06-09 09:30,-53,0
2017-06-09 09:45,23,-9
2017-06-09 10:15,-58,14
2017-06-09 11:00,72,0
2017-06-09 11:30,-12,42
2017-06-09 12:01,96,24
2017-06-09 12:02,96,24
2017-06-09 12:03,96,24
2017-06-09 13:04,177,103
2017-06-09 14:48,154,120
2017-06-09 15:00,147,109
2017-06-09 15:13,267,100
2017-06-09 15:15,267,100
2017-06-09 15:30,-206,89
2017-06-09 17:00,-52,206
2017-06-09 17:30,258,205
2017-06-09 22:30,381,174
2017-06-10 04:30,104,126
2017-06-10 07:30,224,126
2017-06-10 09:45,111,126
2017-06-10 11:30,2,126
2017-06-10 15:30,12,126
2017-06-12 00:45,-40,103
2017-06-12 01:45,-41,103
2017-06-12 01:50,-47,103
2017-06-12 02:50,-47,103
2017-06-12 07:30,-48,103
2017-06-12 08:00,-7,103
2017-06-12 08:30,-17,103
2017-06-12 08:59,73,103
2017-06-12 09:00,155,103
2017-06-12 11:00,-42,103
2017-06-12 11:10,-42,103
2017-06-12 11:35,-14,108
2017-06-12 12:10,-14,84
2017-06-12 12:35,-28,121
2017-06-12 13:00,-60,111
2017-06-12 13:01,-60,111
2017-06-12 18:30,-10,171
2017-06-12 20:01,0,149
2017-06-12 21:00,0,114
2017-06-13 01:30,0,420
2017-06-13 02:00,0,420
2017-06-13 02:50,0,420
2017-06-13 04:30,0,420
2017-06-13 04:50,0,420
2017-06-13 05:00,0,420
2017-06-13 05:30,0,420
2017-06-13 08:30,0,420
2017-06-13 08:55,0,420
2017-06-13 09:00,0,420
2017-06-13 11:30,0,420
2017-06-13 11:50,0,420
2017-06-13 12:00,0,420
2017-06-13 12:30,0,488
2017-06-13 12:38,0,503
2017-06-13 12:57,0,498
2017-06-13 13:00,0,498
2017-06-13 15:30,0,537
2017-06-13 15:55,0,494
2017-06-13 18:30,0,565
2017-06-13 18:45,0,562
2017-06-13 20:01,0,643
2017-06-13 23:35,0,609
2017-06-14 01:45,0,599
2017-06-14 03:30,0,599
2017-06-14 07:30,0,599
2017-06-14 08:30,0,599
2017-06-14 09:00,0,599
2017-06-14 11:30,0,647
2017-06-14 12:00,0,652
2017-06-14 12:35,0,652
2017-06-14 12:57,0,652
2017-06-14 15:30,0,652
2017-06-14 16:30,0,652
2017-06-14 17:30,0,652
2017-06-14 18:00,0,652
2017-06-14 20:01,0,652
2017-06-14 21:00,0,652
2017-06-14 21:30,0,652
2017-06-15 01:45,0,647
2017-06-15 02:50,0,647
2017-06-15 04:30,0,647
2017-06-15 07:30,0,647
2017-06-15 09:45,0,647
2017-06-15 10:15,0,647
2017-06-15 10:30,66,647
2017-06-15 11:00,50,673
2017-06-15 11:30,49,673
2017-06-15 11:49,-30,673
2017-06-15 11:50,-74,673
2017-06-15 12:00,-72,673
