time,strength,rel.price
2017-06-22 15:30,-165,0
2017-06-22 16:00,217,0
2017-06-22 16:45,-152,0
2017-06-22 17:00,-152,0
2017-06-22 17:30,-157,187
2017-06-23 01:45,-107,187
2017-06-23 03:30,-377,187
2017-06-23 09:45,66,187
2017-06-23 10:00,66,187
2017-06-23 10:30,66,187
2017-06-23 11:00,65,187
2017-06-23 12:36,7,330
2017-06-23 15:30,199,330
2017-06-23 16:00,-132,330
2017-06-23 16:45,-31,330
2017-06-23 17:00,-30,330
2017-06-23 17:30,54,330
2017-06-23 22:30,-22,330
2017-06-24 10:00,0,330
2017-06-24 10:30,-39,330
2017-06-24 11:00,-39,330
2017-06-24 15:30,0,330
2017-06-24 16:45,0,330
2017-06-26 02:50,-126,330
2017-06-26 08:30,25,330
2017-06-26 11:00,28,238
2017-06-26 11:30,-114,238
2017-06-26 15:30,-19,312
2017-06-26 17:30,-39,312
2017-06-26 18:30,-39,312
2017-06-27 01:45,-101,434
2017-06-27 02:50,-149,434
2017-06-27 11:30,42,434
2017-06-27 12:30,42,434
2017-06-27 12:35,42,434
2017-06-27 13:00,42,434
2017-06-27 15:30,42,434
2017-06-27 15:55,42,434
2017-06-27 16:00,42,434
2017-06-27 17:30,42,434
2017-06-27 18:30,42,434
2017-06-27 23:35,-18,753
2017-06-28 09:45,4,753
2017-06-28 10:00,4,782
2017-06-28 12:00,-1,782
2017-06-28 12:20,-1,782
2017-06-28 13:00,-1,782
2017-06-28 15:30,-1,782
2017-06-28 17:30,-1,782
2017-06-29 00:05,-1,782
2017-06-29 02:50,-1,782
2017-06-29 10:00,76,1096
2017-06-29 11:30,-60,1096
2017-06-29 15:30,-45,1096
2017-06-29 17:30,-45,1096
2017-06-30 01:45,23,1096
2017-06-30 02:01,23,1096
2017-06-30 02:30,-143,1096
2017-06-30 02:50,87,1096
2017-06-30 04:30,149,1096
2017-06-30 09:45,12,1096
2017-06-30 10:00,12,1096
2017-06-30 10:55,-107,1174
2017-06-30 11:30,-108,1174
2017-06-30 12:19,-104,1174
2017-06-30 15:30,89,1170
2017-06-30 16:45,70,1170
2017-06-30 17:00,70,1170
2017-07-02 23:30,7,1316
2017-07-02 23:50,-229,1316
2017-07-03 00:30,-170,1316
2017-07-03 01:03,-291,1316
2017-07-03 01:30,-355,1316
2017-07-03 01:45,-347,1316
2017-07-03 05:30,-460,1316
2017-07-03 06:00,-540,1316
2017-07-03 06:30,-245,1316
2017-07-03 07:15,-157,1316
2017-07-03 07:30,-145,1316
2017-07-03 07:45,-245,1316
2017-07-03 07:50,-245,1316
2017-07-03 07:55,22,1316
2017-07-03 08:00,22,1316
2017-07-03 08:30,-86,1316
2017-07-03 09:00,-45,1316
2017-07-03 13:45,-97,1316
2017-07-03 14:00,-93,1316
2017-07-03 15:30,-95,1316
2017-07-03 17:30,13,1316
2017-07-03 19:30,14,1316
2017-07-03 23:50,266,1316
2017-07-04 01:30,46,1531
2017-07-04 03:45,95,1531
2017-07-04 04:30,174,1531
2017-07-04 08:30,0,1522
2017-07-04 09:00,-20,1522
2017-07-04 13:30,32,1395
2017-07-04 14:00,-69,1395
2017-07-04 14:51,56,1395
2017-07-04 14:55,71,1395
2017-07-04 23:01,37,1551
2017-07-04 23:30,24,1551
2017-07-05 00:30,-81,1551
2017-07-05 01:00,-38,1551
2017-07-05 07:15,-21,1551
2017-07-05 07:45,-21,1551
2017-07-05 07:50,-12,1551
2017-07-05 07:55,-12,1551
2017-07-05 08:00,-12,1551
2017-07-05 08:30,-25,1551
2017-07-05 09:00,-41,1551
2017-07-05 09:35,-41,1551
2017-07-05 12:55,-16,1663
2017-07-05 13:45,-16,1663
2017-07-05 14:00,-16,1663
2017-07-05 14:13,-16,1729
2017-07-05 20:35,-16,1518
2017-07-05 23:50,96,1536
2017-07-06 01:30,-24,1536
2017-07-06 03:45,61,1536
2017-07-06 07:15,-32,1536
2017-07-06 08:10,-7,1536
2017-07-06 08:30,-7,1536
2017-07-06 08:50,-7,1536
2017-07-06 09:40,2,1536
2017-07-06 11:30,-7,1536
2017-07-06 12:15,-32,1536
2017-07-06 12:30,-32,1536
2017-07-06 15:00,-41,1536
2017-07-07 00:00,-17,1536
2017-07-07 05:00,144,1536
2017-07-07 05:45,95,1536
2017-07-07 06:00,60,1536
2017-07-07 06:45,83,1536
2017-07-07 07:00,98,1536
2017-07-07 07:30,44,1536
2017-07-07 08:00,62,1536
2017-07-07 08:30,40,1536
2017-07-07 12:30,44,1536
2017-07-07 14:30,149,1536
2017-07-06 15:55,0,1536

