time,strength,rel.price
2017-05-17 11:30,451,-15
2017-05-17 12:00,67,-56
2017-05-17 12:30,-114,-60
2017-05-17 12:35,-283,-71
2017-05-17 13:14,-267,4
2017-05-17 15:30,-352,22
2017-05-17 16:00,-91,66
2017-05-17 17:30,34,128
2017-05-17 18:30,306,204
2017-05-18 02:50,-69,282
2017-05-18 04:00,37,282
2017-05-18 04:30,144,282
2017-05-18 08:30,91,282
2017-05-18 11:30,162,304
2017-05-18 11:50,121,288
2017-05-18 12:00,22,288
2017-05-18 12:30,65,288
2017-05-18 13:32,269,253
2017-05-18 13:33,311,253
2017-05-18 15:30,246,311
2017-05-18 16:45,208,218
2017-05-18 17:30,-79,75
2017-05-19 01:45,164,18
2017-05-19 06:00,10,18
2017-05-19 09:00,67,18
2017-05-19 11:00,-158,18
2017-05-19 11:30,-25,18
2017-05-19 15:30,-11,18
2017-05-19 16:00,-326,18
2017-05-19 17:00,598,18
2017-05-19 17:30,77,18
2017-05-19 22:30,-115,18
2017-05-22 02:01,61,116
2017-05-22 02:50,60,116
2017-05-22 08:30,60,116
2017-05-22 15:30,4,277
2017-05-22 16:00,10,207
2017-05-22 17:00,-76,267
2017-05-22 17:30,95,320
2017-05-22 18:30,45,322
2017-05-22 20:30,55,310
2017-05-23 02:50,17,254
2017-05-23 03:30,34,219
2017-05-23 07:30,45,209
2017-05-23 09:45,183,209
2017-05-23 10:00,181,209
2017-05-23 10:15,-268,209
2017-05-23 10:30,-414,209
2017-05-23 10:55,255,152
2017-05-23 11:00,-135,164
2017-05-23 11:30,-462,267
2017-05-23 12:35,492,292
2017-05-23 15:30,-497,52
2017-05-23 15:55,-136,52
2017-05-23 16:45,290,28
2017-05-23 16:59,290,54
2017-05-23 17:00,290,54
2017-05-23 17:30,296,45
2017-05-23 18:30,168,20
2017-05-23 23:30,23,-2
2017-05-23 23:35,-147,30
2017-05-24 01:45,-159,-8
2017-05-24 02:00,-146,8
2017-05-24 03:30,-134,28
2017-05-24 04:30,-136,24
2017-05-24 07:30,-73,24
2017-05-24 08:00,35,24
2017-05-24 10:00,77,24
2017-05-24 10:15,-129,24
2017-05-24 10:30,3,24
2017-05-24 11:00,-78,24
2017-05-24 11:30,198,24
2017-05-24 12:35,145,24
2017-05-24 12:40,131,24
2017-05-24 15:30,-25,24
2017-05-24 15:58,181,24
2017-05-24 16:00,181,24
2017-05-24 16:03,284,24
2017-05-24 16:45,55,24
2017-05-24 16:59,53,24
2017-05-24 17:00,53,24
2017-05-24 17:30,17,24
2017-05-25 01:45,7,-283
2017-05-25 02:50,7,-257
2017-05-25 04:30,14,-175
2017-05-25 11:00,-358,-175
2017-05-25 11:30,-605,-175
2017-05-25 12:35,-323,-175
2017-05-25 15:30,-282,-175
2017-05-25 15:58,-147,-175
2017-05-25 16:00,163,-175
2017-05-25 16:03,242,-175
2017-05-25 17:30,-14,-175
2017-05-26 02:30,89,49
2017-05-26 02:50,89,49
2017-05-26 11:30,-12,-42
2017-05-26 15:30,97,-166
2017-05-26 17:30,0,-297
2017-05-26 22:30,69,-285
2017-05-27 02:30,223,-323
2017-05-27 02:50,-264,-323
2017-05-27 15:30,22,-323
2017-05-29 08:30,17,-323
2017-05-29 10:15,112,-305
2017-05-29 11:00,195,-290
2017-05-29 12:10,-741,-271
2017-05-30 01:45,-129,-351
2017-05-30 02:30,-149,-351
2017-05-30 02:50,-149,-351
2017-05-30 04:30,46,-351
2017-05-30 08:00,25,-351
2017-05-30 09:00,-6,-351
2017-05-30 09:45,0,-351
2017-05-30 10:00,-258,-351
2017-05-30 11:00,-258,-476
2017-05-30 11:30,-473,-433
2017-05-30 12:00,-120,-444
2017-05-30 12:16,-111,-402
2017-05-30 12:30,-264,-396
2017-05-30 12:47,-324,-377
2017-05-30 15:00,-228,-351
2017-05-30 15:30,172,-360
2017-05-30 16:00,85,-266
2017-05-30 17:00,74,-236
2017-05-30 17:30,-333,-113
2017-05-30 18:30,525,-123
2017-05-31 00:00,-378,-196
2017-05-31 02:01,-536,-174
2017-05-31 02:30,-576,-174
2017-05-31 02:50,-367,-174
2017-05-31 04:00,-41,-174
2017-05-31 04:30,91,-174
2017-05-31 07:00,62,-174
2017-05-31 08:00,-76,-174
2017-05-31 09:00,-60,-174
2017-05-31 09:45,-481,-174
2017-05-31 10:00,-594,-174
2017-05-31 10:55,-195,-270
2017-05-31 11:00,-195,-245
2017-05-31 11:30,205,-270
2017-05-31 12:00,-464,-256
2017-05-31 12:16,499,-280
2017-05-31 15:30,374,-285
2017-05-31 16:00,352,-285
2017-05-31 16:45,-397,-285
2017-05-31 17:00,-397,-285
2017-06-01 02:50,-238,-285
2017-06-01 04:30,357,-285
2017-06-01 08:45,129,-285
2017-06-01 09:00,135,-285
2017-06-01 10:15,109,-285
2017-05-31 12:30,0,-285

