time,strength,rel.price
2017-05-16 16:30,0,0
2017-05-16 17:00,0,5
2017-05-16 17:45,0,-73
2017-05-16 17:52,0,-68
2017-05-16 18:30,0,-48
2017-05-16 23:30,0,-104
2017-05-16 23:35,0,-104
2017-05-17 01:45,0,-121
2017-05-17 02:50,0,-121
2017-05-17 03:30,0,-121
2017-05-17 04:30,0,-121
2017-05-17 07:30,0,-121
2017-05-17 11:00,0,-141
2017-05-17 11:30,451,-183
2017-05-17 12:00,169,-159
2017-05-17 12:30,-114,-144
2017-05-17 12:35,-283,-135
2017-05-17 13:14,-267,-140
2017-05-17 15:30,6,-110
2017-05-17 16:00,-148,-115
2017-05-17 17:30,222,-209
2017-05-17 18:30,171,-243
2017-05-18 02:50,3,-129
2017-05-18 04:00,-35,-129
2017-05-18 04:30,24,-129
2017-05-18 08:30,-68,-129
2017-05-18 11:30,-18,-184
2017-05-18 11:50,-21,-193
2017-05-18 12:00,-194,-193
2017-05-18 12:30,-183,-193
2017-05-18 13:32,108,-247
2017-05-18 13:33,133,-247
2017-05-18 15:30,-80,-274
2017-05-18 16:45,15,-317
2017-05-18 17:30,53,-304
2017-05-19 01:45,51,-283
2017-05-19 11:30,-68,-283
2017-05-19 15:30,-151,-283
2017-05-19 16:00,-150,-283
2017-05-19 17:30,46,-283
2017-05-19 22:30,17,-283
2017-05-22 02:01,0,-213
2017-05-22 02:50,0,-213
2017-05-22 08:30,0,-213
2017-05-22 15:30,10,-194
2017-05-22 16:00,10,-191
2017-05-22 17:00,-108,-177
2017-05-22 17:30,-8,-174
2017-05-22 18:30,-7,-115
2017-05-22 20:30,0,-112
2017-05-23 02:50,0,-63
2017-05-23 03:30,0,-62
2017-05-23 07:30,0,-71
2017-05-23 09:45,138,-71
2017-05-23 10:00,97,-71
2017-05-23 10:15,-378,-71
2017-05-23 10:30,19,-71
2017-05-23 10:55,-66,-55
2017-05-23 11:00,-377,-69
2017-05-23 11:30,-413,-64
2017-05-23 12:35,-83,-81
2017-05-23 15:30,-81,-148
2017-05-23 15:55,-13,-152
2017-05-23 16:45,373,-154
2017-05-23 16:59,373,-141
2017-05-23 17:00,373,-141
2017-05-23 17:30,603,-151
2017-05-23 18:30,477,-156
2017-05-23 23:30,-198,-176
2017-05-23 23:35,-198,-168
2017-05-24 01:45,36,-156
2017-05-24 02:00,94,-146
2017-05-24 03:30,94,-156
2017-05-24 04:30,96,-159
2017-05-24 07:30,102,-159
2017-05-24 08:00,115,-159
2017-05-24 10:00,82,-159
2017-05-24 10:15,-242,-159
2017-05-24 10:30,30,-159
2017-05-24 11:00,-132,-159
2017-05-24 11:30,357,-159
2017-05-24 12:35,72,-159
2017-05-24 12:40,121,-159
2017-05-24 15:30,-116,-159
2017-05-24 15:58,107,-159
2017-05-24 16:00,100,-159
2017-05-24 16:03,141,-159
2017-05-24 16:45,-15,-159
2017-05-24 16:59,-6,-159
2017-05-24 17:00,-6,-159
2017-05-24 17:30,-99,-159
2017-05-25 01:45,-5,-146
2017-05-25 02:50,46,-139
2017-05-25 04:30,62,-123
2017-05-25 11:00,-243,-123
2017-05-25 11:30,-436,-123
2017-05-25 12:35,-189,-123
2017-05-25 15:30,-185,-123
2017-05-25 15:58,57,-123
2017-05-25 16:00,55,-123
2017-05-25 16:03,122,-123
2017-05-25 17:00,76,-123
2017-05-25 17:30,126,-123
2017-05-25 18:00,161,-123
2017-05-26 02:30,68,-192
2017-05-26 02:50,68,-192
2017-05-26 11:30,-85,-201
2017-05-26 15:30,51,-262
2017-05-26 17:00,-33,-282
2017-05-26 17:30,-36,-246
2017-05-26 20:00,59,-249
2017-05-26 22:30,59,-254
2017-05-27 02:30,28,-250
2017-05-27 02:50,-133,-250
2017-05-27 15:30,41,-250
2017-05-27 17:00,41,-250
2017-05-29 08:30,58,-250
2017-05-29 10:15,265,-255
2017-05-29 11:00,-88,-254
2017-05-29 12:10,-655,-239
2017-05-29 16:00,-279,-242
2017-05-30 01:45,7,-177
2017-05-30 02:30,-193,-177
2017-05-30 02:50,-193,-177
2017-05-30 04:30,15,-177
2017-05-30 09:00,63,-177
2017-05-30 09:45,25,-177
2017-05-30 10:00,-193,-177
2017-05-30 11:30,-183,-199
2017-05-30 12:00,390,-217
2017-05-30 12:16,-476,-279
2017-05-30 12:30,-591,-274
2017-05-30 12:47,-704,-273
2017-05-30 15:30,371,-232
2017-05-30 16:00,78,-212
2017-05-30 17:00,282,-210
2017-05-30 17:30,12,-201
2017-05-31 00:00,-71,-186
2017-05-31 02:01,-130,-186
2017-05-31 02:30,-413,-186
2017-05-31 02:50,-252,-186
2017-05-31 04:30,-181,-186
2017-05-31 09:00,-271,-186
2017-05-31 09:45,-94,-186
2017-05-31 10:00,-617,-186
2017-05-31 10:55,-143,-186
2017-05-31 11:00,50,-186
2017-05-31 11:30,-601,-186
2017-05-31 12:00,-378,-186
2017-05-31 15:30,-359,-186
2017-05-31 16:00,-248,-186
2017-05-30 18:30,0,-186

