time,strength,rel.price
2017-05-29 12:10,-134,-10
2017-05-29 16:00,-141,-9
2017-05-30 00:00,-52,-38
2017-05-30 01:45,79,-69
2017-05-30 02:30,-65,-69
2017-05-30 02:50,-65,-69
2017-05-30 04:30,89,-69
2017-05-30 08:00,-45,-69
2017-05-30 09:00,-79,-69
2017-05-30 09:45,-17,-69
2017-05-30 10:00,-272,-69
2017-05-30 11:00,140,-120
2017-05-30 11:30,-466,-129
2017-05-30 12:00,79,-172
2017-05-30 12:16,-78,-189
2017-05-30 12:30,-190,-183
2017-05-30 12:47,-283,-163
2017-05-30 15:00,-172,-149
2017-05-30 15:30,173,-179
2017-05-30 16:00,49,-106
2017-05-30 17:00,230,-146
2017-05-30 17:30,21,-60
2017-05-30 18:30,177,-85
2017-05-31 00:00,-132,-35
2017-05-31 01:01,-107,-41
2017-05-31 01:50,-466,-41
2017-05-31 02:01,-466,-41
2017-05-31 02:30,-251,-41
2017-05-31 02:50,-249,-41
2017-05-31 03:00,-245,-41
2017-05-31 03:30,-11,-41
2017-05-31 04:00,-16,-41
2017-05-31 04:30,49,-41
2017-05-31 08:00,-54,-41
2017-05-31 08:45,-291,-41
2017-05-31 09:00,-117,-41
2017-05-31 09:45,-125,-41
2017-05-31 10:00,-213,-41
2017-05-31 10:30,151,70
2017-05-31 10:55,-117,80
2017-05-31 11:00,89,80
2017-05-31 11:12,629,73
2017-05-31 11:30,532,75
2017-05-31 12:00,-625,81
2017-05-31 12:12,405,94
2017-05-31 12:16,727,111
2017-05-31 13:05,-9,125
2017-05-31 14:00,1108,76
2017-05-31 14:30,827,70
2017-05-31 14:55,87,59
2017-05-31 15:30,125,103
2017-05-31 15:45,309,116
2017-05-31 15:55,305,119
2017-05-31 16:00,297,116
2017-05-31 16:30,-43,85
2017-05-31 16:45,-77,85
2017-05-31 17:00,-63,89
2017-05-31 17:30,-76,73
2017-05-31 23:30,136,37
2017-06-01 01:45,8,74
2017-06-01 02:01,-14,82
2017-06-01 02:30,173,83
2017-06-01 02:50,-11,83
2017-06-01 03:30,116,83
2017-06-01 04:00,5,83
2017-06-01 04:30,63,83
2017-06-01 06:45,-6,83
2017-06-01 08:45,-23,83
2017-06-01 09:00,-23,83
2017-06-01 09:30,-42,83
2017-06-01 09:45,-99,83
2017-06-01 10:15,-249,83
2017-06-01 10:30,119,83
2017-06-01 10:45,-118,83
2017-06-01 10:50,-129,83
2017-06-01 10:55,63,83
2017-06-01 11:00,48,83
2017-06-01 11:30,96,98
2017-06-01 11:50,-35,88
2017-06-01 11:59,306,60
2017-06-01 12:00,547,60
2017-06-01 12:30,722,52
2017-06-01 12:32,722,52
2017-06-01 12:34,740,52
2017-06-01 12:35,126,52
2017-06-01 12:40,157,25
2017-06-01 13:25,313,90
2017-06-01 14:30,85,155
2017-06-01 15:15,77,97
2017-06-01 15:30,86,69
2017-06-01 16:30,-80,32
2017-06-01 16:45,70,32
2017-06-01 17:00,60,25
2017-06-01 17:30,157,8
2017-06-01 18:00,183,-24
2017-06-01 22:30,73,-33
2017-06-02 00:00,143,-27
2017-06-02 01:02,145,-21
2017-06-02 02:30,29,-21
2017-06-02 02:50,61,-21
2017-06-02 04:30,105,-21
2017-06-02 08:45,110,-21
2017-06-02 09:00,110,-21
2017-06-02 10:15,7,-21
2017-06-02 10:30,68,-21
2017-06-02 10:45,199,-21
2017-06-02 11:30,221,55
2017-06-02 11:59,-445,37
2017-06-02 12:00,443,37
2017-06-02 12:34,339,45
2017-06-02 15:15,-85,71
