time,strength,rel.price
2017-05-30 15:00,0,-46
2017-05-30 15:30,47,-75
2017-05-30 16:00,-76,11
2017-05-30 17:00,281,27
2017-05-30 17:30,-39,35
2017-05-30 18:30,58,92
2017-05-31 00:00,-126,-7
2017-05-31 01:01,-126,19
2017-05-31 01:50,-293,19
2017-05-31 02:01,-594,19
2017-05-31 02:30,-487,19
2017-05-31 02:50,-91,19
2017-05-31 03:00,-550,19
2017-05-31 03:30,6,19
2017-05-31 04:00,-269,19
2017-05-31 04:30,76,19
2017-05-31 07:00,-200,19
2017-05-31 08:00,-265,19
2017-05-31 08:45,-393,19
2017-05-31 09:00,-153,19
2017-05-31 09:45,-590,19
2017-05-31 10:00,-601,19
2017-05-31 10:30,512,18
2017-05-31 10:55,149,41
2017-05-31 11:00,149,81
2017-05-31 11:12,337,78
2017-05-31 11:30,137,63
2017-05-31 12:00,-720,11
2017-05-31 12:12,87,53
2017-05-31 12:16,375,50
2017-05-31 13:05,-44,-33
2017-05-31 14:30,300,37
2017-05-31 14:55,357,118
2017-05-31 15:30,254,153
2017-05-31 15:45,211,192
2017-05-31 15:55,210,216
2017-05-31 16:00,210,198
2017-05-31 16:30,-56,171
2017-05-31 16:45,-71,164
2017-05-31 17:00,-63,168
2017-05-31 17:30,-113,157
2017-05-31 23:30,-54,183
2017-06-01 00:00,31,188
2017-06-01 01:45,-18,242
2017-06-01 02:01,-15,276
2017-06-01 02:30,-13,256
2017-06-01 02:50,239,256
2017-06-01 03:30,191,256
2017-06-01 04:30,-84,256
2017-06-01 06:45,-383,256
2017-06-01 08:45,172,256
2017-06-01 09:00,203,256
2017-06-01 09:30,-59,256
2017-06-01 09:45,4,256
2017-06-01 10:15,318,256
2017-06-01 10:30,585,256
2017-06-01 10:45,369,256
2017-06-01 10:50,295,256
2017-06-01 10:55,794,256
2017-06-01 11:00,618,256
2017-06-01 11:30,-31,307
2017-06-01 11:50,-125,291
2017-06-01 11:59,61,292
2017-06-01 12:00,117,292
2017-06-01 12:30,315,360
2017-06-01 12:32,317,340
2017-06-01 12:34,206,340
2017-06-01 12:35,-150,340
2017-06-01 12:40,-150,314
2017-06-01 13:25,294,328
2017-06-01 14:30,191,332
2017-06-01 15:15,349,345
2017-06-01 15:30,316,318
2017-06-01 16:30,-117,345
2017-06-01 16:45,-116,351
2017-06-01 17:00,-114,371
2017-06-01 17:30,54,409
2017-06-01 18:00,52,427
2017-06-01 22:30,35,393
2017-06-01 23:00,-17,376
2017-06-02 01:02,-27,382
2017-06-02 02:30,-24,382
2017-06-02 02:50,6,382
2017-06-02 04:30,69,382
2017-06-02 08:45,147,382
2017-06-02 09:00,147,382
2017-06-02 10:15,109,382
2017-06-02 10:30,161,382
2017-06-02 10:45,350,382
2017-06-02 11:30,138,543
2017-06-02 11:59,-5,477
2017-06-02 12:00,-75,477
2017-06-02 12:34,-193,494
2017-06-02 15:15,-165,461
2017-06-02 15:30,-150,442
2017-06-02 16:45,-99,368
2017-06-02 17:00,-97,347
2017-06-02 17:30,-127,295
2017-06-02 18:00,-127,269
2017-06-02 22:30,-69,265
2017-06-03 11:30,74,251
2017-06-03 12:00,74,251
2017-06-03 15:30,48,251
2017-06-05 02:30,44,251
2017-06-05 03:30,59,251
2017-06-05 04:00,-212,251
2017-06-05 04:30,-72,251
2017-06-05 06:30,-143,251
2017-06-05 08:30,-297,251
2017-06-05 09:30,-15,290
2017-06-05 10:15,-17,251
2017-06-05 10:45,-194,265
2017-06-05 10:50,-223,253
2017-06-05 10:55,361,245
2017-06-05 11:00,-46,227
2017-06-05 11:30,-356,243
2017-06-05 13:30,-160,221
2017-06-05 14:45,240,171
2017-06-05 15:00,-247,165
2017-06-05 15:30,-191,148
2017-06-05 16:45,-113,165
2017-06-05 17:00,-111,168
2017-06-05 18:30,-83,206
2017-06-06 02:01,-86,162
2017-06-06 02:30,-78,162
2017-06-06 03:00,48,162
2017-06-06 04:00,139,162
2017-06-06 04:30,-118,162
2017-06-06 06:45,108,162
2017-06-06 07:30,257,162
2017-06-06 10:15,-264,-120
2017-06-06 10:45,-328,-122
2017-06-06 10:50,-270,-134
2017-06-06 10:55,-86,-161
2017-06-06 11:00,-278,-155
2017-06-06 11:10,29,-169
2017-06-06 11:30,68,-262
2017-06-06 12:00,245,-242
2017-06-06 12:35,570,-236
2017-06-06 15:30,-236,-353
2017-06-06 15:55,-262,-310
2017-06-06 16:00,-314,-310
2017-06-06 16:45,-77,-313
2017-06-06 16:59,-55,-322
2017-06-06 17:00,-55,-322
2017-06-06 17:37,-129,-257
2017-06-06 17:38,-129,-257
2017-06-06 17:40,-124,-257
2017-06-06 18:30,-41,-186
2017-06-06 23:30,-110,-207
2017-06-06 23:35,-255,-215
2017-06-07 01:45,-273,-234
2017-06-07 02:30,-252,-234
2017-06-07 02:50,-377,-234
2017-06-07 03:00,-179,-234
2017-06-07 04:30,-173,-234
2017-06-07 08:00,-152,-234
2017-06-07 09:00,-334,-234
2017-06-07 10:00,-328,-224
2017-06-07 10:30,-222,-255
2017-06-07 11:00,163,-248
2017-06-07 11:30,584,-398
2017-06-07 12:00,311,-351
2017-06-07 15:30,119,-493
2017-06-07 16:59,-88,-443
2017-06-07 17:00,-88,-443
2017-06-07 17:30,-249,-380
2017-06-07 17:37,-241,-357
2017-06-08 02:01,-126,-115
2017-06-08 02:30,-110,-115
