time,strength,rel.price
2017-06-08 21:20,0,0
2017-06-09 01:30,0,157
2017-06-09 02:50,0,108
2017-06-09 03:00,-213,108
2017-06-09 03:45,16,108
2017-06-09 04:30,-208,108
2017-06-09 05:00,-11,108
2017-06-09 05:30,-146,108
2017-06-09 07:30,16,108
2017-06-09 08:00,88,108
2017-06-09 09:00,-142,10
2017-06-09 09:30,179,-8
2017-06-09 09:45,-91,2
2017-06-09 10:15,-654,-25
2017-06-09 11:00,-2,-34
2017-06-09 11:30,-133,-115
2017-06-09 12:01,270,-117
2017-06-09 12:02,204,-117
2017-06-09 12:03,144,-117
2017-06-09 13:04,-52,-126
2017-06-09 14:48,57,-111
2017-06-09 15:00,27,-112
2017-06-09 15:13,132,-101
2017-06-09 15:15,132,-101
2017-06-09 15:30,121,-113
2017-06-09 17:00,-43,-100
2017-06-09 17:30,194,-31
2017-06-09 22:30,-16,-85
2017-06-10 04:30,7,-23
2017-06-10 07:30,-121,-23
2017-06-10 09:45,-114,-23
2017-06-10 11:30,-27,-23
2017-06-10 15:30,9,-23
2017-06-12 00:45,155,-91
2017-06-12 01:45,-138,-91
2017-06-12 01:50,13,-91
2017-06-12 02:50,-51,-91
2017-06-12 07:30,39,-91
2017-06-12 08:00,199,-91
2017-06-12 08:30,244,-91
2017-06-12 08:59,139,-91
2017-06-12 09:00,79,-91
2017-06-12 11:00,-390,-91
2017-06-12 11:10,-373,-91
2017-06-12 11:35,-763,285
2017-06-12 12:10,-608,327
2017-06-12 12:35,-618,262
2017-06-12 13:00,-554,304
2017-06-12 13:01,-404,289
2017-06-12 18:30,-21,98
2017-06-12 20:01,42,34
2017-06-13 01:30,512,57
2017-06-13 02:00,-113,57
2017-06-13 02:50,284,57
2017-06-13 04:30,65,57
2017-06-13 04:50,102,57
2017-06-13 05:00,-110,57
2017-06-13 05:30,60,57
2017-06-13 08:30,286,57
2017-06-13 08:55,396,57
2017-06-13 09:00,-7,57
2017-06-13 11:30,-169,57
2017-06-13 11:50,-257,57
2017-06-13 12:30,137,5
2017-06-13 12:38,-154,-18
2017-06-13 12:57,30,-28
2017-06-13 13:00,105,-28
2017-06-13 15:30,267,-55
2017-06-13 15:55,249,-42
2017-06-13 18:30,-156,-53
2017-06-13 18:45,-150,-55
2017-06-13 20:00,-124,-137
2017-06-13 20:01,-124,-148
2017-06-13 23:35,56,-105
2017-06-14 01:45,75,-80
2017-06-14 03:30,111,-80
2017-06-14 07:30,-161,-80
2017-06-14 08:30,160,-80
2017-06-14 09:00,-329,-80
2017-06-14 11:30,144,-164
2017-06-14 12:00,-170,-176
2017-06-14 12:35,201,-270
2017-06-14 12:57,135,-242
2017-06-14 15:30,260,-242
2017-06-14 16:30,310,-242
2017-06-14 17:00,245,-242
2017-06-14 17:30,-94,-242
2017-06-14 18:00,-39,-242
2017-06-14 20:01,-33,-242
2017-06-14 21:00,-128,-242
2017-06-14 21:30,-122,-242
2017-06-15 01:45,-33,-296
2017-06-15 02:50,-597,-296
2017-06-15 04:30,-56,-296
2017-06-15 07:30,91,-296
2017-06-15 09:45,161,-296
2017-06-15 10:15,-305,-296
2017-06-15 10:30,-22,-296
2017-06-15 11:00,-284,-97
2017-06-15 11:30,-498,-97
2017-06-15 11:49,-175,-97
2017-06-15 11:50,64,-97
2017-06-15 12:00,251,-97
2017-06-15 12:35,312,-97
2017-06-15 15:30,-136,-97
2017-06-15 16:00,-119,-216
2017-06-15 16:15,-87,-216
2017-06-15 16:45,-65,-216
2017-06-15 17:00,-65,-216
2017-06-15 17:30,-96,-216
2017-06-16 01:30,-16,-216
2017-06-16 01:45,-150,-216
2017-06-16 02:50,-432,-216
2017-06-16 04:15,-326,-216
2017-06-16 04:30,-281,-216
2017-06-16 04:45,-202,-216
2017-06-16 05:00,-169,-216
2017-06-16 05:30,-233,-216
2017-06-16 05:54,-645,-216
2017-06-16 06:00,-576,-216
2017-06-16 06:20,-84,-216
2017-06-16 06:30,230,-216
2017-06-16 06:45,-404,-216
2017-06-16 07:15,252,-344
2017-06-16 07:30,229,-344
2017-06-16 08:00,5,-344
2017-06-16 08:30,-142,-344
2017-06-16 08:50,471,-344
2017-06-16 09:00,470,-344
2017-06-16 09:45,492,-344
2017-06-16 10:15,-127,-344
2017-06-16 10:30,-203,-344
2017-06-16 10:45,-125,-344
2017-06-16 11:15,55,-344
2017-06-16 11:30,-367,-344
2017-06-16 11:49,44,-344
2017-06-16 11:50,159,-344
2017-06-16 12:00,225,-344
2017-06-16 12:30,-187,-344
2017-06-16 13:15,-20,-344
2017-06-16 13:45,-73,-344
2017-06-16 14:00,-31,-344
2017-06-16 14:30,61,-344
2017-06-16 15:30,-181,-344
2017-06-16 16:00,-156,-344
2017-06-16 16:15,-131,-344
2017-06-16 16:45,-104,-344
2017-06-16 17:00,-104,-344
2017-06-16 17:30,-136,-344
2017-06-17 01:45,-101,-344
2017-06-17 02:50,-493,-344
2017-06-17 04:30,-139,-344
2017-06-17 09:45,-85,-344
2017-06-17 10:15,-141,-344
2017-06-17 10:30,-57,-344
2017-06-17 11:00,-244,-344
