time,strength,rel.price
2017-05-15 18:30,44,-3
2017-05-16 04:30,130,-14
2017-05-16 07:30,-118,-14
2017-05-16 09:45,-116,-14
2017-05-16 11:00,5,140
2017-05-16 11:30,285,203
2017-05-16 11:50,69,189
2017-05-16 12:00,-173,186
2017-05-16 12:29,-401,214
2017-05-16 12:30,228,214
2017-05-16 12:50,-17,242
2017-05-16 15:30,217,331
2017-05-16 15:55,357,293
2017-05-16 16:15,2,307
2017-05-16 16:30,-325,311
2017-05-16 17:00,708,412
2017-05-16 17:45,-223,361
2017-05-16 17:52,-201,347
2017-05-16 18:30,-303,365
2017-05-16 23:30,159,447
2017-05-16 23:35,302,447
2017-05-17 01:45,33,423
2017-05-17 02:50,119,423
2017-05-17 03:30,165,423
2017-05-17 04:30,-40,423
2017-05-17 07:30,9,423
2017-05-17 11:00,22,529
2017-05-17 11:30,164,451
2017-05-17 12:00,-161,428
2017-05-17 12:30,-561,445
2017-05-17 12:35,-652,444
2017-05-17 13:14,-626,465
2017-05-17 15:30,-40,489
2017-05-17 16:00,12,509
2017-05-17 17:30,224,531
2017-05-17 18:30,165,643
2017-05-18 02:50,-61,717
2017-05-18 04:30,44,717
2017-05-18 08:30,-52,717
2017-05-18 11:30,-47,646
2017-05-18 11:50,73,632
2017-05-18 12:30,-122,632
2017-05-18 13:32,234,574
2017-05-18 13:33,-4,574
2017-05-18 15:30,-109,620
2017-05-18 16:45,181,528
2017-05-18 17:30,232,531
2017-05-18 20:00,293,595
2017-05-19 01:45,130,465
2017-05-19 11:30,-132,465
2017-05-19 15:30,-180,465
2017-05-19 16:00,-146,465
2017-05-19 17:30,100,465
2017-05-19 22:30,-327,465
2017-05-22 02:01,-115,903
2017-05-22 02:50,-123,903
2017-05-22 08:30,-123,903
2017-05-22 15:30,-133,1049
2017-05-22 16:00,-224,1022
2017-05-22 17:00,-112,1071
2017-05-22 17:30,-121,1059
2017-05-22 18:30,-16,1096
2017-05-22 20:30,84,1083
2017-05-23 02:50,-187,1034
2017-05-23 03:30,-151,1030
2017-05-23 07:30,-85,1024
2017-05-23 09:45,-78,1024
2017-05-23 10:00,-106,1024
2017-05-23 10:15,-650,1024
2017-05-23 10:30,-816,1024
2017-05-23 10:55,-193,996
2017-05-23 11:00,-576,992
2017-05-23 11:30,-959,1062
2017-05-23 12:35,-14,1095
2017-05-23 15:30,-572,1013
2017-05-23 15:55,-441,984
2017-05-23 16:45,12,993
2017-05-23 16:59,747,1011
2017-05-23 17:00,262,1011
2017-05-23 17:30,947,1018
2017-05-23 18:30,449,954
2017-05-23 23:30,-136,781
2017-05-23 23:35,-135,786
2017-05-24 01:45,-299,799
2017-05-24 02:00,-252,812
2017-05-24 03:30,-151,816
2017-05-24 04:30,26,791
2017-05-24 07:30,-3,791
2017-05-24 08:00,-162,791
2017-05-24 09:00,-148,791
2017-05-24 10:15,-311,791
2017-05-24 10:30,-149,791
2017-05-24 11:00,-374,791
2017-05-24 11:30,220,791
2017-05-24 12:35,-98,791
2017-05-24 12:40,-107,791
2017-05-24 13:00,-192,791
2017-05-24 15:30,-172,791
2017-05-24 15:58,487,791
2017-05-24 16:00,230,791
2017-05-24 16:03,335,791
2017-05-24 16:45,68,791
2017-05-24 16:59,67,791
2017-05-24 17:00,67,791
2017-05-24 17:30,-297,791
2017-05-25 01:45,13,941
2017-05-25 02:50,34,961
2017-05-25 04:30,39,998
2017-05-25 11:00,-343,998
2017-05-25 11:30,-555,998
2017-05-25 12:35,-423,998
2017-05-25 15:30,-369,998
2017-05-25 15:58,-41,998
2017-05-25 16:00,64,998
2017-05-25 16:03,262,998
2017-05-25 17:30,280,998
2017-05-25 18:00,-69,998
2017-05-26 02:30,-21,919
2017-05-26 02:50,-3,919
2017-05-26 11:30,-75,924
2017-05-26 15:30,80,894
2017-05-26 17:30,511,762
2017-05-26 22:30,-31,775
2017-05-27 02:30,251,781
2017-05-27 02:50,-21,781
2017-05-27 15:30,84,781
2017-05-29 08:30,93,781
2017-05-29 10:15,114,754
2017-05-29 11:00,-278,770
2017-05-29 12:10,-642,795
2017-05-29 16:00,-302,825
2017-05-30 00:00,-251,791
2017-05-30 01:45,-209,791
2017-05-30 02:30,-187,791
2017-05-30 02:50,-190,791
2017-05-30 04:30,142,791
2017-05-30 09:00,138,791
2017-05-30 09:45,-485,791
2017-05-30 10:00,-193,791
2017-05-30 15:30,-976,791
2017-05-30 16:00,557,791
2017-05-30 17:30,-653,791
2017-05-29 19:56,0,791

