time,strength,rel.price
2017-05-17 11:00,0,-3
2017-05-17 11:30,132,179
2017-05-17 12:00,13,309
2017-05-17 12:30,226,295
2017-05-17 12:35,0,294
2017-05-17 13:14,134,421
2017-05-17 14:00,-23,392
2017-05-17 15:30,157,463
2017-05-17 16:00,-23,453
2017-05-17 17:30,58,562
2017-05-17 18:30,58,397
2017-05-18 02:50,-10,250
2017-05-18 04:00,129,250
2017-05-18 04:30,81,250
2017-05-18 08:30,-210,250
2017-05-18 11:30,-79,80
2017-05-18 11:50,-75,42
2017-05-18 12:00,-324,42
2017-05-18 12:30,-136,42
2017-05-18 13:32,240,556
2017-05-18 13:33,240,556
2017-05-18 15:30,-8,479
2017-05-18 16:45,-167,451
2017-05-18 17:30,-165,523
2017-05-19 01:45,81,224
2017-05-19 06:00,-16,224
2017-05-19 09:00,-22,224
2017-05-19 11:00,-22,224
2017-05-19 11:30,-20,224
2017-05-19 15:30,106,224
2017-05-19 16:00,106,224
2017-05-19 17:00,106,224
2017-05-19 17:30,106,224
2017-05-19 22:30,11,224
2017-05-22 02:01,104,360
2017-05-22 02:50,87,360
2017-05-22 08:30,0,360
2017-05-22 15:30,0,67
2017-05-22 16:00,0,110
2017-05-22 17:00,0,56
2017-05-22 17:30,-32,105
2017-05-22 18:30,0,74
2017-05-22 20:30,0,81
2017-05-23 02:50,0,16
2017-05-23 03:30,0,14
2017-05-23 07:30,0,29
2017-05-23 09:45,0,29
2017-05-23 10:00,0,29
2017-05-23 10:15,0,29
2017-05-23 10:30,0,29
2017-05-23 10:55,0,-288
2017-05-23 11:00,0,-305
2017-05-23 11:30,115,-186
2017-05-23 12:35,-110,-305
2017-05-23 13:00,-110,-281
2017-05-23 15:30,81,-408
2017-05-23 15:55,3,-404
2017-05-23 16:45,75,-514
2017-05-23 16:59,75,-465
2017-05-23 17:00,75,-465
2017-05-23 17:30,-92,-345
2017-05-23 18:30,51,-328
2017-05-23 23:30,12,-202
2017-05-23 23:35,12,-183
2017-05-24 01:45,34,-229
2017-05-24 02:00,34,-213
2017-05-24 03:30,37,-240
2017-05-24 04:30,1,-192
2017-05-24 07:30,14,-192
2017-05-24 08:00,30,-192
2017-05-24 10:00,30,-192
2017-05-24 10:15,30,-192
2017-05-24 10:30,27,-192
2017-05-24 11:00,27,-192
2017-05-24 11:30,27,-192
2017-05-24 12:35,100,-192
2017-05-24 12:40,100,-192
2017-05-24 13:00,100,-192
2017-05-24 15:30,100,-192
2017-05-24 15:58,100,-192
2017-05-24 16:00,100,-192
2017-05-24 16:03,100,-192
2017-05-24 16:45,0,-192
2017-05-24 16:59,0,-192
2017-05-24 17:00,0,-192
2017-05-24 17:30,0,-192
2017-05-25 01:45,0,-420
2017-05-25 02:50,0,-389
2017-05-25 04:30,0,-345
2017-05-25 11:00,0,-345
2017-05-25 11:30,0,-345
2017-05-25 12:35,485,-345
2017-05-25 15:30,183,-345
2017-05-25 15:58,51,-345
2017-05-25 16:00,51,-345
2017-05-25 16:03,51,-345
2017-05-25 17:00,157,-345
2017-05-25 17:30,159,-345
2017-05-26 02:30,91,-138
2017-05-26 02:50,91,-138
2017-05-26 11:30,-15,-264
2017-05-26 15:30,-31,-582
2017-05-26 17:30,-31,-707
2017-05-26 22:30,-25,-775
2017-05-27 02:30,142,-746
2017-05-27 02:50,-38,-746
2017-05-27 15:30,-23,-746
2017-05-29 08:30,0,-746
2017-05-29 10:15,0,-529
2017-05-29 11:00,0,-512
2017-05-29 12:10,0,-509
2017-05-30 01:45,0,-565
2017-05-30 02:30,0,-565
2017-05-30 02:50,0,-565
2017-05-30 04:30,0,-565
2017-05-30 09:00,-152,-565
2017-05-30 09:45,-197,-565
2017-05-30 10:00,-197,-565
2017-05-30 11:30,-197,-525
2017-05-30 12:00,-197,-482
2017-05-30 12:16,-197,-470
2017-05-30 12:30,-197,-492
2017-05-30 12:47,-128,-561
2017-05-30 15:30,-126,-448
2017-05-30 16:00,-89,-505
2017-05-30 17:00,0,-478
2017-05-30 17:30,0,-583
2017-05-30 18:30,0,-483
2017-05-31 02:01,0,-653
2017-05-31 02:30,-70,-653
2017-05-31 02:50,38,-653
2017-05-31 04:30,-68,-653
2017-05-31 08:00,-103,-653
2017-05-31 09:00,4,-653
2017-05-31 09:45,-12,-653
2017-05-31 10:00,-12,-653
2017-05-31 10:55,14,-763
2017-05-31 11:00,14,-763
2017-05-31 11:30,14,-763
2017-05-31 12:00,-131,-763
2017-05-31 12:16,161,-763
2017-05-31 15:30,149,-763
2017-05-31 16:00,32,-763
2017-05-31 16:45,-163,-763
2017-05-31 17:00,-163,-763
2017-06-01 02:50,-92,-763
2017-06-01 04:30,-135,-763
2017-05-31 10:20,0,-763

