time,strength,rel.price
2017-06-05 09:30,0,0
2017-06-05 10:15,0,-11
2017-06-05 10:45,0,15
2017-06-05 10:50,0,17
2017-06-05 10:55,0,4
2017-06-05 11:00,0,-31
2017-06-05 11:30,0,-18
2017-06-05 13:30,-77,103
2017-06-05 14:45,-46,153
2017-06-05 15:30,-46,204
2017-06-05 16:45,52,224
2017-06-05 18:30,52,401
2017-06-06 02:01,-81,150
2017-06-06 02:30,76,150
2017-06-06 03:00,38,150
2017-06-06 04:00,120,150
2017-06-06 04:30,25,150
2017-06-06 06:45,50,150
2017-06-06 07:30,55,150
2017-06-06 10:15,0,195
2017-06-06 10:45,0,158
2017-06-06 10:50,0,136
2017-06-06 10:55,0,106
2017-06-06 11:00,0,156
2017-06-06 11:10,0,115
2017-06-06 11:30,0,87
2017-06-06 12:00,-35,213
2017-06-06 12:35,25,139
2017-06-06 15:30,-35,85
2017-06-06 15:55,19,120
2017-06-06 16:00,19,141
2017-06-06 16:45,-5,194
2017-06-06 16:59,-290,24
2017-06-06 17:00,-290,24
2017-06-06 17:37,-36,80
2017-06-06 17:38,-36,80
2017-06-06 17:40,-36,80
2017-06-06 18:30,-4,103
2017-06-06 23:30,63,-15
2017-06-06 23:35,63,0
2017-06-07 01:45,-49,79
2017-06-07 02:30,-83,79
2017-06-07 02:50,-96,79
2017-06-07 03:00,-96,79
2017-06-07 04:30,-98,79
2017-06-07 08:00,-78,79
2017-06-07 09:00,-78,79
2017-06-07 10:00,26,81
2017-06-07 10:30,21,81
2017-06-07 11:00,4,6
2017-06-07 11:30,-235,-36
2017-06-07 12:00,54,-41
2017-06-07 15:30,13,92
2017-06-07 16:59,-265,87
2017-06-07 17:00,-265,87
2017-06-07 17:30,218,120
2017-06-07 17:37,50,149
2017-06-08 02:01,-46,635
2017-06-08 02:30,-411,635
2017-06-08 02:50,-2,635
2017-06-08 03:30,111,635
2017-06-08 04:30,23,635
2017-06-08 05:00,86,635
2017-06-08 05:30,59,635
2017-06-08 06:30,52,635
2017-06-08 07:05,-47,635
2017-06-08 08:30,-21,635
2017-06-08 08:45,-21,635
2017-06-08 09:00,-21,635
2017-06-08 09:45,-82,590
2017-06-08 10:00,-104,623
2017-06-08 10:15,310,667
2017-06-08 10:30,-16,650
2017-06-08 11:00,126,641
2017-06-08 11:16,-2,678
2017-06-08 12:00,-19,726
2017-06-08 12:30,103,708
2017-06-08 14:45,-111,491
2017-06-08 15:13,-137,491
2017-06-08 15:15,-79,491
2017-06-08 15:16,-76,491
2017-06-08 15:30,510,491
2017-06-08 16:30,70,503
2017-06-08 17:00,-446,387
2017-06-08 17:30,-147,325
2017-06-08 20:31,-174,418
2017-06-08 21:20,221,453
2017-06-09 01:30,232,-595
2017-06-09 02:50,305,-492
2017-06-09 03:45,255,-492
2017-06-09 04:30,252,-492
2017-06-09 05:00,252,-492
2017-06-09 05:30,347,-492
2017-06-09 07:30,142,-492
2017-06-09 08:00,213,-492
2017-06-09 09:30,373,-638
2017-06-09 09:45,-281,-644
2017-06-09 10:15,-163,-638
2017-06-09 11:00,238,-987
2017-06-09 11:30,347,-743
2017-06-09 12:01,-74,-684
2017-06-09 12:02,-99,-684
2017-06-09 12:03,-106,-684
2017-06-09 13:04,-594,-676
2017-06-09 14:48,5,-477
2017-06-09 15:00,-34,-462
2017-06-09 15:13,-92,-457
2017-06-09 15:15,-126,-457
2017-06-09 15:30,492,-392
2017-06-09 17:30,-151,-864
2017-06-09 22:30,-767,-1052
2017-06-10 04:30,111,-856
2017-06-10 07:30,22,-856
2017-06-10 09:45,185,-856
2017-06-10 11:30,220,-856
2017-06-10 15:30,50,-856
2017-06-12 00:45,117,-756
2017-06-12 01:45,117,-756
2017-06-12 01:50,129,-756
2017-06-12 02:50,129,-756
2017-06-12 07:30,129,-756
2017-06-12 08:00,-14,-756
2017-06-12 08:30,150,-756
2017-06-12 08:59,-94,-756
2017-06-12 09:00,-174,-756
2017-06-12 11:00,168,-756
2017-06-12 11:10,155,-756
2017-06-12 11:35,131,-797
2017-06-12 12:10,131,-852
2017-06-12 12:35,92,-926
2017-06-12 13:00,111,-941
2017-06-12 13:01,111,-929
2017-06-12 18:30,80,-1346
2017-06-12 20:01,0,-1305
2017-06-13 01:30,0,-1945
2017-06-13 02:00,0,-1945
2017-06-13 02:50,0,-1945
2017-06-13 04:30,-45,-1945
2017-06-13 04:50,110,-1945
2017-06-13 05:00,-185,-1945
2017-06-13 05:30,134,-1945
2017-06-13 08:30,-79,-1945
