time,strength,rel.price
2017-05-16 15:30,0,-29
2017-05-16 15:55,0,-6
2017-05-16 16:15,0,9
2017-05-16 16:30,91,-11
2017-05-16 17:00,0,-53
2017-05-16 17:45,0,-38
2017-05-16 17:52,0,-40
2017-05-16 18:30,0,-51
2017-05-16 23:30,0,-123
2017-05-16 23:35,0,-123
2017-05-17 01:45,0,-126
2017-05-17 02:50,0,-126
2017-05-17 03:30,0,-126
2017-05-17 04:30,0,-126
2017-05-17 07:30,0,-126
2017-05-17 11:00,0,-274
2017-05-17 11:30,266,-254
2017-05-17 12:00,5,-136
2017-05-17 12:30,226,-118
2017-05-17 12:35,0,-106
2017-05-17 13:14,134,-94
2017-05-17 15:30,157,-16
2017-05-17 16:00,-23,-56
2017-05-17 17:30,58,-163
2017-05-17 18:30,58,-291
2017-05-18 02:50,-10,-252
2017-05-18 04:00,-30,-252
2017-05-18 04:30,-27,-252
2017-05-18 08:30,-24,-252
2017-05-18 11:30,-23,-270
2017-05-18 11:50,-76,-263
2017-05-18 12:00,-406,-263
2017-05-18 12:30,-306,-263
2017-05-18 13:32,96,11
2017-05-18 13:33,96,11
2017-05-18 15:30,-43,-97
2017-05-18 16:45,-176,-96
2017-05-18 17:30,-174,-33
2017-05-19 01:45,95,-294
2017-05-19 11:30,-50,-294
2017-05-19 15:30,0,-294
2017-05-19 16:00,0,-294
2017-05-19 17:30,0,-294
2017-05-19 22:30,0,-294
2017-05-22 02:01,-33,-331
2017-05-22 02:50,-49,-331
2017-05-22 08:30,0,-331
2017-05-22 15:30,0,-591
2017-05-22 16:00,0,-522
2017-05-22 17:00,0,-550
2017-05-22 17:30,0,-571
2017-05-22 18:30,0,-459
2017-05-22 20:30,0,-449
2017-05-23 02:50,0,-430
2017-05-23 03:30,0,-434
2017-05-23 07:30,0,-436
2017-05-23 09:45,-129,-436
2017-05-23 10:00,-125,-436
2017-05-23 10:15,-134,-436
2017-05-23 10:30,-19,-436
2017-05-23 10:55,-224,-492
2017-05-23 11:00,-224,-499
2017-05-23 11:30,200,-526
2017-05-23 12:35,-482,-582
2017-05-23 13:00,-470,-575
2017-05-23 15:30,152,-616
2017-05-23 15:55,-27,-579
2017-05-23 16:45,190,-613
2017-05-23 16:59,182,-583
2017-05-23 17:00,190,-583
2017-05-23 17:30,236,-554
2017-05-23 18:30,171,-550
2017-05-23 23:30,-64,-410
2017-05-23 23:35,-64,-402
2017-05-24 01:45,85,-438
2017-05-24 02:00,71,-415
2017-05-24 03:30,71,-458
2017-05-24 04:30,54,-440
2017-05-24 07:30,64,-440
2017-05-24 10:00,23,-440
2017-05-24 10:15,-10,-440
2017-05-24 10:30,74,-440
2017-05-24 11:00,26,-440
2017-05-24 11:30,-9,-440
2017-05-24 12:35,7,-440
2017-05-24 12:40,7,-440
2017-05-24 13:00,7,-440
2017-05-24 15:30,-11,-440
2017-05-24 15:58,-11,-440
2017-05-24 16:00,34,-440
2017-05-24 16:03,0,-440
2017-05-24 16:45,0,-440
2017-05-24 16:59,0,-440
2017-05-24 17:00,0,-440
2017-05-24 17:30,0,-440
2017-05-25 01:45,0,-550
2017-05-25 02:50,0,-546
2017-05-25 04:30,0,-554
2017-05-25 11:00,0,-554
2017-05-25 11:30,0,-554
2017-05-25 12:35,201,-554
2017-05-25 15:30,32,-554
2017-05-25 15:58,40,-554
2017-05-25 16:00,40,-554
2017-05-25 16:03,40,-554
2017-05-25 17:00,141,-554
2017-05-25 17:30,188,-554
2017-05-26 02:30,91,-697
2017-05-26 02:50,91,-697
2017-05-26 11:30,-15,-952
2017-05-26 15:30,-31,-1082
2017-05-26 17:30,-31,-1030
2017-05-26 22:30,-25,-1147
2017-05-27 02:30,-110,-1092
2017-05-27 02:50,-136,-1092
2017-05-27 15:30,-27,-1092
2017-05-29 08:30,-5,-1092
2017-05-29 10:15,149,-998
2017-05-29 11:00,-27,-1022
2017-05-29 12:10,117,-1002
2017-05-30 01:45,16,-841
2017-05-30 02:30,0,-841
2017-05-30 02:50,0,-841
2017-05-30 04:30,0,-841
2017-05-30 09:00,0,-841
2017-05-30 09:45,0,-841
2017-05-30 10:00,166,-841
2017-05-30 11:30,133,-784
2017-05-30 12:00,206,-742
2017-05-30 12:16,-271,-790
2017-05-30 12:30,-271,-796
2017-05-30 12:47,-268,-819
2017-05-30 15:30,7,-752
2017-05-30 16:00,66,-833
2017-05-30 17:00,66,-783
2017-05-30 17:30,66,-783
2017-05-31 00:00,34,-783
2017-05-31 02:01,15,-783
2017-05-31 02:30,99,-783
2017-05-31 02:50,-557,-783
2017-05-31 04:30,-197,-783
2017-05-31 09:00,-113,-783
2017-05-31 09:45,-107,-783
2017-05-31 10:00,-107,-783
2017-05-31 10:55,67,-783
2017-05-31 11:00,67,-783
2017-05-31 11:30,-192,-783
2017-05-31 12:00,-459,-783
2017-05-30 16:31,0,-783

