time,strength,rel.price
2017-06-08 12:00,0,0
2017-06-08 12:30,0,51
2017-06-08 14:45,0,42
2017-06-08 15:13,0,42
2017-06-08 15:15,0,42
2017-06-08 15:16,0,42
2017-06-08 15:30,0,42
2017-06-08 16:30,0,86
2017-06-08 17:30,0,-91
2017-06-08 20:31,0,-8
2017-06-08 21:20,0,51
2017-06-08 22:00,0,34
2017-06-09 01:30,34,-1037
2017-06-09 02:50,9,-938
2017-06-09 03:00,118,-938
2017-06-09 03:45,264,-938
2017-06-09 04:30,-62,-938
2017-06-09 05:00,31,-938
2017-06-09 05:30,32,-938
2017-06-09 07:30,152,-938
2017-06-09 08:00,640,-938
2017-06-09 09:00,85,-638
2017-06-09 09:30,-126,-879
2017-06-09 09:45,-119,-853
2017-06-09 10:15,-112,-850
2017-06-09 11:00,329,-1055
2017-06-09 11:30,344,-819
2017-06-09 12:01,390,-844
2017-06-09 12:02,390,-844
2017-06-09 12:03,390,-844
2017-06-09 13:04,130,-762
2017-06-09 14:48,482,-605
2017-06-09 15:00,473,-607
2017-06-09 15:13,555,-600
2017-06-09 15:15,509,-600
2017-06-09 15:30,459,-556
2017-06-09 17:30,299,-522
2017-06-09 22:30,-275,-816
2017-06-10 04:30,371,-802
2017-06-10 07:30,230,-802
2017-06-10 09:45,226,-802
2017-06-10 11:30,100,-802
2017-06-10 15:30,62,-802
2017-06-12 00:45,60,-715
2017-06-12 01:45,60,-715
2017-06-12 01:50,127,-715
2017-06-12 02:50,119,-715
2017-06-12 07:30,211,-715
2017-06-12 08:30,-52,-715
2017-06-12 08:59,-25,-715
2017-06-12 09:00,-90,-715
2017-06-12 11:00,105,-715
2017-06-12 11:10,117,-715
2017-06-12 11:35,129,-703
2017-06-12 12:10,68,-789
2017-06-12 12:35,-47,-901
2017-06-12 13:00,9,-936
2017-06-12 13:01,9,-907
2017-06-12 18:30,-61,-1269
2017-06-12 20:01,28,-1365
2017-06-13 01:30,58,-1264
2017-06-13 02:00,27,-1264
2017-06-13 02:50,-142,-1264
2017-06-13 04:30,182,-1264
2017-06-13 04:50,496,-1264
2017-06-13 05:00,186,-1264
2017-06-13 05:30,341,-1264
2017-06-13 08:30,-18,-1264
2017-06-13 08:55,46,-1264
2017-06-13 10:00,229,-1264
2017-06-13 11:30,153,-1264
2017-06-13 11:50,58,-1264
2017-06-13 12:00,-12,-1264
2017-06-13 12:30,-137,-911
2017-06-13 12:38,135,-917
2017-06-13 12:57,135,-965
2017-06-13 13:00,138,-965
2017-06-13 15:30,-322,-891
2017-06-13 15:55,29,-871
2017-06-13 18:30,-17,-895
2017-06-13 18:45,-23,-882
2017-06-13 20:01,-54,-809
2017-06-13 23:35,-30,-795
2017-06-14 01:45,-31,-788
2017-06-14 03:30,-31,-788
2017-06-14 07:30,78,-788
2017-06-14 08:30,12,-788
2017-06-14 09:00,-130,-788
2017-06-14 11:30,-63,-611
2017-06-14 12:00,-34,-574
2017-06-14 12:35,-130,-699
2017-06-14 12:57,260,-663
2017-06-14 15:30,279,-663
2017-06-14 16:30,-54,-663
2017-06-14 17:00,-290,-663
2017-06-14 17:30,-319,-663
2017-06-14 18:00,-322,-663
2017-06-14 20:01,-27,-663
2017-06-14 21:00,-27,-663
2017-06-14 21:30,-33,-663
2017-06-15 01:45,-128,-1008
2017-06-15 02:50,-240,-1008
2017-06-15 04:30,33,-1008
2017-06-15 07:30,15,-1008
2017-06-15 09:45,3,-1008
2017-06-15 10:15,3,-1008
2017-06-15 10:30,3,-1008
2017-06-15 11:00,45,-1009
2017-06-15 11:30,102,-1009
2017-06-15 11:49,26,-1009
2017-06-15 11:50,419,-1009
