time,strength,rel.price
2017-06-08 16:30,0,0
2017-06-08 17:30,0,-196
2017-06-08 20:31,0,-85
2017-06-08 21:20,0,-41
2017-06-08 23:00,0,-48
2017-06-09 01:30,0,-1043
2017-06-09 02:50,0,-939
2017-06-09 03:00,0,-939
2017-06-09 03:45,0,-939
2017-06-09 04:30,0,-939
2017-06-09 05:00,0,-939
2017-06-09 05:30,0,-939
2017-06-09 07:30,21,-939
2017-06-09 08:00,96,-939
2017-06-09 09:00,31,-965
2017-06-09 09:30,31,-1208
2017-06-09 09:45,-35,-1227
2017-06-09 10:15,-36,-1216
2017-06-09 11:00,122,-1603
2017-06-09 11:30,120,-1339
2017-06-09 12:01,140,-1315
2017-06-09 12:02,140,-1315
2017-06-09 12:03,140,-1315
2017-06-09 13:04,-185,-1171
2017-06-09 14:48,176,-971
2017-06-09 15:00,164,-962
2017-06-09 15:13,220,-957
2017-06-09 15:15,186,-957
2017-06-09 15:30,171,-914
2017-06-09 17:00,143,-1075
2017-06-09 17:30,77,-994
2017-06-09 22:30,-45,-1292
2017-06-10 04:30,247,-1137
2017-06-10 07:30,140,-1137
2017-06-10 09:45,136,-1137
2017-06-10 11:30,118,-1137
2017-06-10 15:30,62,-1137
2017-06-12 00:45,392,-1123
2017-06-12 01:45,33,-1123
2017-06-12 01:50,257,-1123
2017-06-12 02:50,74,-1123
2017-06-12 07:30,316,-1123
2017-06-12 08:00,75,-1123
2017-06-12 08:30,256,-1123
2017-06-12 08:59,207,-1123
2017-06-12 09:00,111,-1123
2017-06-12 11:00,26,-1123
2017-06-12 11:10,-32,-1123
2017-06-12 11:35,-83,-771
2017-06-12 12:10,-83,-884
2017-06-12 12:35,-57,-941
2017-06-12 13:00,-57,-938
2017-06-12 13:01,-57,-949
2017-06-12 18:30,-10,-1418
2017-06-12 20:01,-10,-1524
2017-06-13 01:30,89,-1466
2017-06-13 02:00,89,-1466
2017-06-13 02:50,89,-1466
2017-06-13 04:30,86,-1466
2017-06-13 04:50,327,-1466
2017-06-13 05:00,-6,-1466
2017-06-13 05:30,231,-1466
2017-06-13 08:30,59,-1466
2017-06-13 08:55,79,-1466
2017-06-13 10:00,233,-1466
2017-06-13 11:30,223,-1466
2017-06-13 11:50,104,-1466
2017-06-13 12:00,29,-1466
2017-06-13 12:30,-105,-1362
2017-06-13 12:38,161,-1353
2017-06-13 12:57,163,-1399
2017-06-13 13:00,163,-1399
2017-06-13 15:30,-172,-1267
2017-06-13 15:55,232,-1249
2017-06-13 18:30,-22,-1261
2017-06-13 18:45,-35,-1287
2017-06-13 20:01,-68,-1237
2017-06-13 23:35,-30,-1166
2017-06-14 01:45,90,-1139
2017-06-14 03:30,-17,-1139
2017-06-14 07:30,-84,-1139
2017-06-14 08:30,-82,-1139
2017-06-14 09:00,-76,-1139
2017-06-14 11:30,-95,-1100
2017-06-14 12:00,251,-1118
2017-06-14 12:35,75,-1374
2017-06-14 12:57,77,-1309
2017-06-14 15:30,166,-1309
2017-06-14 16:30,150,-1309
2017-06-14 17:00,-52,-1309
2017-06-14 17:30,-89,-1309
2017-06-14 18:00,-166,-1309
2017-06-14 20:01,-56,-1309
