time,strength,rel.price
2017-05-15 18:30,58,-27
2017-05-16 04:30,120,-75
2017-05-16 07:30,-133,-75
2017-05-16 09:45,-130,-75
2017-05-16 11:00,-3,22
2017-05-16 11:30,45,49
2017-05-16 11:50,-281,46
2017-05-16 12:00,-491,52
2017-05-16 12:29,-372,73
2017-05-16 12:30,-368,73
2017-05-16 12:50,-331,60
2017-05-16 15:30,-193,-106
2017-05-16 15:55,342,-163
2017-05-16 16:15,412,-142
2017-05-16 16:30,330,-155
2017-05-16 17:00,627,-84
2017-05-16 17:45,-469,-62
2017-05-16 17:52,-376,-73
2017-05-16 18:30,-522,-75
2017-05-16 23:30,380,14
2017-05-16 23:35,345,7
2017-05-17 01:45,123,6
2017-05-17 02:50,132,6
2017-05-17 03:30,133,6
2017-05-17 04:30,-16,6
2017-05-17 07:30,76,6
2017-05-17 11:00,29,0
2017-05-17 11:30,84,-21
2017-05-17 12:00,-297,43
2017-05-17 12:30,-3,62
2017-05-17 12:35,-203,62
2017-05-17 13:14,71,108
2017-05-17 15:30,213,190
2017-05-17 16:00,52,170
2017-05-17 17:30,189,194
2017-05-17 18:30,72,236
2017-05-18 02:50,11,221
2017-05-18 04:30,-90,221
2017-05-18 08:30,-26,221
2017-05-18 11:30,-48,191
2017-05-18 11:50,144,192
2017-05-18 12:00,-237,192
2017-05-18 12:30,-53,192
2017-05-18 13:32,250,470
2017-05-18 13:33,250,470
2017-05-18 15:30,49,443
2017-05-18 16:45,-319,388
2017-05-18 17:30,-213,442
2017-05-19 01:45,81,70
2017-05-19 11:30,-130,70
2017-05-19 15:30,11,70
2017-05-19 16:00,20,70
2017-05-19 17:30,-1,70
2017-05-19 22:30,-32,70
2017-05-22 02:01,-83,469
2017-05-22 02:50,-101,469
2017-05-22 08:30,-34,469
2017-05-22 15:30,-57,341
2017-05-22 17:00,-2,388
2017-05-22 17:30,-133,349
2017-05-22 18:30,-2,438
2017-05-22 20:30,52,428
2017-05-23 02:50,-65,330
2017-05-23 03:30,-58,324
2017-05-23 07:30,-81,325
2017-05-23 09:45,-91,325
2017-05-23 10:00,-91,325
2017-05-23 10:15,-82,325
2017-05-23 10:30,-82,325
2017-05-23 10:55,-82,219
2017-05-23 11:00,-82,221
2017-05-23 11:30,-82,269
2017-05-23 12:35,-310,270
2017-05-23 13:00,-309,277
2017-05-23 15:30,-88,217
2017-05-23 15:55,-224,229
2017-05-23 16:45,-88,208
2017-05-23 16:59,715,242
2017-05-23 17:00,221,242
2017-05-23 17:30,739,293
2017-05-23 18:30,205,228
2017-05-23 23:30,-121,192
2017-05-23 23:35,-124,198
2017-05-24 01:45,-332,167
2017-05-24 02:00,-305,183
2017-05-24 03:30,-66,168
2017-05-24 04:30,-6,153
2017-05-24 07:30,18,153
2017-05-24 10:00,-53,153
2017-05-24 10:15,-49,153
2017-05-24 10:30,-40,153
2017-05-24 11:00,-84,153
2017-05-24 11:30,-84,153
2017-05-24 12:35,-58,153
2017-05-24 12:40,-58,153
2017-05-24 13:00,-58,153
2017-05-24 15:30,-58,153
2017-05-24 15:58,114,153
2017-05-24 16:00,120,153
2017-05-24 16:03,-321,153
2017-05-24 16:45,-22,153
2017-05-24 16:59,-17,153
2017-05-24 17:00,-17,153
2017-05-24 17:30,-276,153
2017-05-25 01:45,-65,205
2017-05-25 02:50,-63,220
2017-05-25 04:30,-78,234
2017-05-25 11:00,-130,234
2017-05-25 11:30,-120,234
2017-05-25 12:35,97,234
2017-05-25 15:30,-110,234
2017-05-25 15:58,-36,234
2017-05-25 16:00,65,234
2017-05-25 16:03,65,234
2017-05-25 17:30,410,234
2017-05-25 18:00,94,234
2017-05-26 02:30,59,83
2017-05-26 02:50,69,83
2017-05-26 11:30,2,-157
2017-05-26 15:30,-57,-259
2017-05-26 17:30,213,-378
2017-05-26 22:30,-288,-469
2017-05-27 02:30,-137,-419
2017-05-27 02:50,-203,-419
2017-05-27 15:30,-72,-419
2017-05-29 08:30,25,-419
2017-05-29 10:15,5,-345
2017-05-29 11:00,11,-355
2017-05-29 12:10,99,-321
2017-05-30 00:00,-37,-317
2017-05-30 01:45,-46,-317
2017-05-30 02:30,-46,-317
2017-05-30 02:50,-46,-317
2017-05-30 04:30,-46,-317
2017-05-30 09:00,-46,-317
2017-05-30 09:45,-42,-317
2017-05-30 10:00,-42,-317
2017-05-30 15:30,-40,-317
2017-05-30 16:00,-34,-317
2017-05-29 18:45,0,-317

