time,strength,rel.price
2017-05-29 16:00,0,0
2017-05-30 00:00,0,-122
2017-05-30 01:45,0,-159
2017-05-30 02:30,-97,-159
2017-05-30 02:50,-95,-159
2017-05-30 04:30,-52,-159
2017-05-30 08:00,-37,-159
2017-05-30 09:00,-37,-159
2017-05-30 09:45,-37,-159
2017-05-30 10:00,-30,-159
2017-05-30 11:00,-30,-80
2017-05-30 11:30,-30,-66
2017-05-30 12:00,-30,-106
2017-05-30 12:16,-30,-67
2017-05-30 12:30,-30,-80
2017-05-30 12:47,-30,-94
2017-05-30 15:00,0,-74
2017-05-30 15:30,0,-35
2017-05-30 16:00,60,-25
2017-05-30 17:00,-225,9
2017-05-30 17:30,-193,83
2017-05-30 18:30,205,50
2017-05-31 00:00,-130,77
2017-05-31 01:01,-128,95
2017-05-31 01:50,-126,95
2017-05-31 02:01,-126,95
2017-05-31 02:30,-118,95
2017-05-31 02:50,-118,95
2017-05-31 03:00,-229,95
2017-05-31 03:30,442,95
2017-05-31 04:00,-53,95
2017-05-31 04:30,407,95
2017-05-31 08:00,71,95
2017-05-31 08:45,56,95
2017-05-31 09:00,56,95
2017-05-31 09:45,12,95
2017-05-31 10:00,0,95
2017-05-31 10:30,0,37
2017-05-31 10:55,0,46
2017-05-31 11:00,0,29
2017-05-31 11:12,0,71
2017-05-31 11:30,0,83
2017-05-31 12:00,0,57
2017-05-31 12:12,0,34
2017-05-31 12:16,0,43
2017-05-31 13:05,0,63
2017-05-31 14:00,0,121
2017-05-31 14:30,20,151
2017-05-31 14:55,404,125
2017-05-31 15:30,241,149
2017-05-31 15:45,56,156
2017-05-31 15:55,430,118
2017-05-31 16:00,-121,125
2017-05-31 16:30,439,120
2017-05-31 16:45,-78,111
2017-05-31 17:00,-80,118
2017-05-31 17:30,409,186
2017-05-31 23:30,-117,195
2017-06-01 01:45,132,110
2017-06-01 02:01,40,114
2017-06-01 02:30,-304,107
2017-06-01 02:50,398,107
2017-06-01 03:30,223,107
2017-06-01 04:00,-299,107
2017-06-01 04:30,-179,107
2017-06-01 06:45,59,107
2017-06-01 08:45,-204,107
2017-06-01 09:00,-204,107
2017-06-01 09:30,-198,107
2017-06-01 09:45,-196,107
2017-06-01 10:15,16,107
2017-06-01 10:30,16,107
2017-06-01 10:45,16,107
2017-06-01 10:50,16,107
2017-06-01 10:55,16,107
2017-06-01 11:00,16,107
2017-06-01 11:30,-68,55
2017-06-01 11:50,-22,43
2017-06-01 11:59,-20,32
2017-06-01 12:00,-68,32
2017-06-01 12:30,53,23
2017-06-01 12:32,53,23
2017-06-01 12:34,53,23
2017-06-01 12:35,60,23
2017-06-01 12:40,-18,21
2017-06-01 13:25,51,33
2017-06-01 14:30,45,62
2017-06-01 15:15,36,72
2017-06-01 15:30,36,78
2017-06-01 16:30,691,15
2017-06-01 16:45,568,25
2017-06-01 17:00,346,11
2017-06-01 17:30,255,-2
2017-06-01 18:00,-26,1
2017-06-01 22:30,-70,38
2017-06-02 00:00,23,71
2017-06-02 01:02,41,74
2017-06-02 02:30,41,74
2017-06-02 02:50,41,74
2017-06-02 04:30,41,74
2017-06-02 08:45,-97,74
2017-06-02 09:00,-97,74
2017-06-02 10:15,-97,74
2017-06-02 10:30,-97,74
2017-06-02 10:45,-97,74
2017-06-02 11:30,-97,196
2017-06-02 11:59,-97,219
2017-06-02 12:00,-97,219
2017-06-02 12:34,-97,232
2017-06-02 15:15,-97,218
2017-06-02 15:30,31,215
2017-06-02 16:45,101,336
2017-06-02 17:00,183,375
2017-06-02 17:30,118,383
2017-06-02 18:00,244,443
2017-06-02 22:30,-11,424
2017-06-03 10:00,-62,427
2017-06-03 11:30,-51,427
2017-06-03 12:00,-48,427
2017-06-03 15:30,-43,427
2017-06-05 02:30,0,427
2017-06-05 03:30,0,427
2017-06-05 04:00,0,427
2017-06-05 04:30,0,427
2017-06-05 06:30,0,427
2017-06-05 08:30,0,427
2017-06-05 09:30,-10,258
2017-06-05 10:15,27,255
2017-06-05 10:45,-6,290
2017-06-05 10:50,-6,280
2017-06-05 10:55,-6,311
2017-06-05 11:00,-6,302
2017-06-05 11:30,-6,282
2017-06-05 13:30,0,324
2017-06-05 14:45,0,297
2017-06-05 15:00,0,317
2017-06-05 15:30,0,339
2017-06-05 16:45,0,354
2017-06-05 17:00,0,361
2017-06-05 18:30,0,391
2017-06-06 02:01,0,340
2017-06-06 02:30,0,340
2017-06-06 03:00,0,340
2017-06-06 04:00,0,340
2017-06-06 04:30,128,340
2017-06-06 06:45,27,340
2017-06-06 07:30,0,340
2017-06-06 10:15,21,425
2017-06-06 10:45,15,436
2017-06-06 10:50,15,444
2017-06-06 10:55,15,444
2017-06-06 11:00,15,446
2017-06-06 11:10,15,450
2017-06-06 11:30,15,458
2017-06-06 12:00,15,467
2017-06-06 12:35,30,490
2017-06-06 15:30,30,543
2017-06-06 15:55,0,540
2017-06-06 16:00,0,526
2017-06-06 16:45,-51,573
2017-06-06 16:59,-206,607
2017-06-06 17:00,-206,607
2017-06-06 17:37,288,603
2017-06-06 17:38,270,603
2017-06-06 17:40,253,603
2017-06-06 18:30,-116,619
2017-06-06 23:30,116,526
2017-06-06 23:35,116,543
2017-06-07 01:45,127,511
2017-06-07 02:30,10,511
2017-06-07 02:50,-107,511
2017-06-07 03:00,-107,511
2017-06-07 04:30,-5,511
2017-06-07 08:00,-20,511
2017-06-07 09:00,-20,511
2017-06-07 10:00,43,516
2017-06-07 10:30,43,513
2017-06-07 11:00,43,552
2017-06-07 11:30,43,566
2017-06-07 12:00,43,528
2017-06-07 15:30,0,617
2017-06-07 16:59,-450,595
2017-06-07 17:00,-450,595
2017-06-07 17:30,43,546
2017-06-07 17:37,146,555
2017-06-08 02:01,0,766
2017-06-08 02:30,0,766
2017-06-08 02:50,0,766
2017-06-08 03:30,0,766
2017-06-08 04:30,0,766
2017-06-08 05:00,0,766
2017-06-08 05:30,0,766
2017-06-08 06:30,0,766
2017-06-08 07:05,0,766
2017-06-08 08:00,0,766
2017-06-08 08:30,0,766
2017-06-08 08:45,0,766
2017-06-08 09:00,0,766
2017-06-08 09:45,0,787
2017-06-08 10:00,-23,806
2017-06-08 10:15,53,817
2017-06-08 10:30,-36,804
2017-06-08 11:00,-10,792
2017-06-08 11:16,-4,802
2017-06-08 12:00,-67,837
2017-06-08 12:30,25,841
2017-06-08 14:45,-43,790
2017-06-08 15:13,-112,790
2017-06-08 15:15,-78,790
2017-06-08 15:16,-43,790
2017-06-08 15:30,499,790
2017-06-08 16:30,-97,833
2017-06-08 17:00,-372,875
2017-06-08 17:30,-9,842
2017-06-08 20:31,-90,829
2017-06-08 21:20,129,827
2017-06-08 23:00,137,854
2017-06-09 01:30,81,768
2017-06-09 02:50,169,781
2017-06-09 03:00,169,781
2017-06-09 03:45,132,781
