time,strength,rel.price
2017-05-22 15:30,0,-43
2017-05-22 16:00,0,-6
2017-05-22 17:00,0,-17
2017-05-22 17:30,0,-44
2017-05-22 18:30,0,42
2017-05-22 20:30,0,39
2017-05-23 02:50,0,161
2017-05-23 03:30,0,165
2017-05-23 07:30,0,170
2017-05-23 09:00,-72,170
2017-05-23 09:45,-24,170
2017-05-23 10:00,-20,170
2017-05-23 10:15,-43,170
2017-05-23 10:30,77,170
2017-05-23 10:55,-102,291
2017-05-23 11:00,-102,293
2017-05-23 11:30,67,253
2017-05-23 12:35,-124,223
2017-05-23 13:00,-126,217
2017-05-23 15:30,46,278
2017-05-23 15:55,46,288
2017-05-23 16:45,48,301
2017-05-23 16:59,48,297
2017-05-23 17:30,116,291
2017-05-23 18:30,116,288
2017-05-23 23:30,-69,258
2017-05-23 23:35,-69,249
2017-05-24 01:45,116,286
2017-05-24 02:00,-224,286
2017-05-24 03:30,90,286
2017-05-24 04:30,273,281
2017-05-24 07:30,-52,281
2017-05-24 08:00,-52,281
2017-05-24 09:00,-52,281
2017-05-24 10:00,49,281
2017-05-24 10:15,12,281
2017-05-24 10:30,125,281
2017-05-24 11:00,46,281
2017-05-24 11:30,33,281
2017-05-24 12:35,59,281
2017-05-24 12:40,58,281
2017-05-24 13:00,97,281
2017-05-24 15:30,-89,281
2017-05-24 15:58,-89,281
2017-05-24 16:00,-89,281
2017-05-24 16:03,-89,281
2017-05-24 16:45,-86,281
2017-05-24 16:59,-66,281
2017-05-24 17:00,-66,281
2017-05-24 17:30,-66,281
2017-05-25 01:45,-21,341
2017-05-25 02:50,-19,338
2017-05-25 04:30,87,318
2017-05-25 11:00,-20,318
2017-05-25 11:30,-20,318
2017-05-25 12:35,-10,318
2017-05-25 15:30,0,318
2017-05-25 15:58,0,318
2017-05-25 16:00,0,318
2017-05-25 16:03,0,318
2017-05-25 17:30,-15,318
2017-05-25 18:00,-30,318
2017-05-26 02:30,0,221
2017-05-26 02:50,0,221
2017-05-26 11:30,0,293
2017-05-26 15:30,0,368
2017-05-26 17:30,0,440
2017-05-26 22:30,-4,442
2017-05-27 02:30,-143,483
2017-05-27 02:50,0,483
2017-05-27 15:30,0,483
2017-05-29 08:30,0,483
2017-05-29 10:15,-15,467
2017-05-29 11:00,-132,456
2017-05-29 12:10,164,450
2017-05-29 16:00,88,506
2017-05-30 01:45,26,488
2017-05-30 02:30,-74,488
2017-05-30 02:50,-87,488
2017-05-30 04:30,-88,488
2017-05-30 09:00,-63,488
2017-05-30 09:45,-63,488
2017-05-30 10:00,-50,488
2017-05-30 11:00,-501,573
2017-05-30 11:30,13,577
2017-05-30 12:00,135,539
2017-05-30 12:16,-302,511
2017-05-30 12:30,-302,498
2017-05-30 12:47,-302,482
2017-05-30 15:30,55,541
2017-05-30 16:00,66,518
2017-05-30 17:30,66,533
2017-05-30 18:30,108,517
2017-05-31 01:01,35,572
2017-05-31 01:50,35,572
2017-05-31 02:01,35,572
2017-05-31 02:30,-107,572
2017-05-31 02:50,-107,572
2017-05-31 03:30,171,572
2017-05-31 04:00,-100,572
2017-05-31 04:30,239,572
2017-05-31 08:00,12,572
2017-05-31 08:45,0,572
2017-05-31 09:00,94,572
2017-05-31 09:45,-52,572
2017-05-31 10:00,-9,572
2017-05-31 10:30,166,564
2017-05-31 10:55,23,580
2017-05-31 11:12,24,610
2017-05-31 11:30,-164,619
2017-05-31 12:00,-160,585
2017-05-31 12:12,-4,569
2017-05-31 12:16,-4,579
2017-05-31 13:05,-60,577
2017-05-31 14:30,93,584
2017-05-31 14:55,30,546
2017-05-31 15:30,0,526
2017-05-31 15:45,0,514
2017-05-31 15:55,0,485
2017-05-31 16:30,-76,519
2017-05-31 16:45,-76,531
2017-05-31 17:30,-76,531
2017-05-31 23:30,-70,377
2017-06-01 01:45,-77,333
2017-06-01 02:01,-273,322
2017-06-01 02:30,-637,321
2017-06-01 02:50,226,321
2017-06-01 03:30,296,321
2017-06-01 04:30,-58,321
2017-06-01 06:45,82,321
2017-06-01 08:00,-74,321
2017-06-01 08:45,-72,321
2017-06-01 09:00,-301,321
2017-06-01 09:30,-130,321
2017-06-01 09:45,-175,321
2017-06-01 10:15,-63,321
2017-06-01 10:30,158,321
2017-06-01 10:45,-276,321
2017-06-01 10:50,144,321
2017-06-01 10:55,-116,321
2017-06-01 11:00,-240,321
2017-06-01 11:30,58,348
2017-06-01 11:50,-2,354
2017-06-01 11:59,-2,350
2017-06-01 12:00,-2,350
2017-06-01 12:30,-70,359
2017-06-01 12:32,-70,356
2017-06-01 12:34,-70,356
2017-06-01 12:35,-117,356
2017-06-01 12:40,-117,373
2017-06-01 13:25,267,381
2017-06-01 14:30,52,335
2017-06-01 15:15,142,343
2017-06-01 15:30,139,358
2017-06-01 16:30,83,348
2017-06-01 16:45,83,367
2017-06-01 17:00,83,337
2017-06-01 17:30,-88,324
2017-06-01 18:00,-88,317
2017-06-01 22:30,-26,362
2017-06-01 23:00,-71,361
2017-06-02 01:02,-114,343
2017-06-02 02:30,8,343
2017-06-02 02:50,-41,343
2017-06-02 04:00,-52,343
2017-06-02 04:30,-57,343
2017-06-02 08:00,-57,343
2017-06-02 08:45,-57,343
2017-06-02 09:00,-72,343
2017-06-02 10:00,-49,343
2017-06-02 10:15,-72,343
2017-06-02 10:30,-122,343
2017-06-02 10:45,-113,343
2017-06-02 11:30,-113,396
2017-06-02 11:59,-113,434
2017-06-02 12:00,-113,434
2017-06-02 12:34,-127,411
2017-06-02 15:15,-127,430
2017-06-02 15:30,-127,442
2017-06-02 16:45,0,440
2017-06-02 17:00,0,450
2017-06-02 17:30,0,437
2017-06-02 18:00,0,411
2017-06-02 22:30,0,443
2017-06-03 10:00,0,421
2017-06-03 11:30,12,421
2017-06-03 12:00,12,421
2017-06-03 15:30,0,421
2017-06-05 02:30,0,421
2017-06-05 03:30,0,421
2017-06-05 04:00,0,421
2017-06-05 04:30,0,421
2017-06-05 06:30,0,421
2017-06-05 08:30,-61,421
2017-06-05 09:30,-55,370
2017-06-05 10:15,0,377
2017-06-05 10:45,-12,378
2017-06-05 10:50,-12,366
2017-06-05 10:55,-12,398
2017-06-05 11:00,-12,399
2017-06-05 11:30,-12,393
2017-06-05 13:30,0,430
2017-06-05 14:45,0,430
2017-06-05 15:00,0,445
2017-06-05 15:30,0,447
2017-06-05 16:45,0,437
2017-06-06 02:01,0,437
2017-06-06 03:00,0,437
2017-06-06 04:30,0,437
2017-06-06 11:30,0,437
2017-06-06 12:00,0,437
2017-06-07 09:00,0,437
2017-06-07 10:30,0,437
2017-06-07 11:00,0,437
2017-06-07 11:30,0,437
2017-06-05 15:48,0,437

