time,strength,rel.price
2017-05-17 11:00,150,-69
2017-05-17 11:30,150,-123
2017-05-17 12:00,150,-150
2017-05-17 12:30,150,-123
2017-05-17 12:35,150,-137
2017-05-17 13:14,150,-174
2017-05-17 15:30,150,-145
2017-05-17 16:00,150,-153
2017-05-17 17:30,150,-398
2017-05-17 18:30,150,-295
2017-05-18 02:50,165,-390
2017-05-18 04:00,-77,-390
2017-05-18 04:30,125,-390
2017-05-18 08:30,192,-390
2017-05-18 11:30,127,-328
2017-05-18 11:50,68,-345
2017-05-18 12:00,68,-345
2017-05-18 12:30,68,-345
2017-05-18 13:32,68,-517
2017-05-18 13:33,68,-517
2017-05-18 15:30,275,-459
2017-05-18 16:45,270,-463
2017-05-18 17:30,270,-450
2017-05-19 01:45,357,-402
2017-05-19 06:00,294,-402
2017-05-19 09:00,231,-402
2017-05-19 11:00,280,-402
2017-05-19 11:30,279,-402
2017-05-19 15:30,150,-402
2017-05-19 16:00,150,-402
2017-05-19 17:00,90,-402
2017-05-19 17:30,150,-402
2017-05-19 22:30,170,-402
2017-05-22 02:01,150,-342
2017-05-22 02:50,34,-342
2017-05-22 08:30,242,-342
2017-05-22 15:30,8,-85
2017-05-22 16:00,-4,-69
2017-05-22 17:00,17,-89
2017-05-22 17:30,3,-103
2017-05-22 18:30,41,-83
2017-05-22 20:30,150,-79
2017-05-23 02:50,203,-35
2017-05-23 03:30,-23,-33
2017-05-23 07:30,90,-58
2017-05-23 09:45,41,-58
2017-05-23 10:00,52,-58
2017-05-23 10:15,52,-58
2017-05-23 10:30,52,-58
2017-05-23 10:55,78,36
2017-05-23 11:00,164,57
2017-05-23 11:30,184,109
2017-05-23 12:35,122,146
2017-05-23 13:00,62,113
2017-05-23 15:30,184,191
2017-05-23 15:55,31,173
2017-05-23 16:45,31,188
2017-05-23 16:59,31,185
2017-05-23 17:00,31,185
2017-05-23 17:30,31,172
2017-05-23 18:30,31,134
2017-05-23 23:30,28,194
2017-05-23 23:35,113,186
2017-05-24 01:45,-30,208
2017-05-24 03:30,198,230
2017-05-24 04:30,298,246
2017-05-24 07:30,-52,246
2017-05-24 08:00,-6,246
2017-05-24 10:00,23,246
2017-05-24 10:15,156,246
2017-05-24 10:30,156,246
2017-05-24 11:00,174,246
2017-05-24 11:30,164,246
2017-05-24 12:35,190,246
2017-05-24 12:40,244,246
2017-05-24 13:00,244,246
2017-05-24 15:30,24,246
2017-05-24 15:58,24,246
2017-05-24 16:00,24,246
2017-05-24 16:03,24,246
2017-05-24 16:45,122,246
2017-05-24 16:59,122,246
2017-05-24 17:00,122,246
2017-05-24 17:30,122,246
2017-05-25 01:45,275,291
2017-05-25 02:50,-29,306
2017-05-25 04:30,290,295
2017-05-25 11:00,131,295
2017-05-25 11:30,131,295
2017-05-25 12:35,85,295
2017-05-25 15:30,90,295
2017-05-25 15:58,150,295
2017-05-25 16:00,150,295
2017-05-25 16:03,150,295
2017-05-25 17:00,34,295
2017-05-25 17:30,32,295
2017-05-26 02:30,266,243
2017-05-26 02:50,37,243
2017-05-26 11:30,218,192
2017-05-26 15:30,8,207
2017-05-26 17:30,200,258
2017-05-26 22:30,13,287
2017-05-27 02:30,-208,327
2017-05-27 02:50,-66,327
2017-05-27 15:30,145,327
2017-05-29 08:30,22,327
2017-05-29 10:15,131,306
2017-05-29 11:00,-40,292
2017-05-29 12:10,199,303
2017-05-30 01:45,290,244
2017-05-30 02:30,-1,244
2017-05-30 02:50,317,244
2017-05-30 04:30,486,244
2017-05-30 09:00,-40,244
2017-05-30 09:45,-13,244
2017-05-30 10:00,-26,244
2017-05-30 11:30,-77,170
2017-05-30 12:00,-62,197
2017-05-30 12:16,-44,209
2017-05-30 12:30,-43,189
2017-05-30 12:47,-86,180
2017-05-30 15:30,182,238
2017-05-30 16:00,203,252
2017-05-30 17:00,72,275
2017-05-30 17:30,150,277
2017-05-30 18:30,90,290
2017-05-31 02:01,150,308
2017-05-31 02:30,-107,308
2017-05-31 02:50,-36,308
2017-05-31 04:30,538,308
2017-05-31 08:00,140,308
2017-05-31 09:00,431,308
2017-05-31 09:45,34,308
2017-05-31 10:55,412,322
2017-05-31 11:00,412,322
2017-05-31 11:30,240,322
2017-05-31 12:00,251,322
2017-05-31 12:16,-75,322
2017-05-31 15:30,350,322
2017-05-31 16:00,557,322
2017-05-31 16:45,349,322
2017-05-31 17:00,349,322
2017-06-01 02:50,263,322
2017-06-01 04:30,98,322
2017-05-31 10:32,0,322

