time,strength,rel.price
2017-05-26 11:00,0,0
2017-05-26 11:30,0,-5
2017-05-26 15:30,0,91
2017-05-26 17:30,405,70
2017-05-26 22:30,-248,91
2017-05-27 02:30,-171,129
2017-05-27 02:50,-194,129
2017-05-27 15:30,-85,129
2017-05-29 08:30,30,129
2017-05-29 10:00,-97,89
2017-05-29 10:15,-17,99
2017-05-29 11:00,-125,95
2017-05-29 12:10,130,96
2017-05-29 16:00,29,179
2017-05-30 00:00,22,69
2017-05-30 01:45,-19,51
2017-05-30 02:30,-138,51
2017-05-30 02:50,-142,51
2017-05-30 04:30,-34,51
2017-05-30 09:00,-30,51
2017-05-30 09:45,-30,51
2017-05-30 10:00,-70,51
2017-05-30 11:30,-75,84
2017-05-30 12:00,-75,63
2017-05-30 12:16,-70,94
2017-05-30 12:30,-70,70
2017-05-30 12:47,-80,62
2017-05-30 15:30,0,114
2017-05-30 16:00,353,127
2017-05-30 17:00,157,106
2017-05-30 17:30,14,149
2017-05-30 18:30,109,168
2017-05-31 01:01,-43,224
2017-05-31 01:50,-72,224
2017-05-31 02:01,-72,224
2017-05-31 02:30,-70,224
2017-05-31 02:50,-8,224
2017-05-31 03:00,-129,224
2017-05-31 03:30,79,224
2017-05-31 04:00,-303,224
2017-05-31 04:30,94,224
2017-05-31 08:00,176,224
2017-05-31 08:45,86,224
2017-05-31 09:00,86,224
2017-05-31 09:45,73,224
2017-05-31 10:00,73,224
2017-05-31 10:30,80,190
2017-05-31 10:55,69,203
2017-05-31 11:00,19,200
2017-05-31 11:12,32,249
2017-05-31 11:30,32,270
2017-05-31 12:00,0,211
2017-05-31 12:12,0,213
2017-05-31 12:16,0,209
2017-05-31 13:05,54,221
2017-05-31 14:00,-24,266
2017-05-31 14:30,90,302
2017-05-31 14:55,55,285
2017-05-31 15:30,77,278
2017-05-31 15:45,33,266
2017-05-31 15:55,-2,246
2017-05-31 16:00,195,250
2017-05-31 16:30,136,249
2017-05-31 16:45,85,263
2017-05-31 17:00,257,274
2017-05-31 17:30,141,256
2017-05-31 23:30,58,195
2017-06-01 01:45,131,176
2017-06-01 02:01,-119,165
2017-06-01 02:30,-512,167
2017-06-01 02:50,482,167
2017-06-01 03:30,308,167
2017-06-01 04:00,-103,167
2017-06-01 04:30,153,167
2017-06-01 06:45,130,167
2017-06-01 08:45,-123,167
2017-06-01 09:00,-204,167
2017-06-01 09:30,-116,167
2017-06-01 09:45,-114,167
2017-06-01 10:15,-23,167
2017-06-01 10:30,-21,167
2017-06-01 10:45,-21,167
2017-06-01 10:50,-21,167
2017-06-01 10:55,-21,167
2017-06-01 11:00,-22,167
2017-06-01 11:30,-74,151
2017-06-01 11:50,-71,159
2017-06-01 11:59,-71,135
2017-06-01 12:00,-71,135
2017-06-01 12:30,-78,131
2017-06-01 12:32,-78,131
2017-06-01 12:34,-78,131
2017-06-01 12:35,-78,131
2017-06-01 12:40,-78,130
2017-06-01 13:25,134,147
2017-06-01 14:30,346,131
2017-06-01 15:15,48,135
2017-06-01 15:30,622,136
2017-06-01 16:30,429,78
2017-06-01 16:45,683,94
2017-06-01 17:00,558,91
2017-06-01 17:30,210,75
2017-06-01 22:30,-136,91
2017-06-02 00:00,-222,82
2017-06-02 01:02,-188,80
2017-06-02 02:30,25,80
2017-06-02 02:50,107,80
2017-06-02 04:00,-33,80
2017-06-02 04:30,2,80
2017-06-02 08:00,-178,80
2017-06-02 08:45,-176,80
2017-06-02 09:00,-179,80
2017-06-02 10:00,34,80
2017-06-02 10:15,25,80
2017-06-02 10:30,25,80
2017-06-02 10:45,25,80
2017-06-02 11:30,25,148
2017-06-02 11:59,29,168
2017-06-02 12:00,29,168
2017-06-02 12:34,29,166
2017-06-02 15:15,112,171
2017-06-02 15:30,108,176
2017-06-02 16:45,338,310
2017-06-02 17:00,398,314
2017-06-02 17:30,174,338
2017-06-02 18:00,-167,357
2017-06-02 22:30,-508,412
2017-06-03 10:00,-63,399
2017-06-03 11:30,-159,399
2017-06-03 12:00,-155,399
2017-06-03 15:30,-106,399
2017-06-05 02:30,-7,399
2017-06-05 03:30,11,399
2017-06-05 04:00,17,399
2017-06-05 04:30,17,399
2017-06-05 06:30,29,399
2017-06-05 08:30,-8,399
2017-06-05 09:30,-276,307
2017-06-05 10:15,116,320
2017-06-05 10:45,-141,323
2017-06-05 10:50,-141,313
2017-06-05 10:55,-141,339
2017-06-05 11:00,-141,343
2017-06-05 11:30,-141,344
2017-06-05 13:30,92,391
2017-06-05 14:45,42,351
2017-06-05 15:00,42,360
2017-06-05 15:30,-175,365
2017-06-05 16:45,-432,368
2017-06-05 17:00,-209,360
2017-06-05 18:30,103,379
2017-06-06 02:01,-97,384
2017-06-06 02:30,-97,384
2017-06-06 03:00,-71,384
2017-06-06 04:00,-69,384
2017-06-06 04:30,169,384
2017-06-06 06:45,187,384
2017-06-06 07:30,62,384
2017-06-06 10:15,95,493
2017-06-06 10:45,95,502
2017-06-06 10:50,95,515
2017-06-06 10:55,95,515
2017-06-06 11:00,93,502
2017-06-06 11:10,93,518
2017-06-06 11:30,91,517
2017-06-06 12:00,81,516
2017-06-06 12:35,77,535
