time,strength,rel.price
2017-05-22 15:30,0,-54
2017-05-22 16:00,89,-84
2017-05-22 17:00,-4,-90
2017-05-22 17:30,89,-29
2017-05-22 18:30,-99,-72
2017-05-22 20:30,-126,-64
2017-05-23 02:50,3,-56
2017-05-23 03:30,3,-84
2017-05-23 07:30,67,-84
2017-05-23 09:00,67,-84
2017-05-23 09:45,67,-84
2017-05-23 10:00,67,-84
2017-05-23 10:15,67,-84
2017-05-23 10:30,67,-84
2017-05-23 10:55,67,-103
2017-05-23 11:00,67,-86
2017-05-23 11:30,67,-80
2017-05-23 12:35,67,-96
2017-05-23 13:00,67,-80
2017-05-23 15:30,67,-210
2017-05-23 15:55,84,-177
2017-05-23 16:45,276,-208
2017-05-23 16:59,-302,-205
2017-05-23 17:30,-369,-224
2017-05-23 18:30,-167,-168
2017-05-23 23:30,158,19
2017-05-23 23:35,48,41
2017-05-24 01:45,104,-9
2017-05-24 02:00,104,-11
2017-05-24 03:30,1,2
2017-05-24 04:30,-94,32
2017-05-24 07:30,-59,32
2017-05-24 08:00,59,32
2017-05-24 09:00,63,32
2017-05-24 10:00,47,32
2017-05-24 10:15,45,32
2017-05-24 10:30,42,32
2017-05-24 11:00,64,32
2017-05-24 11:30,61,32
2017-05-24 12:35,57,32
2017-05-24 12:40,57,32
2017-05-24 13:00,57,32
2017-05-24 15:30,61,32
2017-05-24 15:58,-178,32
2017-05-24 16:00,-178,32
2017-05-24 16:03,179,32
2017-05-24 16:45,-69,32
2017-05-24 16:59,-70,32
2017-05-24 17:00,83,32
2017-05-24 17:30,176,32
2017-05-25 01:45,-46,-420
2017-05-25 02:50,-42,-426
2017-05-25 04:30,-11,-399
2017-05-25 11:00,99,-399
2017-05-25 11:30,99,-399
2017-05-25 12:35,113,-399
2017-05-25 15:30,-115,-399
2017-05-25 15:58,-157,-399
2017-05-25 16:00,235,-399
2017-05-25 16:03,22,-399
2017-05-25 17:30,-315,-399
2017-05-25 18:00,-110,-399
2017-05-26 02:30,206,-102
2017-05-26 02:50,206,-102
2017-05-26 11:30,28,-190
2017-05-26 15:30,48,-264
2017-05-26 17:30,-371,-223
2017-05-26 22:30,123,-230
2017-05-27 02:30,34,-264
2017-05-27 02:50,-157,-264
2017-05-27 15:30,-2,-264
2017-05-29 08:30,-103,-264
2017-05-29 10:15,21,-219
2017-05-29 11:00,77,-225
2017-05-29 12:10,-93,-239
2017-05-29 16:00,-13,-252
2017-05-30 01:45,-16,-262
2017-05-30 02:30,-27,-262
2017-05-30 02:50,-27,-262
2017-05-30 04:30,-27,-262
2017-05-30 09:00,-27,-262
