time,strength,rel.price
2017-05-15 15:30,27,-19
2017-05-15 16:00,50,-3
2017-05-15 18:30,-12,-21
2017-05-16 04:30,-115,-61
2017-05-16 07:30,58,-61
2017-05-16 09:45,48,-61
2017-05-16 11:00,-56,-155
2017-05-16 11:30,-56,-216
2017-05-16 11:50,-56,-213
2017-05-16 12:00,-56,-207
2017-05-16 12:29,-56,-209
2017-05-16 12:30,-56,-209
2017-05-16 12:50,-56,-243
2017-05-16 15:30,4,-351
2017-05-16 15:55,19,-291
2017-05-16 16:15,33,-291
2017-05-16 16:30,285,-301
2017-05-16 17:00,-659,-387
2017-05-16 17:45,338,-394
2017-05-16 17:52,289,-396
2017-05-16 18:30,452,-393
2017-05-16 23:30,-186,-519
2017-05-16 23:35,-136,-519
2017-05-17 01:45,47,-506
2017-05-17 02:50,20,-506
2017-05-17 03:30,-4,-506
2017-05-17 04:30,111,-506
2017-05-17 07:30,44,-506
2017-05-17 11:00,49,-623
2017-05-17 11:30,49,-592
2017-05-17 12:00,49,-549
2017-05-17 12:30,49,-551
2017-05-17 12:35,49,-542
2017-05-17 13:14,49,-567
2017-05-17 15:30,30,-562
2017-05-17 16:00,-119,-584
2017-05-17 17:30,-117,-686
2017-05-17 18:30,44,-809
2017-05-18 02:50,16,-780
2017-05-18 04:30,51,-780
2017-05-18 08:30,26,-780
2017-05-18 11:30,47,-766
2017-05-18 11:50,0,-762
2017-05-18 12:00,0,-762
2017-05-18 12:30,0,-762
2017-05-18 13:32,0,-758
2017-05-18 13:33,0,-758
2017-05-18 15:30,0,-822
2017-05-18 16:45,-91,-781
2017-05-18 17:30,-98,-773
2017-05-19 01:45,6,-694
2017-05-19 11:30,45,-694
2017-05-19 15:30,40,-694
2017-05-19 16:00,22,-694
2017-05-19 17:30,48,-694
2017-05-19 22:30,189,-694
2017-05-22 02:01,38,-1019
2017-05-22 02:50,46,-1019
2017-05-22 08:30,46,-1019
2017-05-22 15:30,109,-1125
2017-05-22 16:00,225,-1099
2017-05-22 17:00,-39,-1130
2017-05-22 17:30,37,-1117
2017-05-22 18:30,-91,-1095
2017-05-22 20:30,-78,-1080
2017-05-23 02:50,56,-995
2017-05-23 03:30,49,-993
2017-05-23 07:30,71,-995
2017-05-23 09:45,130,-995
2017-05-23 10:00,138,-995
2017-05-23 10:15,106,-995
2017-05-23 10:30,269,-995
2017-05-23 10:55,67,-962
2017-05-23 11:00,67,-966
2017-05-23 11:30,218,-1022
2017-05-23 12:35,29,-1066
2017-05-23 13:00,27,-1067
2017-05-23 15:30,167,-1055
2017-05-23 15:55,139,-1034
2017-05-23 16:45,384,-1043
2017-05-23 16:59,-262,-1047
2017-05-23 17:00,262,-1047
2017-05-23 17:30,-40,-1062
2017-05-23 18:30,133,-1010
2017-05-23 23:30,16,-877
2017-05-23 23:35,-11,-875
2017-05-24 01:45,296,-882
2017-05-24 02:00,292,-879
2017-05-24 03:30,214,-897
2017-05-24 04:30,117,-870
2017-05-24 07:30,-10,-870
2017-05-24 08:00,96,-870
2017-05-24 10:00,65,-870
2017-05-24 10:15,34,-870
2017-05-24 10:30,96,-870
2017-05-24 11:00,133,-870
2017-05-24 11:30,103,-870
2017-05-24 12:35,113,-870
2017-05-24 12:40,113,-870
2017-05-24 13:00,113,-870
2017-05-24 15:30,58,-870
2017-05-24 15:58,-205,-870
2017-05-24 16:00,-62,-870
2017-05-24 16:03,-14,-870
2017-05-24 16:45,-120,-870
2017-05-24 16:59,-110,-870
2017-05-24 17:00,-110,-870
2017-05-24 17:30,72,-870
2017-05-25 01:45,-21,-991
2017-05-25 02:50,60,-994
2017-05-25 04:30,68,-1029
2017-05-25 11:00,96,-1029
2017-05-25 11:30,96,-1029
2017-05-25 12:35,104,-1029
2017-05-25 15:30,104,-1029
2017-05-25 15:58,78,-1029
2017-05-25 16:00,-15,-1029
2017-05-25 16:03,-15,-1029
2017-05-25 17:00,-92,-1029
2017-05-25 17:30,-200,-1029
2017-05-25 18:00,148,-1029
2017-05-26 02:30,124,-1013
2017-05-26 02:50,111,-1013
2017-05-26 11:30,-45,-1028
2017-05-26 15:30,14,-1053
2017-05-26 17:30,-424,-922
2017-05-26 22:30,109,-943
2017-05-27 02:30,-134,-938
2017-05-27 02:50,-32,-938
2017-05-27 15:30,-53,-938
2017-05-29 08:30,-68,-938
2017-05-29 10:15,121,-924
2017-05-29 11:00,-10,-935
2017-05-29 12:10,15,-944
2017-05-30 00:00,71,-951
2017-05-30 01:45,79,-951
2017-05-30 02:30,-114,-951
2017-05-30 02:50,-114,-951
2017-05-30 04:30,-114,-951
2017-05-30 09:00,-77,-951
2017-05-30 09:45,-77,-951
2017-05-30 10:00,-126,-951
2017-05-29 16:55,0,-951

