time,strength,rel.price
2017-05-15 08:30,-22,0
2017-05-15 09:00,-134,0
2017-05-15 10:15,0,49
2017-05-15 11:00,67,78
2017-05-15 12:00,-88,125
2017-05-15 13:02,15,114
2017-05-15 15:30,-8,36
2017-05-15 16:00,50,54
2017-05-15 18:30,62,80
2017-05-16 04:30,-145,162
2017-05-16 07:30,-17,162
2017-05-16 09:45,22,162
2017-05-16 11:00,-52,-18
2017-05-16 11:30,-57,10
2017-05-16 11:50,-68,50
2017-05-16 12:00,-68,37
2017-05-16 12:29,-63,81
2017-05-16 12:30,-63,81
2017-05-16 12:50,-136,98
2017-05-16 15:30,-18,119
2017-05-16 15:55,-321,151
2017-05-16 16:15,-210,128
2017-05-16 16:30,-55,128
2017-05-16 17:45,31,53
2017-05-16 17:52,42,45
2017-05-16 18:30,124,14
2017-05-16 23:30,-110,-153
2017-05-16 23:35,-123,-153
2017-05-17 01:45,30,-122
2017-05-17 02:50,-4,-122
2017-05-17 03:30,-76,-122
2017-05-17 04:30,184,-122
2017-05-17 07:30,111,-122
2017-05-17 11:30,58,-366
2017-05-17 12:00,-21,-365
2017-05-17 12:30,-21,-333
2017-05-17 12:35,-21,-344
2017-05-17 13:14,-125,-363
2017-05-17 15:30,-200,-343
2017-05-17 16:00,-170,-371
2017-05-17 17:30,-123,-689
2017-05-17 18:30,-22,-726
2017-05-18 02:50,-118,-1030
2017-05-18 04:30,95,-1030
2017-05-18 08:30,57,-1030
2017-05-18 11:30,-119,-868
2017-05-18 11:50,-143,-918
2017-05-18 12:00,-143,-918
2017-05-18 12:30,-143,-918
2017-05-18 13:32,-137,-1179
2017-05-18 13:33,-137,-1179
2017-05-18 15:30,8,-1104
2017-05-18 16:45,151,-1045
2017-05-18 17:30,114,-1039
2017-05-19 01:45,36,-715
2017-05-19 11:30,98,-715
2017-05-19 15:30,93,-715
2017-05-19 16:00,83,-715
2017-05-19 17:30,101,-715
2017-05-19 22:30,0,-715
2017-05-22 02:01,29,-837
2017-05-22 02:50,66,-837
2017-05-22 08:30,25,-837
2017-05-22 15:30,16,-781
2017-05-22 16:00,132,-790
2017-05-22 17:00,-117,-836
2017-05-22 17:30,46,-798
2017-05-22 18:30,-75,-886
2017-05-22 20:30,-101,-859
2017-05-23 02:50,173,-900
2017-05-23 03:30,289,-901
2017-05-23 07:30,44,-948
2017-05-23 09:45,92,-948
2017-05-23 10:00,82,-948
2017-05-23 10:15,64,-948
2017-05-23 10:30,64,-948
2017-05-23 10:55,91,-952
2017-05-23 11:00,91,-948
2017-05-23 11:30,100,-874
2017-05-23 12:35,174,-827
2017-05-23 13:00,70,-862
2017-05-23 15:30,128,-834
2017-05-23 15:55,-95,-853
2017-05-23 16:45,17,-861
2017-05-23 16:59,-912,-867
2017-05-23 17:00,-433,-867
2017-05-23 17:30,-974,-889
2017-05-23 18:30,-375,-880
2017-05-23 23:30,22,-603
2017-05-23 23:35,23,-598
2017-05-24 01:45,143,-625
2017-05-24 02:00,111,-609
2017-05-24 03:30,115,-616
2017-05-24 04:30,-132,-557
2017-05-24 07:30,-131,-557
2017-05-24 08:00,95,-557
2017-05-24 10:00,-59,-557
2017-05-24 10:15,53,-557
2017-05-24 10:30,25,-557
2017-05-24 11:00,112,-557
2017-05-24 11:30,79,-557
2017-05-24 12:35,142,-557
2017-05-24 12:40,153,-557
2017-05-24 13:00,153,-557
2017-05-24 15:30,-1,-557
2017-05-24 15:58,-226,-557
2017-05-24 16:00,-172,-557
2017-05-24 16:03,50,-557
2017-05-24 16:45,-82,-557
2017-05-24 16:59,-83,-557
2017-05-24 17:00,-222,-557
2017-05-24 17:30,40,-557
2017-05-24 20:00,174,-557
2017-05-25 01:45,126,-730
2017-05-25 02:50,49,-700
2017-05-25 04:30,183,-719
2017-05-25 05:00,45,-719
2017-05-25 11:00,112,-719
2017-05-25 11:30,88,-719
2017-05-25 12:35,159,-719
2017-05-25 15:30,77,-719
2017-05-25 15:58,-20,-719
2017-05-25 16:00,-86,-719
2017-05-25 16:03,-86,-719
2017-05-25 17:30,-291,-719
2017-05-26 02:30,-15,-614
2017-05-26 02:50,-106,-614
2017-05-26 11:30,144,-824
2017-05-26 15:30,58,-953
2017-05-26 17:30,-299,-849
2017-05-26 22:30,105,-841
2017-05-27 02:30,-323,-838
2017-05-27 02:50,-220,-838
2017-05-27 15:30,-120,-838
2017-05-29 08:30,-118,-838
2017-05-29 10:00,23,-824
2017-05-29 11:00,-214,-824
2017-05-30 02:30,-217,-824
2017-05-30 02:50,216,-824
2017-05-30 04:30,102,-824
2017-05-29 09:45,0,-824

